2021-01-01 13:53:13
Running ./benchmarks/benchmark
Run on (8 X 4000 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x4)
  L1 Instruction 32 KiB (x4)
  L2 Unified 256 KiB (x4)
  L3 Unified 8192 KiB (x1)
Load Average: 1.34, 1.53, 1.51
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"gumbel_lpdf_Prim_vector_Prim_real_Prim_real/1/manual_time_mean",5,52.0746,75.4422,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Prim_real/1/manual_time_median",5,51.7935,75.1127,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Prim_real/1/manual_time_stddev",5,0.856462,1.14364,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Prim_real/4/manual_time_mean",5,72.7116,95.7787,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Prim_real/4/manual_time_median",5,72.6653,95.6979,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Prim_real/4/manual_time_stddev",5,0.222307,0.29992,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Prim_real/16/manual_time_mean",5,140.517,163.623,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Prim_real/16/manual_time_median",5,140.524,163.664,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Prim_real/16/manual_time_stddev",5,0.110493,0.141835,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Prim_real/64/manual_time_mean",5,417.525,440.587,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Prim_real/64/manual_time_median",5,417.659,440.757,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Prim_real/64/manual_time_stddev",5,0.554067,0.567285,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Prim_real/256/manual_time_mean",5,1541.82,1564.57,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Prim_real/256/manual_time_median",5,1540.74,1563.51,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Prim_real/256/manual_time_stddev",5,2.5699,2.62517,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Prim_real/1024/manual_time_mean",5,5885.89,5908.56,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Prim_real/1024/manual_time_median",5,5929,5951.55,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Prim_real/1024/manual_time_stddev",5,62.1496,61.9324,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Prim_real/4096/manual_time_mean",5,23658.3,23685.1,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Prim_real/4096/manual_time_median",5,23567.8,23592.8,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Prim_real/4096/manual_time_stddev",5,149.694,150.747,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Prim_real/16384/manual_time_mean",5,96298.5,96350.9,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Prim_real/16384/manual_time_median",5,96204,96267.9,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Prim_real/16384/manual_time_stddev",5,290.364,286.313,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Prim_real/65536/manual_time_mean",5,384502,384522,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Prim_real/65536/manual_time_median",5,384521,384539,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Prim_real/65536/manual_time_stddev",5,612.043,619.022,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Prim_real/262144/manual_time_mean",5,1.55095e+06,1.55084e+06,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Prim_real/262144/manual_time_median",5,1.5495e+06,1.54942e+06,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Prim_real/262144/manual_time_stddev",5,3472.82,3417.5,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Prim_real/1048576/manual_time_mean",5,7.12807e+06,7.12827e+06,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Prim_real/1048576/manual_time_median",5,7.13469e+06,7.1348e+06,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Prim_real/1048576/manual_time_stddev",5,17602.7,17533.2,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Prim_real/4194304/manual_time_mean",5,3.6458e+07,3.64496e+07,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Prim_real/4194304/manual_time_median",5,3.64626e+07,3.64588e+07,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Prim_real/4194304/manual_time_stddev",5,91832.3,80934,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Prim_real/16777216/manual_time_mean",5,1.40315e+08,1.40304e+08,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Prim_real/16777216/manual_time_median",5,1.40244e+08,1.40235e+08,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Prim_real/16777216/manual_time_stddev",5,329131,328874,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Rev_real/1/manual_time_mean",5,72.3203,97.1971,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Rev_real/1/manual_time_median",5,72.2807,97.1236,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Rev_real/1/manual_time_stddev",5,0.258384,0.34261,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Rev_real/4/manual_time_mean",5,93.711,118.566,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Rev_real/4/manual_time_median",5,93.7205,118.598,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Rev_real/4/manual_time_stddev",5,0.138819,0.172406,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Rev_real/16/manual_time_mean",5,171.259,196.163,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Rev_real/16/manual_time_median",5,171.316,196.201,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Rev_real/16/manual_time_stddev",5,0.21796,0.219057,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Rev_real/64/manual_time_mean",5,473.516,498.328,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Rev_real/64/manual_time_median",5,473.389,498.115,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Rev_real/64/manual_time_stddev",5,0.80749,0.856389,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Rev_real/256/manual_time_mean",5,1762.24,1786.97,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Rev_real/256/manual_time_median",5,1756.08,1780.87,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Rev_real/256/manual_time_stddev",5,14.1604,14.3423,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Rev_real/1024/manual_time_mean",5,6744.09,6769.43,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Rev_real/1024/manual_time_median",5,6615.47,6641.08,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Rev_real/1024/manual_time_stddev",5,188.667,189.356,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Rev_real/4096/manual_time_mean",5,28010,28038.4,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Rev_real/4096/manual_time_median",5,27983.6,28012.2,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Rev_real/4096/manual_time_stddev",5,77.5795,77.0096,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Rev_real/16384/manual_time_mean",5,113643,113677,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Rev_real/16384/manual_time_median",5,113594,113620,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Rev_real/16384/manual_time_stddev",5,206.822,206.778,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Rev_real/65536/manual_time_mean",5,465587,465619,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Rev_real/65536/manual_time_median",5,459535,459557,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Rev_real/65536/manual_time_stddev",5,13839.8,13862.3,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Rev_real/262144/manual_time_mean",5,1.89929e+06,1.89953e+06,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Rev_real/262144/manual_time_median",5,1.8952e+06,1.89539e+06,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Rev_real/262144/manual_time_stddev",5,15831.1,15801.9,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Rev_real/1048576/manual_time_mean",5,1.40588e+07,1.40575e+07,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Rev_real/1048576/manual_time_median",5,1.40496e+07,1.40499e+07,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Rev_real/1048576/manual_time_stddev",5,62566.6,60393,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Rev_real/4194304/manual_time_mean",5,5.393e+07,5.39242e+07,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Rev_real/4194304/manual_time_median",5,5.39564e+07,5.39539e+07,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Rev_real/4194304/manual_time_stddev",5,122522,121988,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Rev_real/16777216/manual_time_mean",5,2.1063e+08,2.10625e+08,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Rev_real/16777216/manual_time_median",5,2.10275e+08,2.10274e+08,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Rev_real/16777216/manual_time_stddev",5,911528,910000,ns,,,,,
"gumbel_lpdf_Prim_vector_Rev_real_Prim_real/1/manual_time_mean",5,70.2985,94.9664,ns,,,,,
