2021-01-01 14:07:57
Running ./benchmarks/benchmark
Run on (8 X 4000 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x4)
  L1 Instruction 32 KiB (x4)
  L2 Unified 256 KiB (x4)
  L3 Unified 8192 KiB (x1)
Load Average: 1.51, 1.43, 1.40
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"gumbel_lpdf_Prim_vector_Prim_real_Prim_vector/1/manual_time_mean",5,66.8657,90.4337,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Prim_vector/1/manual_time_median",5,66.0543,89.512,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Prim_vector/1/manual_time_stddev",5,2.06785,2.50739,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Prim_vector/4/manual_time_mean",5,103.569,126.612,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Prim_vector/4/manual_time_median",5,103.64,126.67,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Prim_vector/4/manual_time_stddev",5,0.145854,0.171574,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Prim_vector/16/manual_time_mean",5,242.301,265.176,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Prim_vector/16/manual_time_median",5,242.271,265.161,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Prim_vector/16/manual_time_stddev",5,0.829543,0.891517,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Prim_vector/64/manual_time_mean",5,853.612,876.468,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Prim_vector/64/manual_time_median",5,853.574,876.388,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Prim_vector/64/manual_time_stddev",5,1.22529,1.22544,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Prim_vector/256/manual_time_mean",5,3308.05,3331.32,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Prim_vector/256/manual_time_median",5,3308.76,3332.24,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Prim_vector/256/manual_time_stddev",5,4.63679,4.46649,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Prim_vector/1024/manual_time_mean",5,12939.7,12965.1,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Prim_vector/1024/manual_time_median",5,12932.1,12959.1,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Prim_vector/1024/manual_time_stddev",5,47.9456,47.5832,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Prim_vector/4096/manual_time_mean",5,51837.4,51872.2,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Prim_vector/4096/manual_time_median",5,51788.4,51825.8,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Prim_vector/4096/manual_time_stddev",5,76.9103,75.7287,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Prim_vector/16384/manual_time_mean",5,207417,207467,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Prim_vector/16384/manual_time_median",5,207444,207487,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Prim_vector/16384/manual_time_stddev",5,216.95,220.448,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Prim_vector/65536/manual_time_mean",5,826508,826502,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Prim_vector/65536/manual_time_median",5,826346,826352,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Prim_vector/65536/manual_time_stddev",5,1341.77,1347.2,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Prim_vector/262144/manual_time_mean",5,3.35839e+06,3.35859e+06,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Prim_vector/262144/manual_time_median",5,3.35148e+06,3.3517e+06,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Prim_vector/262144/manual_time_stddev",5,28623,28606.2,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Prim_vector/1048576/manual_time_mean",5,1.38958e+07,1.38962e+07,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Prim_vector/1048576/manual_time_median",5,1.388e+07,1.38804e+07,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Prim_vector/1048576/manual_time_stddev",5,71945.8,71880.7,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Prim_vector/4194304/manual_time_mean",5,6.46116e+07,6.46092e+07,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Prim_vector/4194304/manual_time_median",5,6.45905e+07,6.45876e+07,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Prim_vector/4194304/manual_time_stddev",5,70903.7,69710.7,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Prim_vector/16777216/manual_time_mean",5,2.55544e+08,2.55536e+08,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Prim_vector/16777216/manual_time_median",5,2.55269e+08,2.55259e+08,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Prim_vector/16777216/manual_time_stddev",5,704795,702164,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Rev_vector/1/manual_time_mean",5,128.241,163.531,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Rev_vector/1/manual_time_median",5,127.425,162.619,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Rev_vector/1/manual_time_stddev",5,1.34711,1.47738,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Rev_vector/4/manual_time_mean",5,177.996,214.872,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Rev_vector/4/manual_time_median",5,177.215,213.984,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Rev_vector/4/manual_time_stddev",5,1.34613,1.68363,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Rev_vector/16/manual_time_mean",5,383.643,421.529,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Rev_vector/16/manual_time_median",5,383.438,421.405,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Rev_vector/16/manual_time_stddev",5,0.452129,0.557447,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Rev_vector/64/manual_time_mean",5,1214.37,1258.22,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Rev_vector/64/manual_time_median",5,1216.33,1259.49,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Rev_vector/64/manual_time_stddev",5,6.75953,6.79503,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Rev_vector/256/manual_time_mean",5,4583.17,4697.33,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Rev_vector/256/manual_time_median",5,4583.23,4694.07,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Rev_vector/256/manual_time_stddev",5,25.1194,22.2017,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Rev_vector/1024/manual_time_mean",5,18564.6,18818.2,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Rev_vector/1024/manual_time_median",5,18424.5,18671.2,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Rev_vector/1024/manual_time_stddev",5,347.883,348.025,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Rev_vector/4096/manual_time_mean",5,74116.7,74857,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Rev_vector/4096/manual_time_median",5,74110,74844.9,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Rev_vector/4096/manual_time_stddev",5,121.975,122.669,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Rev_vector/16384/manual_time_mean",5,307347,311048,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Rev_vector/16384/manual_time_median",5,306899,310576,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Rev_vector/16384/manual_time_stddev",5,2259.58,2265.19,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Rev_vector/65536/manual_time_mean",5,1.23681e+06,1.25327e+06,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Rev_vector/65536/manual_time_median",5,1.23638e+06,1.25272e+06,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Rev_vector/65536/manual_time_stddev",5,2035.21,2104.14,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Rev_vector/262144/manual_time_mean",5,6.33058e+06,6.47531e+06,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Rev_vector/262144/manual_time_median",5,6.31063e+06,6.45546e+06,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Rev_vector/262144/manual_time_stddev",5,40153.9,39317.4,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Rev_vector/1048576/manual_time_mean",5,3.74565e+07,4.03886e+07,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Rev_vector/1048576/manual_time_median",5,3.74977e+07,4.04074e+07,ns,,,,,
