2021-01-01 14:22:35
Running ./benchmarks/benchmark
Run on (8 X 4000 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x4)
  L1 Instruction 32 KiB (x4)
  L2 Unified 256 KiB (x4)
  L3 Unified 8192 KiB (x1)
Load Average: 1.54, 1.70, 1.53
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"gumbel_lpdf_Prim_vector_Prim_vector_Prim_real/1/manual_time_mean",5,63.4838,86.9377,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_vector_Prim_real/1/manual_time_median",5,62.5275,85.7532,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_vector_Prim_real/1/manual_time_stddev",5,1.97113,2.46236,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_vector_Prim_real/4/manual_time_mean",5,88.8826,111.83,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_vector_Prim_real/4/manual_time_median",5,88.8918,111.855,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_vector_Prim_real/4/manual_time_stddev",5,0.123914,0.156724,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_vector_Prim_real/16/manual_time_mean",5,158.693,181.655,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_vector_Prim_real/16/manual_time_median",5,158.675,181.613,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_vector_Prim_real/16/manual_time_stddev",5,0.103155,0.135015,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_vector_Prim_real/64/manual_time_mean",5,455.859,478.787,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_vector_Prim_real/64/manual_time_median",5,455.503,478.401,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_vector_Prim_real/64/manual_time_stddev",5,0.611862,0.688644,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_vector_Prim_real/256/manual_time_mean",5,1722.53,1745.35,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_vector_Prim_real/256/manual_time_median",5,1722.77,1745.44,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_vector_Prim_real/256/manual_time_stddev",5,10.5525,10.722,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_vector_Prim_real/1024/manual_time_mean",5,6504.47,6527.56,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_vector_Prim_real/1024/manual_time_median",5,6497.32,6520.52,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_vector_Prim_real/1024/manual_time_stddev",5,33.5865,33.2341,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_vector_Prim_real/4096/manual_time_mean",5,26728.9,26758.1,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_vector_Prim_real/4096/manual_time_median",5,26724.4,26753.7,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_vector_Prim_real/4096/manual_time_stddev",5,11.8916,12.3105,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_vector_Prim_real/16384/manual_time_mean",5,108789,108840,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_vector_Prim_real/16384/manual_time_median",5,108565,108618,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_vector_Prim_real/16384/manual_time_stddev",5,640.298,636.512,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_vector_Prim_real/65536/manual_time_mean",5,439868,439892,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_vector_Prim_real/65536/manual_time_median",5,439558,439591,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_vector_Prim_real/65536/manual_time_stddev",5,1786.78,1794.59,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_vector_Prim_real/262144/manual_time_mean",5,1.78796e+06,1.78806e+06,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_vector_Prim_real/262144/manual_time_median",5,1.78914e+06,1.78915e+06,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_vector_Prim_real/262144/manual_time_stddev",5,2425.47,2341.62,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_vector_Prim_real/1048576/manual_time_mean",5,8.60173e+06,8.60216e+06,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_vector_Prim_real/1048576/manual_time_median",5,8.60289e+06,8.60302e+06,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_vector_Prim_real/1048576/manual_time_stddev",5,11419.9,11265.5,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_vector_Prim_real/4194304/manual_time_mean",5,4.15943e+07,4.15886e+07,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_vector_Prim_real/4194304/manual_time_median",5,4.15244e+07,4.15204e+07,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_vector_Prim_real/4194304/manual_time_stddev",5,321662,322305,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_vector_Prim_real/16777216/manual_time_mean",5,1.61453e+08,1.61448e+08,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_vector_Prim_real/16777216/manual_time_median",5,1.61474e+08,1.61471e+08,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_vector_Prim_real/16777216/manual_time_stddev",5,342288,339598,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_vector_Rev_real/1/manual_time_mean",5,80.5737,105.253,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_vector_Rev_real/1/manual_time_median",5,80.4174,105.067,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_vector_Rev_real/1/manual_time_stddev",5,0.348828,0.439783,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_vector_Rev_real/4/manual_time_mean",5,99.8191,124.466,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_vector_Rev_real/4/manual_time_median",5,99.7652,124.398,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_vector_Rev_real/4/manual_time_stddev",5,0.169573,0.173746,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_vector_Rev_real/16/manual_time_mean",5,185.167,209.85,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_vector_Rev_real/16/manual_time_median",5,185.162,209.842,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_vector_Rev_real/16/manual_time_stddev",5,0.478679,0.519631,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_vector_Rev_real/64/manual_time_mean",5,518.97,543.613,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_vector_Rev_real/64/manual_time_median",5,518.808,543.417,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_vector_Rev_real/64/manual_time_stddev",5,0.435093,0.489907,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_vector_Rev_real/256/manual_time_mean",5,1951.35,1975.89,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_vector_Rev_real/256/manual_time_median",5,1952.54,1977.02,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_vector_Rev_real/256/manual_time_stddev",5,5.13018,5.1344,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_vector_Rev_real/1024/manual_time_mean",5,7756.87,7783.53,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_vector_Rev_real/1024/manual_time_median",5,7757.27,7783.96,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_vector_Rev_real/1024/manual_time_stddev",5,35.9133,36.0271,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_vector_Rev_real/4096/manual_time_mean",5,31278.5,31304.7,ns,,,,,
