2021-01-01 14:37:26
Running ./benchmarks/benchmark
Run on (8 X 4000 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x4)
  L1 Instruction 32 KiB (x4)
  L2 Unified 256 KiB (x4)
  L3 Unified 8192 KiB (x1)
Load Average: 1.24, 1.37, 1.44
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"gumbel_lpdf_Prim_vector_Prim_vector_Prim_vector/1/manual_time_mean",5,70.2141,93.8694,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_vector_Prim_vector/1/manual_time_median",5,69.6496,93.1409,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_vector_Prim_vector/1/manual_time_stddev",5,1.2875,1.65564,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_vector_Prim_vector/4/manual_time_mean",5,107.422,130.804,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_vector_Prim_vector/4/manual_time_median",5,107.34,130.713,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_vector_Prim_vector/4/manual_time_stddev",5,0.178717,0.208592,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_vector_Prim_vector/16/manual_time_mean",5,259.923,283.343,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_vector_Prim_vector/16/manual_time_median",5,259.888,283.304,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_vector_Prim_vector/16/manual_time_stddev",5,0.728676,0.77814,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_vector_Prim_vector/64/manual_time_mean",5,916.986,940.326,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_vector_Prim_vector/64/manual_time_median",5,916.623,939.915,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_vector_Prim_vector/64/manual_time_stddev",5,1.42652,1.46219,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_vector_Prim_vector/256/manual_time_mean",5,3459.24,3482.5,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_vector_Prim_vector/256/manual_time_median",5,3458.33,3481.68,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_vector_Prim_vector/256/manual_time_stddev",5,3.7093,3.64663,ns,,,,,
