name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"inv_chi_square_lpdf_Prim_real_Prim_vector/1/manual_time_mean",5,69.7427,93.115,ns,,,,,
"inv_chi_square_lpdf_Prim_real_Prim_vector/1/manual_time_median",5,68.9232,92.1442,ns,,,,,
"inv_chi_square_lpdf_Prim_real_Prim_vector/1/manual_time_stddev",5,2.99175,3.66657,ns,,,,,
"inv_chi_square_lpdf_Prim_real_Prim_vector/4/manual_time_mean",5,122.494,145.351,ns,,,,,
"inv_chi_square_lpdf_Prim_real_Prim_vector/4/manual_time_median",5,122.466,145.329,ns,,,,,
"inv_chi_square_lpdf_Prim_real_Prim_vector/4/manual_time_stddev",5,0.182664,0.203362,ns,,,,,
"inv_chi_square_lpdf_Prim_real_Prim_vector/16/manual_time_mean",5,327.216,350.301,ns,,,,,
"inv_chi_square_lpdf_Prim_real_Prim_vector/16/manual_time_median",5,327.466,350.59,ns,,,,,
"inv_chi_square_lpdf_Prim_real_Prim_vector/16/manual_time_stddev",5,0.428174,0.460185,ns,,,,,
"inv_chi_square_lpdf_Prim_real_Prim_vector/64/manual_time_mean",5,1130.58,1153.64,ns,,,,,
"inv_chi_square_lpdf_Prim_real_Prim_vector/64/manual_time_median",5,1123.37,1146.36,ns,,,,,
"inv_chi_square_lpdf_Prim_real_Prim_vector/64/manual_time_stddev",5,10.9705,11.1389,ns,,,,,
"inv_chi_square_lpdf_Prim_real_Prim_vector/256/manual_time_mean",5,4363.33,4385.97,ns,,,,,
"inv_chi_square_lpdf_Prim_real_Prim_vector/256/manual_time_median",5,4358.21,4380.62,ns,,,,,
"inv_chi_square_lpdf_Prim_real_Prim_vector/256/manual_time_stddev",5,11.9986,11.9183,ns,,,,,
"inv_chi_square_lpdf_Prim_real_Prim_vector/1024/manual_time_mean",5,17307.7,17332.6,ns,,,,,
"inv_chi_square_lpdf_Prim_real_Prim_vector/1024/manual_time_median",5,17300.3,17324.9,ns,,,,,
