name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"inv_chi_square_lpdf_Prim_vector_Prim_real/1/manual_time_mean",5,65.8455,89.3379,ns,,,,,
"inv_chi_square_lpdf_Prim_vector_Prim_real/1/manual_time_median",5,65.3051,88.666,ns,,,,,
"inv_chi_square_lpdf_Prim_vector_Prim_real/1/manual_time_stddev",5,1.86966,2.38413,ns,,,,,
"inv_chi_square_lpdf_Prim_vector_Prim_real/4/manual_time_mean",5,86.4995,109.639,ns,,,,,
"inv_chi_square_lpdf_Prim_vector_Prim_real/4/manual_time_median",5,86.4264,109.558,ns,,,,,
"inv_chi_square_lpdf_Prim_vector_Prim_real/4/manual_time_stddev",5,0.170286,0.22019,ns,,,,,
"inv_chi_square_lpdf_Prim_vector_Prim_real/16/manual_time_mean",5,195.444,218.583,ns,,,,,
"inv_chi_square_lpdf_Prim_vector_Prim_real/16/manual_time_median",5,195.307,218.479,ns,,,,,
"inv_chi_square_lpdf_Prim_vector_Prim_real/16/manual_time_stddev",5,0.66625,0.731204,ns,,,,,
"inv_chi_square_lpdf_Prim_vector_Prim_real/64/manual_time_mean",5,597.609,620.771,ns,,,,,
"inv_chi_square_lpdf_Prim_vector_Prim_real/64/manual_time_median",5,597.099,620.23,ns,,,,,
"inv_chi_square_lpdf_Prim_vector_Prim_real/64/manual_time_stddev",5,1.80086,1.8759,ns,,,,,
"inv_chi_square_lpdf_Prim_vector_Prim_real/256/manual_time_mean",5,2176.79,2199.83,ns,,,,,
"inv_chi_square_lpdf_Prim_vector_Prim_real/256/manual_time_median",5,2173.67,2196.66,ns,,,,,
"inv_chi_square_lpdf_Prim_vector_Prim_real/256/manual_time_stddev",5,12.0969,12.1915,ns,,,,,
"inv_chi_square_lpdf_Prim_vector_Prim_real/1024/manual_time_mean",5,8490.29,8516.48,ns,,,,,
"inv_chi_square_lpdf_Prim_vector_Prim_real/1024/manual_time_median",5,8489.8,8515.94,ns,,,,,
"inv_chi_square_lpdf_Prim_vector_Prim_real/1024/manual_time_stddev",5,8.16041,8.52445,ns,,,,,
"inv_chi_square_lpdf_Prim_vector_Prim_real/4096/manual_time_mean",5,33777.4,33813.8,ns,,,,,
"inv_chi_square_lpdf_Prim_vector_Prim_real/4096/manual_time_median",5,33795,33830.5,ns,,,,,
"inv_chi_square_lpdf_Prim_vector_Prim_real/4096/manual_time_stddev",5,64.654,63.1166,ns,,,,,
"inv_chi_square_lpdf_Prim_vector_Prim_real/16384/manual_time_mean",5,135100,135148,ns,,,,,
"inv_chi_square_lpdf_Prim_vector_Prim_real/16384/manual_time_median",5,135163,135213,ns,,,,,
"inv_chi_square_lpdf_Prim_vector_Prim_real/16384/manual_time_stddev",5,229.485,229.37,ns,,,,,
