2021-01-01 15:07:51
Running ./benchmarks/benchmark
Run on (8 X 4000 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x4)
  L1 Instruction 32 KiB (x4)
  L2 Unified 256 KiB (x4)
  L3 Unified 8192 KiB (x1)
Load Average: 1.31, 1.27, 1.34
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"inv_chi_square_lpdf_Prim_vector_Prim_vector/1/manual_time_mean",5,84.5886,108.477,ns,,,,,
"inv_chi_square_lpdf_Prim_vector_Prim_vector/1/manual_time_median",5,81.4669,104.92,ns,,,,,
"inv_chi_square_lpdf_Prim_vector_Prim_vector/1/manual_time_stddev",5,7.58155,8.93456,ns,,,,,
"inv_chi_square_lpdf_Prim_vector_Prim_vector/4/manual_time_mean",5,160.657,183.68,ns,,,,,
"inv_chi_square_lpdf_Prim_vector_Prim_vector/4/manual_time_median",5,160.709,183.712,ns,,,,,
"inv_chi_square_lpdf_Prim_vector_Prim_vector/4/manual_time_stddev",5,0.213845,0.238382,ns,,,,,
"inv_chi_square_lpdf_Prim_vector_Prim_vector/16/manual_time_mean",5,472.23,495.06,ns,,,,,
"inv_chi_square_lpdf_Prim_vector_Prim_vector/16/manual_time_median",5,472.319,495.216,ns,,,,,
"inv_chi_square_lpdf_Prim_vector_Prim_vector/16/manual_time_stddev",5,0.524562,0.549374,ns,,,,,
"inv_chi_square_lpdf_Prim_vector_Prim_vector/64/manual_time_mean",5,1691.05,1714.04,ns,,,,,
"inv_chi_square_lpdf_Prim_vector_Prim_vector/64/manual_time_median",5,1691.83,1714.75,ns,,,,,
"inv_chi_square_lpdf_Prim_vector_Prim_vector/64/manual_time_stddev",5,2.40242,2.37034,ns,,,,,
"inv_chi_square_lpdf_Prim_vector_Prim_vector/256/manual_time_mean",5,6511.7,6534.89,ns,,,,,
"inv_chi_square_lpdf_Prim_vector_Prim_vector/256/manual_time_median",5,6507.73,6530.5,ns,,,,,
"inv_chi_square_lpdf_Prim_vector_Prim_vector/256/manual_time_stddev",5,30.8092,31.011,ns,,,,,
"inv_chi_square_lpdf_Prim_vector_Prim_vector/1024/manual_time_mean",5,25760.4,25795.6,ns,,,,,
"inv_chi_square_lpdf_Prim_vector_Prim_vector/1024/manual_time_median",5,25746.1,25780,ns,,,,,
"inv_chi_square_lpdf_Prim_vector_Prim_vector/1024/manual_time_stddev",5,144.859,143.83,ns,,,,,
"inv_chi_square_lpdf_Prim_vector_Prim_vector/4096/manual_time_mean",5,102571,102608,ns,,,,,
