name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"logistic_lpdf_Prim_real_Prim_real_Prim_vector/1/manual_time_mean",5,71.8946,96.3936,ns,,,,,
"logistic_lpdf_Prim_real_Prim_real_Prim_vector/1/manual_time_median",5,71.2528,95.8648,ns,,,,,
"logistic_lpdf_Prim_real_Prim_real_Prim_vector/1/manual_time_stddev",5,2.58684,3.01538,ns,,,,,
"logistic_lpdf_Prim_real_Prim_real_Prim_vector/4/manual_time_mean",5,120.288,144.234,ns,,,,,
"logistic_lpdf_Prim_real_Prim_real_Prim_vector/4/manual_time_median",5,118.561,142.54,ns,,,,,
"logistic_lpdf_Prim_real_Prim_real_Prim_vector/4/manual_time_stddev",5,5.29248,5.65967,ns,,,,,
"logistic_lpdf_Prim_real_Prim_real_Prim_vector/16/manual_time_mean",5,356.181,379.856,ns,,,,,
"logistic_lpdf_Prim_real_Prim_real_Prim_vector/16/manual_time_median",5,357.392,381.086,ns,,,,,
"logistic_lpdf_Prim_real_Prim_real_Prim_vector/16/manual_time_stddev",5,7.84484,8.24698,ns,,,,,
"logistic_lpdf_Prim_real_Prim_real_Prim_vector/64/manual_time_mean",5,1334.46,1357.95,ns,,,,,
"logistic_lpdf_Prim_real_Prim_real_Prim_vector/64/manual_time_median",5,1291.66,1315.55,ns,,,,,
"logistic_lpdf_Prim_real_Prim_real_Prim_vector/64/manual_time_stddev",5,101.433,101.403,ns,,,,,
"logistic_lpdf_Prim_real_Prim_real_Prim_vector/256/manual_time_mean",5,5157.71,5181.57,ns,,,,,
"logistic_lpdf_Prim_real_Prim_real_Prim_vector/256/manual_time_median",5,5144.29,5170.38,ns,,,,,
"logistic_lpdf_Prim_real_Prim_real_Prim_vector/256/manual_time_stddev",5,77.5452,77.8009,ns,,,,,
"logistic_lpdf_Prim_real_Prim_real_Prim_vector/1024/manual_time_mean",5,20623.5,20633.1,ns,,,,,
"logistic_lpdf_Prim_real_Prim_real_Prim_vector/1024/manual_time_median",5,20417.8,20437.1,ns,,,,,
"logistic_lpdf_Prim_real_Prim_real_Prim_vector/1024/manual_time_stddev",5,526.516,513.108,ns,,,,,
"logistic_lpdf_Prim_real_Prim_real_Prim_vector/4096/manual_time_mean",5,86581.7,86429.5,ns,,,,,
