2021-01-01 20:05:34
Running ./benchmarks/benchmark
Run on (8 X 4000 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x4)
  L1 Instruction 32 KiB (x4)
  L2 Unified 256 KiB (x4)
  L3 Unified 8192 KiB (x1)
Load Average: 1.65, 1.53, 1.38
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"lognormal_lpdf_Prim_real_Prim_real_Prim_vector/1/manual_time_mean",5,43.7063,67.0804,ns,,,,,
"lognormal_lpdf_Prim_real_Prim_real_Prim_vector/1/manual_time_median",5,43.0432,66.1283,ns,,,,,
"lognormal_lpdf_Prim_real_Prim_real_Prim_vector/1/manual_time_stddev",5,1.60558,2.19373,ns,,,,,
"lognormal_lpdf_Prim_real_Prim_real_Prim_vector/4/manual_time_mean",5,66.2477,89.3597,ns,,,,,
"lognormal_lpdf_Prim_real_Prim_real_Prim_vector/4/manual_time_median",5,66.202,89.302,ns,,,,,
"lognormal_lpdf_Prim_real_Prim_real_Prim_vector/4/manual_time_stddev",5,0.251603,0.315863,ns,,,,,
"lognormal_lpdf_Prim_real_Prim_real_Prim_vector/16/manual_time_mean",5,154.588,177.659,ns,,,,,
"lognormal_lpdf_Prim_real_Prim_real_Prim_vector/16/manual_time_median",5,154.475,177.589,ns,,,,,
"lognormal_lpdf_Prim_real_Prim_real_Prim_vector/16/manual_time_stddev",5,0.658262,0.703879,ns,,,,,
"lognormal_lpdf_Prim_real_Prim_real_Prim_vector/64/manual_time_mean",5,521.881,544.967,ns,,,,,
"lognormal_lpdf_Prim_real_Prim_real_Prim_vector/64/manual_time_median",5,522,545.102,ns,,,,,
"lognormal_lpdf_Prim_real_Prim_real_Prim_vector/64/manual_time_stddev",5,0.490192,0.495151,ns,,,,,
"lognormal_lpdf_Prim_real_Prim_real_Prim_vector/256/manual_time_mean",5,1968.22,1991.28,ns,,,,,
"lognormal_lpdf_Prim_real_Prim_real_Prim_vector/256/manual_time_median",5,1968.56,1991.65,ns,,,,,
"lognormal_lpdf_Prim_real_Prim_real_Prim_vector/256/manual_time_stddev",5,3.79347,3.8324,ns,,,,,
"lognormal_lpdf_Prim_real_Prim_real_Prim_vector/1024/manual_time_mean",5,7785.03,7811.68,ns,,,,,
"lognormal_lpdf_Prim_real_Prim_real_Prim_vector/1024/manual_time_median",5,7779.5,7805.95,ns,,,,,
"lognormal_lpdf_Prim_real_Prim_real_Prim_vector/1024/manual_time_stddev",5,34.249,34.5431,ns,,,,,
"lognormal_lpdf_Prim_real_Prim_real_Prim_vector/4096/manual_time_mean",5,31121.2,31167.7,ns,,,,,
"lognormal_lpdf_Prim_real_Prim_real_Prim_vector/4096/manual_time_median",5,31118.9,31166.5,ns,,,,,
"lognormal_lpdf_Prim_real_Prim_real_Prim_vector/4096/manual_time_stddev",5,61.1682,60.6852,ns,,,,,
"lognormal_lpdf_Prim_real_Prim_real_Prim_vector/16384/manual_time_mean",5,124105,124156,ns,,,,,
"lognormal_lpdf_Prim_real_Prim_real_Prim_vector/16384/manual_time_median",5,124142,124191,ns,,,,,
"lognormal_lpdf_Prim_real_Prim_real_Prim_vector/16384/manual_time_stddev",5,213.871,214.195,ns,,,,,
"lognormal_lpdf_Prim_real_Prim_real_Prim_vector/65536/manual_time_mean",5,495729,495805,ns,,,,,
"lognormal_lpdf_Prim_real_Prim_real_Prim_vector/65536/manual_time_median",5,495691,495764,ns,,,,,
"lognormal_lpdf_Prim_real_Prim_real_Prim_vector/65536/manual_time_stddev",5,322.929,326.87,ns,,,,,
"lognormal_lpdf_Prim_real_Prim_real_Prim_vector/262144/manual_time_mean",5,1.98188e+06,1.98197e+06,ns,,,,,
"lognormal_lpdf_Prim_real_Prim_real_Prim_vector/262144/manual_time_median",5,1.98305e+06,1.98308e+06,ns,,,,,
"lognormal_lpdf_Prim_real_Prim_real_Prim_vector/262144/manual_time_stddev",5,4861.23,4909.71,ns,,,,,
"lognormal_lpdf_Prim_real_Prim_real_Prim_vector/1048576/manual_time_mean",5,8.0145e+06,8.01519e+06,ns,,,,,
"lognormal_lpdf_Prim_real_Prim_real_Prim_vector/1048576/manual_time_median",5,8.00638e+06,8.00709e+06,ns,,,,,
"lognormal_lpdf_Prim_real_Prim_real_Prim_vector/1048576/manual_time_stddev",5,15154,15133.4,ns,,,,,
"lognormal_lpdf_Prim_real_Prim_real_Prim_vector/4194304/manual_time_mean",5,3.26485e+07,3.26486e+07,ns,,,,,
"lognormal_lpdf_Prim_real_Prim_real_Prim_vector/4194304/manual_time_median",5,3.26527e+07,3.26536e+07,ns,,,,,
"lognormal_lpdf_Prim_real_Prim_real_Prim_vector/4194304/manual_time_stddev",5,32243.8,32052.2,ns,,,,,
"lognormal_lpdf_Prim_real_Prim_real_Prim_vector/16777216/manual_time_mean",5,1.30714e+08,1.30714e+08,ns,,,,,
"lognormal_lpdf_Prim_real_Prim_real_Prim_vector/16777216/manual_time_median",5,1.30647e+08,1.30652e+08,ns,,,,,
"lognormal_lpdf_Prim_real_Prim_real_Prim_vector/16777216/manual_time_stddev",5,279776,278061,ns,,,,,
"lognormal_lpdf_Prim_real_Prim_real_Rev_vector/1/manual_time_mean",5,104.457,139.803,ns,,,,,
"lognormal_lpdf_Prim_real_Prim_real_Rev_vector/1/manual_time_median",5,104.468,139.791,ns,,,,,
"lognormal_lpdf_Prim_real_Prim_real_Rev_vector/1/manual_time_stddev",5,0.313983,0.412449,ns,,,,,
