name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"neg_binomial_2_lpmf_Prim_int1_Prim_real_Prim_real/1/manual_time_mean",5,101.57,125,ns,,,,,
"neg_binomial_2_lpmf_Prim_int1_Prim_real_Prim_real/1/manual_time_median",5,97.3479,120.287,ns,,,,,
"neg_binomial_2_lpmf_Prim_int1_Prim_real_Prim_real/1/manual_time_stddev",5,9.5433,10.7283,ns,,,,,
"neg_binomial_2_lpmf_Prim_int1_Prim_real_Prim_real/4/manual_time_mean",5,260.39,283.266,ns,,,,,
"neg_binomial_2_lpmf_Prim_int1_Prim_real_Prim_real/4/manual_time_median",5,259.422,282.236,ns,,,,,
"neg_binomial_2_lpmf_Prim_int1_Prim_real_Prim_real/4/manual_time_stddev",5,2.75692,2.94943,ns,,,,,
"neg_binomial_2_lpmf_Prim_int1_Prim_real_Prim_real/16/manual_time_mean",5,882.933,905.571,ns,,,,,
"neg_binomial_2_lpmf_Prim_int1_Prim_real_Prim_real/16/manual_time_median",5,881.743,904.56,ns,,,,,
"neg_binomial_2_lpmf_Prim_int1_Prim_real_Prim_real/16/manual_time_stddev",5,3.18919,3.17043,ns,,,,,
"neg_binomial_2_lpmf_Prim_int1_Prim_real_Prim_real/64/manual_time_mean",5,3386.28,3408.34,ns,,,,,
"neg_binomial_2_lpmf_Prim_int1_Prim_real_Prim_real/64/manual_time_median",5,3385.78,3406.53,ns,,,,,
"neg_binomial_2_lpmf_Prim_int1_Prim_real_Prim_real/64/manual_time_stddev",5,10.8253,11.0413,ns,,,,,
"neg_binomial_2_lpmf_Prim_int1_Prim_real_Prim_real/256/manual_time_mean",5,13441.5,13461.9,ns,,,,,
"neg_binomial_2_lpmf_Prim_int1_Prim_real_Prim_real/256/manual_time_median",5,13438.8,13461.8,ns,,,,,
"neg_binomial_2_lpmf_Prim_int1_Prim_real_Prim_real/256/manual_time_stddev",5,19.9648,17.3124,ns,,,,,
"neg_binomial_2_lpmf_Prim_int1_Prim_real_Prim_real/1024/manual_time_mean",5,53427.5,53434.2,ns,,,,,
"neg_binomial_2_lpmf_Prim_int1_Prim_real_Prim_real/1024/manual_time_median",5,53444.5,53422.5,ns,,,,,
"neg_binomial_2_lpmf_Prim_int1_Prim_real_Prim_real/1024/manual_time_stddev",5,148.019,146.161,ns,,,,,
"neg_binomial_2_lpmf_Prim_int1_Prim_real_Prim_real/4096/manual_time_mean",5,213911,213934,ns,,,,,
"neg_binomial_2_lpmf_Prim_int1_Prim_real_Prim_real/4096/manual_time_median",5,213955,213982,ns,,,,,
"neg_binomial_2_lpmf_Prim_int1_Prim_real_Prim_real/4096/manual_time_stddev",5,445.341,443.445,ns,,,,,
"neg_binomial_2_lpmf_Prim_int1_Prim_real_Prim_real/16384/manual_time_mean",5,857219,857213,ns,,,,,
"neg_binomial_2_lpmf_Prim_int1_Prim_real_Prim_real/16384/manual_time_median",5,857052,857080,ns,,,,,
"neg_binomial_2_lpmf_Prim_int1_Prim_real_Prim_real/16384/manual_time_stddev",5,1217.64,1224.15,ns,,,,,
"neg_binomial_2_lpmf_Prim_int1_Prim_real_Prim_real/65536/manual_time_mean",5,3.43012e+06,3.43001e+06,ns,,,,,
"neg_binomial_2_lpmf_Prim_int1_Prim_real_Prim_real/65536/manual_time_median",5,3.42894e+06,3.42883e+06,ns,,,,,
"neg_binomial_2_lpmf_Prim_int1_Prim_real_Prim_real/65536/manual_time_stddev",5,7732.43,7773.98,ns,,,,,
"neg_binomial_2_lpmf_Prim_int1_Prim_real_Prim_real/262144/manual_time_mean",5,1.37798e+07,1.3778e+07,ns,,,,,
"neg_binomial_2_lpmf_Prim_int1_Prim_real_Prim_real/262144/manual_time_median",5,1.37383e+07,1.37375e+07,ns,,,,,
"neg_binomial_2_lpmf_Prim_int1_Prim_real_Prim_real/262144/manual_time_stddev",5,113528,109968,ns,,,,,
"neg_binomial_2_lpmf_Prim_int1_Prim_real_Prim_real/1048576/manual_time_mean",5,5.58193e+07,5.58188e+07,ns,,,,,
"neg_binomial_2_lpmf_Prim_int1_Prim_real_Prim_real/1048576/manual_time_median",5,5.57565e+07,5.57569e+07,ns,,,,,
"neg_binomial_2_lpmf_Prim_int1_Prim_real_Prim_real/1048576/manual_time_stddev",5,166404,165782,ns,,,,,
"neg_binomial_2_lpmf_Prim_int1_Prim_real_Prim_real/4194304/manual_time_mean",5,2.33839e+08,2.33831e+08,ns,,,,,
"neg_binomial_2_lpmf_Prim_int1_Prim_real_Prim_real/4194304/manual_time_median",5,2.34041e+08,2.34043e+08,ns,,,,,
"neg_binomial_2_lpmf_Prim_int1_Prim_real_Prim_real/4194304/manual_time_stddev",5,645804,645137,ns,,,,,
"neg_binomial_2_lpmf_Prim_int1_Prim_real_Prim_real/16777216/manual_time_mean",5,9.32771e+08,9.32755e+08,ns,,,,,
"neg_binomial_2_lpmf_Prim_int1_Prim_real_Prim_real/16777216/manual_time_median",5,9.32448e+08,9.3242e+08,ns,,,,,
"neg_binomial_2_lpmf_Prim_int1_Prim_real_Prim_real/16777216/manual_time_stddev",5,1.14662e+06,1.14516e+06,ns,,,,,
"neg_binomial_2_lpmf_Prim_int1_Prim_real_Rev_real/1/manual_time_mean",5,134.892,159.497,ns,,,,,
"neg_binomial_2_lpmf_Prim_int1_Prim_real_Rev_real/1/manual_time_median",5,134.894,159.476,ns,,,,,
"neg_binomial_2_lpmf_Prim_int1_Prim_real_Rev_real/1/manual_time_stddev",5,0.202104,0.239497,ns,,,,,
"neg_binomial_2_lpmf_Prim_int1_Prim_real_Rev_real/4/manual_time_mean",5,355.285,380.108,ns,,,,,
"neg_binomial_2_lpmf_Prim_int1_Prim_real_Rev_real/4/manual_time_median",5,355.727,380.521,ns,,,,,
"neg_binomial_2_lpmf_Prim_int1_Prim_real_Rev_real/4/manual_time_stddev",5,1.04437,1.07938,ns,,,,,
