name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"neg_binomial_lpmf_Prim_int1_Prim_real_Prim_real/1/manual_time_mean",5,89.7808,113.213,ns,,,,,
"neg_binomial_lpmf_Prim_int1_Prim_real_Prim_real/1/manual_time_median",5,87.9045,110.983,ns,,,,,
"neg_binomial_lpmf_Prim_int1_Prim_real_Prim_real/1/manual_time_stddev",5,3.48873,4.11072,ns,,,,,
"neg_binomial_lpmf_Prim_int1_Prim_real_Prim_real/4/manual_time_mean",5,205.209,228.354,ns,,,,,
"neg_binomial_lpmf_Prim_int1_Prim_real_Prim_real/4/manual_time_median",5,204.792,227.865,ns,,,,,
"neg_binomial_lpmf_Prim_int1_Prim_real_Prim_real/4/manual_time_stddev",5,1.06291,1.19963,ns,,,,,
"neg_binomial_lpmf_Prim_int1_Prim_real_Prim_real/16/manual_time_mean",5,670.873,694.046,ns,,,,,
"neg_binomial_lpmf_Prim_int1_Prim_real_Prim_real/16/manual_time_median",5,668.107,691.198,ns,,,,,
"neg_binomial_lpmf_Prim_int1_Prim_real_Prim_real/16/manual_time_stddev",5,6.00147,6.11697,ns,,,,,
"neg_binomial_lpmf_Prim_int1_Prim_real_Prim_real/64/manual_time_mean",5,2540.9,2563.9,ns,,,,,
"neg_binomial_lpmf_Prim_int1_Prim_real_Prim_real/64/manual_time_median",5,2542.45,2565.21,ns,,,,,
"neg_binomial_lpmf_Prim_int1_Prim_real_Prim_real/64/manual_time_stddev",5,5.39498,5.2831,ns,,,,,
"neg_binomial_lpmf_Prim_int1_Prim_real_Prim_real/256/manual_time_mean",5,10011,10039.7,ns,,,,,
"neg_binomial_lpmf_Prim_int1_Prim_real_Prim_real/256/manual_time_median",5,9989.65,10020,ns,,,,,
"neg_binomial_lpmf_Prim_int1_Prim_real_Prim_real/256/manual_time_stddev",5,63.0363,63.3426,ns,,,,,
"neg_binomial_lpmf_Prim_int1_Prim_real_Prim_real/1024/manual_time_mean",5,39769.5,39797.3,ns,,,,,
"neg_binomial_lpmf_Prim_int1_Prim_real_Prim_real/1024/manual_time_median",5,39782.5,39811.5,ns,,,,,
"neg_binomial_lpmf_Prim_int1_Prim_real_Prim_real/1024/manual_time_stddev",5,106.272,103.617,ns,,,,,
"neg_binomial_lpmf_Prim_int1_Prim_real_Prim_real/4096/manual_time_mean",5,159636,159662,ns,,,,,
"neg_binomial_lpmf_Prim_int1_Prim_real_Prim_real/4096/manual_time_median",5,159392,159420,ns,,,,,
"neg_binomial_lpmf_Prim_int1_Prim_real_Prim_real/4096/manual_time_stddev",5,1122.21,1119.34,ns,,,,,
"neg_binomial_lpmf_Prim_int1_Prim_real_Prim_real/16384/manual_time_mean",5,633669,633683,ns,,,,,
"neg_binomial_lpmf_Prim_int1_Prim_real_Prim_real/16384/manual_time_median",5,632994,632996,ns,,,,,
"neg_binomial_lpmf_Prim_int1_Prim_real_Prim_real/16384/manual_time_stddev",5,1730.29,1721.84,ns,,,,,
"neg_binomial_lpmf_Prim_int1_Prim_real_Prim_real/65536/manual_time_mean",5,2.53284e+06,2.5328e+06,ns,,,,,
"neg_binomial_lpmf_Prim_int1_Prim_real_Prim_real/65536/manual_time_median",5,2.53464e+06,2.53464e+06,ns,,,,,
"neg_binomial_lpmf_Prim_int1_Prim_real_Prim_real/65536/manual_time_stddev",5,5567.22,5590.21,ns,,,,,
"neg_binomial_lpmf_Prim_int1_Prim_real_Prim_real/262144/manual_time_mean",5,1.01659e+07,1.01657e+07,ns,,,,,
"neg_binomial_lpmf_Prim_int1_Prim_real_Prim_real/262144/manual_time_median",5,1.01668e+07,1.01667e+07,ns,,,,,
"neg_binomial_lpmf_Prim_int1_Prim_real_Prim_real/262144/manual_time_stddev",5,13134,13282.8,ns,,,,,
"neg_binomial_lpmf_Prim_int1_Prim_real_Prim_real/1048576/manual_time_mean",5,4.06721e+07,4.06719e+07,ns,,,,,
