name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"normal_lpdf_Prim_real_Prim_real_Prim_vector/1/manual_time_mean",5,32.9415,56.0013,ns,,,,,
"normal_lpdf_Prim_real_Prim_real_Prim_vector/1/manual_time_median",5,32.4785,55.3285,ns,,,,,
"normal_lpdf_Prim_real_Prim_real_Prim_vector/1/manual_time_stddev",5,1.04045,1.53082,ns,,,,,
"normal_lpdf_Prim_real_Prim_real_Prim_vector/4/manual_time_mean",5,37.6156,60.4591,ns,,,,,
"normal_lpdf_Prim_real_Prim_real_Prim_vector/4/manual_time_median",5,37.656,60.4815,ns,,,,,
"normal_lpdf_Prim_real_Prim_real_Prim_vector/4/manual_time_stddev",5,0.0744503,0.108057,ns,,,,,
"normal_lpdf_Prim_real_Prim_real_Prim_vector/16/manual_time_mean",5,69.6191,92.5314,ns,,,,,
"normal_lpdf_Prim_real_Prim_real_Prim_vector/16/manual_time_median",5,69.5437,92.4322,ns,,,,,
"normal_lpdf_Prim_real_Prim_real_Prim_vector/16/manual_time_stddev",5,0.406024,0.51748,ns,,,,,
"normal_lpdf_Prim_real_Prim_real_Prim_vector/64/manual_time_mean",5,198.066,220.931,ns,,,,,
"normal_lpdf_Prim_real_Prim_real_Prim_vector/64/manual_time_median",5,197.866,220.752,ns,,,,,
"normal_lpdf_Prim_real_Prim_real_Prim_vector/64/manual_time_stddev",5,0.502175,0.563767,ns,,,,,
"normal_lpdf_Prim_real_Prim_real_Prim_vector/256/manual_time_mean",5,765.849,788.749,ns,,,,,
"normal_lpdf_Prim_real_Prim_real_Prim_vector/256/manual_time_median",5,765.356,788.303,ns,,,,,
"normal_lpdf_Prim_real_Prim_real_Prim_vector/256/manual_time_stddev",5,1.40259,1.42009,ns,,,,,
"normal_lpdf_Prim_real_Prim_real_Prim_vector/1024/manual_time_mean",5,2837.94,2860.97,ns,,,,,
"normal_lpdf_Prim_real_Prim_real_Prim_vector/1024/manual_time_median",5,2835.77,2858.59,ns,,,,,
"normal_lpdf_Prim_real_Prim_real_Prim_vector/1024/manual_time_stddev",5,26.9348,27.2826,ns,,,,,
"normal_lpdf_Prim_real_Prim_real_Prim_vector/4096/manual_time_mean",5,11164.9,11190.5,ns,,,,,
"normal_lpdf_Prim_real_Prim_real_Prim_vector/4096/manual_time_median",5,11154.1,11180.3,ns,,,,,
"normal_lpdf_Prim_real_Prim_real_Prim_vector/4096/manual_time_stddev",5,21.2778,21.2527,ns,,,,,
"normal_lpdf_Prim_real_Prim_real_Prim_vector/16384/manual_time_mean",5,48518.5,48565.3,ns,,,,,
"normal_lpdf_Prim_real_Prim_real_Prim_vector/16384/manual_time_median",5,48544.6,48589.1,ns,,,,,
"normal_lpdf_Prim_real_Prim_real_Prim_vector/16384/manual_time_stddev",5,70.7431,72.1586,ns,,,,,
"normal_lpdf_Prim_real_Prim_real_Prim_vector/65536/manual_time_mean",5,182785,182831,ns,,,,,
"normal_lpdf_Prim_real_Prim_real_Prim_vector/65536/manual_time_median",5,182914,182958,ns,,,,,
"normal_lpdf_Prim_real_Prim_real_Prim_vector/65536/manual_time_stddev",5,252.902,251.188,ns,,,,,
"normal_lpdf_Prim_real_Prim_real_Prim_vector/262144/manual_time_mean",5,721266,721357,ns,,,,,
"normal_lpdf_Prim_real_Prim_real_Prim_vector/262144/manual_time_median",5,719800,719877,ns,,,,,
"normal_lpdf_Prim_real_Prim_real_Prim_vector/262144/manual_time_stddev",5,3678.19,3680.55,ns,,,,,
"normal_lpdf_Prim_real_Prim_real_Prim_vector/1048576/manual_time_mean",5,3.26693e+06,3.26733e+06,ns,,,,,
"normal_lpdf_Prim_real_Prim_real_Prim_vector/1048576/manual_time_median",5,3.2655e+06,3.26614e+06,ns,,,,,
"normal_lpdf_Prim_real_Prim_real_Prim_vector/1048576/manual_time_stddev",5,12327.9,12306.5,ns,,,,,
"normal_lpdf_Prim_real_Prim_real_Prim_vector/4194304/manual_time_mean",5,2.3075e+07,2.30755e+07,ns,,,,,
"normal_lpdf_Prim_real_Prim_real_Prim_vector/4194304/manual_time_median",5,2.30871e+07,2.30881e+07,ns,,,,,
"normal_lpdf_Prim_real_Prim_real_Prim_vector/4194304/manual_time_stddev",5,33963.6,34334,ns,,,,,
"normal_lpdf_Prim_real_Prim_real_Prim_vector/16777216/manual_time_mean",5,8.97557e+07,8.97546e+07,ns,,,,,
"normal_lpdf_Prim_real_Prim_real_Prim_vector/16777216/manual_time_median",5,8.97176e+07,8.97194e+07,ns,,,,,
"normal_lpdf_Prim_real_Prim_real_Prim_vector/16777216/manual_time_stddev",5,152538,152341,ns,,,,,
"normal_lpdf_Prim_real_Prim_real_Rev_vector/1/manual_time_mean",5,115.121,150.574,ns,,,,,
"normal_lpdf_Prim_real_Prim_real_Rev_vector/1/manual_time_median",5,115.057,150.471,ns,,,,,
"normal_lpdf_Prim_real_Prim_real_Rev_vector/1/manual_time_stddev",5,0.26725,0.33535,ns,,,,,
