2021-01-02 01:18:55
Running ./benchmarks/benchmark
Run on (8 X 4000 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x4)
  L1 Instruction 32 KiB (x4)
  L2 Unified 256 KiB (x4)
  L3 Unified 8192 KiB (x1)
Load Average: 1.15, 1.33, 1.26
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"pareto_lpdf_Prim_real_Prim_real_Prim_vector/1/manual_time_mean",5,48.782,72.0087,ns,,,,,
"pareto_lpdf_Prim_real_Prim_real_Prim_vector/1/manual_time_median",5,48.138,71.1436,ns,,,,,
"pareto_lpdf_Prim_real_Prim_real_Prim_vector/1/manual_time_stddev",5,1.20117,1.54176,ns,,,,,
"pareto_lpdf_Prim_real_Prim_real_Prim_vector/4/manual_time_mean",5,69.2923,92.4113,ns,,,,,
"pareto_lpdf_Prim_real_Prim_real_Prim_vector/4/manual_time_median",5,69.2681,92.3608,ns,,,,,
"pareto_lpdf_Prim_real_Prim_real_Prim_vector/4/manual_time_stddev",5,0.121348,0.154726,ns,,,,,
"pareto_lpdf_Prim_real_Prim_real_Prim_vector/16/manual_time_mean",5,143.079,166.162,ns,,,,,
"pareto_lpdf_Prim_real_Prim_real_Prim_vector/16/manual_time_median",5,143.129,166.22,ns,,,,,
"pareto_lpdf_Prim_real_Prim_real_Prim_vector/16/manual_time_stddev",5,0.183843,0.198803,ns,,,,,
"pareto_lpdf_Prim_real_Prim_real_Prim_vector/64/manual_time_mean",5,458.068,481.149,ns,,,,,
"pareto_lpdf_Prim_real_Prim_real_Prim_vector/64/manual_time_median",5,458.138,481.239,ns,,,,,
"pareto_lpdf_Prim_real_Prim_real_Prim_vector/64/manual_time_stddev",5,1.2566,1.32942,ns,,,,,
"pareto_lpdf_Prim_real_Prim_real_Prim_vector/256/manual_time_mean",5,1670.62,1693.84,ns,,,,,
"pareto_lpdf_Prim_real_Prim_real_Prim_vector/256/manual_time_median",5,1671.09,1694.45,ns,,,,,
"pareto_lpdf_Prim_real_Prim_real_Prim_vector/256/manual_time_stddev",5,4.08688,4.17642,ns,,,,,
"pareto_lpdf_Prim_real_Prim_real_Prim_vector/1024/manual_time_mean",5,6524.46,6551.62,ns,,,,,
"pareto_lpdf_Prim_real_Prim_real_Prim_vector/1024/manual_time_median",5,6517.34,6544.35,ns,,,,,
"pareto_lpdf_Prim_real_Prim_real_Prim_vector/1024/manual_time_stddev",5,13.8201,13.9039,ns,,,,,
"pareto_lpdf_Prim_real_Prim_real_Prim_vector/4096/manual_time_mean",5,25990.3,26036.1,ns,,,,,
"pareto_lpdf_Prim_real_Prim_real_Prim_vector/4096/manual_time_median",5,25978.6,26023.9,ns,,,,,
"pareto_lpdf_Prim_real_Prim_real_Prim_vector/4096/manual_time_stddev",5,42.4027,42.8293,ns,,,,,
"pareto_lpdf_Prim_real_Prim_real_Prim_vector/16384/manual_time_mean",5,104573,104620,ns,,,,,
"pareto_lpdf_Prim_real_Prim_real_Prim_vector/16384/manual_time_median",5,103252,103301,ns,,,,,
"pareto_lpdf_Prim_real_Prim_real_Prim_vector/16384/manual_time_stddev",5,2379.4,2372.49,ns,,,,,
"pareto_lpdf_Prim_real_Prim_real_Prim_vector/65536/manual_time_mean",5,414077,414136,ns,,,,,
"pareto_lpdf_Prim_real_Prim_real_Prim_vector/65536/manual_time_median",5,413693,413750,ns,,,,,
"pareto_lpdf_Prim_real_Prim_real_Prim_vector/65536/manual_time_stddev",5,765.579,770.184,ns,,,,,
"pareto_lpdf_Prim_real_Prim_real_Prim_vector/262144/manual_time_mean",5,1.65801e+06,1.65807e+06,ns,,,,,
"pareto_lpdf_Prim_real_Prim_real_Prim_vector/262144/manual_time_median",5,1.65757e+06,1.65767e+06,ns,,,,,
"pareto_lpdf_Prim_real_Prim_real_Prim_vector/262144/manual_time_stddev",5,3208.22,3206.98,ns,,,,,
"pareto_lpdf_Prim_real_Prim_real_Prim_vector/1048576/manual_time_mean",5,6.91877e+06,6.91931e+06,ns,,,,,
"pareto_lpdf_Prim_real_Prim_real_Prim_vector/1048576/manual_time_median",5,6.92193e+06,6.92253e+06,ns,,,,,
"pareto_lpdf_Prim_real_Prim_real_Prim_vector/1048576/manual_time_stddev",5,7332.47,7428.88,ns,,,,,
"pareto_lpdf_Prim_real_Prim_real_Prim_vector/4194304/manual_time_mean",5,2.93634e+07,2.93605e+07,ns,,,,,
"pareto_lpdf_Prim_real_Prim_real_Prim_vector/4194304/manual_time_median",5,2.93927e+07,2.93768e+07,ns,,,,,
"pareto_lpdf_Prim_real_Prim_real_Prim_vector/4194304/manual_time_stddev",5,146302,145945,ns,,,,,
"pareto_lpdf_Prim_real_Prim_real_Prim_vector/16777216/manual_time_mean",5,1.19277e+08,1.19262e+08,ns,,,,,
"pareto_lpdf_Prim_real_Prim_real_Prim_vector/16777216/manual_time_median",5,1.18781e+08,1.18776e+08,ns,,,,,
"pareto_lpdf_Prim_real_Prim_real_Prim_vector/16777216/manual_time_stddev",5,1.34584e+06,1.34964e+06,ns,,,,,
"pareto_lpdf_Prim_real_Prim_real_Rev_vector/1/manual_time_mean",5,84.5478,119.916,ns,,,,,
"pareto_lpdf_Prim_real_Prim_real_Rev_vector/1/manual_time_median",5,84.5762,119.951,ns,,,,,
"pareto_lpdf_Prim_real_Prim_real_Rev_vector/1/manual_time_stddev",5,0.0902693,0.107794,ns,,,,,
"pareto_lpdf_Prim_real_Prim_real_Rev_vector/4/manual_time_mean",5,123.935,160.712,ns,,,,,
"pareto_lpdf_Prim_real_Prim_real_Rev_vector/4/manual_time_median",5,124.006,160.802,ns,,,,,
"pareto_lpdf_Prim_real_Prim_real_Rev_vector/4/manual_time_stddev",5,0.267469,0.327888,ns,,,,,
"pareto_lpdf_Prim_real_Prim_real_Rev_vector/16/manual_time_mean",5,253.656,291.812,ns,,,,,
"pareto_lpdf_Prim_real_Prim_real_Rev_vector/16/manual_time_median",5,253.623,291.737,ns,,,,,
"pareto_lpdf_Prim_real_Prim_real_Rev_vector/16/manual_time_stddev",5,0.414914,0.485358,ns,,,,,
"pareto_lpdf_Prim_real_Prim_real_Rev_vector/64/manual_time_mean",5,801.913,846.162,ns,,,,,
"pareto_lpdf_Prim_real_Prim_real_Rev_vector/64/manual_time_median",5,802.732,846.933,ns,,,,,
"pareto_lpdf_Prim_real_Prim_real_Rev_vector/64/manual_time_stddev",5,1.96559,1.96289,ns,,,,,
"pareto_lpdf_Prim_real_Prim_real_Rev_vector/256/manual_time_mean",5,3000.32,3113.05,ns,,,,,
"pareto_lpdf_Prim_real_Prim_real_Rev_vector/256/manual_time_median",5,2998.4,3110.8,ns,,,,,
"pareto_lpdf_Prim_real_Prim_real_Rev_vector/256/manual_time_stddev",5,6.97809,7.288,ns,,,,,
"pareto_lpdf_Prim_real_Prim_real_Rev_vector/1024/manual_time_mean",5,11796.8,12077.9,ns,,,,,
"pareto_lpdf_Prim_real_Prim_real_Rev_vector/1024/manual_time_median",5,11883.7,12160.8,ns,,,,,
"pareto_lpdf_Prim_real_Prim_real_Rev_vector/1024/manual_time_stddev",5,144.706,140.075,ns,,,,,
"pareto_lpdf_Prim_real_Prim_real_Rev_vector/4096/manual_time_mean",5,47564.1,48285.6,ns,,,,,
"pareto_lpdf_Prim_real_Prim_real_Rev_vector/4096/manual_time_median",5,47565.8,48287.6,ns,,,,,
"pareto_lpdf_Prim_real_Prim_real_Rev_vector/4096/manual_time_stddev",5,51.6783,51.2505,ns,,,,,
"pareto_lpdf_Prim_real_Prim_real_Rev_vector/16384/manual_time_mean",5,196992,200627,ns,,,,,
"pareto_lpdf_Prim_real_Prim_real_Rev_vector/16384/manual_time_median",5,196661,200274,ns,,,,,
"pareto_lpdf_Prim_real_Prim_real_Rev_vector/16384/manual_time_stddev",5,643.516,649.416,ns,,,,,
"pareto_lpdf_Prim_real_Prim_real_Rev_vector/65536/manual_time_mean",5,778884,794947,ns,,,,,
"pareto_lpdf_Prim_real_Prim_real_Rev_vector/65536/manual_time_median",5,779647,795753,ns,,,,,
"pareto_lpdf_Prim_real_Prim_real_Rev_vector/65536/manual_time_stddev",5,1333.47,1448.06,ns,,,,,
"pareto_lpdf_Prim_real_Prim_real_Rev_vector/262144/manual_time_mean",5,3.48166e+06,3.63066e+06,ns,,,,,
"pareto_lpdf_Prim_real_Prim_real_Rev_vector/262144/manual_time_median",5,3.48067e+06,3.62952e+06,ns,,,,,
"pareto_lpdf_Prim_real_Prim_real_Rev_vector/262144/manual_time_stddev",5,11143.7,11550.9,ns,,,,,
"pareto_lpdf_Prim_real_Prim_real_Rev_vector/1048576/manual_time_mean",5,2.03333e+07,2.10804e+07,ns,,,,,
"pareto_lpdf_Prim_real_Prim_real_Rev_vector/1048576/manual_time_median",5,2.03102e+07,2.10588e+07,ns,,,,,
"pareto_lpdf_Prim_real_Prim_real_Rev_vector/1048576/manual_time_stddev",5,37390.9,40001.6,ns,,,,,
"pareto_lpdf_Prim_real_Prim_real_Rev_vector/4194304/manual_time_mean",5,8.1014e+07,9.10761e+07,ns,,,,,
"pareto_lpdf_Prim_real_Prim_real_Rev_vector/4194304/manual_time_median",5,8.10661e+07,9.11948e+07,ns,,,,,
"pareto_lpdf_Prim_real_Prim_real_Rev_vector/4194304/manual_time_stddev",5,214586,263345,ns,,,,,
"pareto_lpdf_Prim_real_Prim_real_Rev_vector/16777216/manual_time_mean",5,3.15893e+08,3.53939e+08,ns,,,,,
"pareto_lpdf_Prim_real_Prim_real_Rev_vector/16777216/manual_time_median",5,3.15827e+08,3.53867e+08,ns,,,,,
"pareto_lpdf_Prim_real_Prim_real_Rev_vector/16777216/manual_time_stddev",5,668986,642189,ns,,,,,
"pareto_lpdf_Prim_real_Rev_real_Prim_vector/1/manual_time_mean",5,54.229,78.9969,ns,,,,,
"pareto_lpdf_Prim_real_Rev_real_Prim_vector/1/manual_time_median",5,54.1645,78.9165,ns,,,,,
"pareto_lpdf_Prim_real_Rev_real_Prim_vector/1/manual_time_stddev",5,0.192443,0.232065,ns,,,,,
"pareto_lpdf_Prim_real_Rev_real_Prim_vector/4/manual_time_mean",5,77.8521,102.597,ns,,,,,
"pareto_lpdf_Prim_real_Rev_real_Prim_vector/4/manual_time_median",5,77.7661,102.542,ns,,,,,
"pareto_lpdf_Prim_real_Rev_real_Prim_vector/4/manual_time_stddev",5,0.225486,0.244558,ns,,,,,
"pareto_lpdf_Prim_real_Rev_real_Prim_vector/16/manual_time_mean",5,188.1,212.912,ns,,,,,
"pareto_lpdf_Prim_real_Rev_real_Prim_vector/16/manual_time_median",5,187.956,212.756,ns,,,,,
"pareto_lpdf_Prim_real_Rev_real_Prim_vector/16/manual_time_stddev",5,0.59097,0.642144,ns,,,,,
"pareto_lpdf_Prim_real_Rev_real_Prim_vector/64/manual_time_mean",5,628.654,653.469,ns,,,,,
"pareto_lpdf_Prim_real_Rev_real_Prim_vector/64/manual_time_median",5,629.979,654.908,ns,,,,,
"pareto_lpdf_Prim_real_Rev_real_Prim_vector/64/manual_time_stddev",5,1.96431,2.04418,ns,,,,,
"pareto_lpdf_Prim_real_Rev_real_Prim_vector/256/manual_time_mean",5,2385.21,2409.94,ns,,,,,
"pareto_lpdf_Prim_real_Rev_real_Prim_vector/256/manual_time_median",5,2383.09,2407.87,ns,,,,,
"pareto_lpdf_Prim_real_Rev_real_Prim_vector/256/manual_time_stddev",5,7.17651,7.2477,ns,,,,,
"pareto_lpdf_Prim_real_Rev_real_Prim_vector/1024/manual_time_mean",5,9445.95,9473.97,ns,,,,,
"pareto_lpdf_Prim_real_Rev_real_Prim_vector/1024/manual_time_median",5,9453.62,9482,ns,,,,,
"pareto_lpdf_Prim_real_Rev_real_Prim_vector/1024/manual_time_stddev",5,18.4704,18.4913,ns,,,,,
"pareto_lpdf_Prim_real_Rev_real_Prim_vector/4096/manual_time_mean",5,37649.1,37688.9,ns,,,,,
"pareto_lpdf_Prim_real_Rev_real_Prim_vector/4096/manual_time_median",5,37479.4,37520.4,ns,,,,,
"pareto_lpdf_Prim_real_Rev_real_Prim_vector/4096/manual_time_stddev",5,423.908,424.192,ns,,,,,
"pareto_lpdf_Prim_real_Rev_real_Prim_vector/16384/manual_time_mean",5,149257,149292,ns,,,,,
"pareto_lpdf_Prim_real_Rev_real_Prim_vector/16384/manual_time_median",5,149223,149250,ns,,,,,
"pareto_lpdf_Prim_real_Rev_real_Prim_vector/16384/manual_time_stddev",5,481.877,480.014,ns,,,,,
"pareto_lpdf_Prim_real_Rev_real_Prim_vector/65536/manual_time_mean",5,591318,591350,ns,,,,,
"pareto_lpdf_Prim_real_Rev_real_Prim_vector/65536/manual_time_median",5,591914,591962,ns,,,,,
"pareto_lpdf_Prim_real_Rev_real_Prim_vector/65536/manual_time_stddev",5,1831.15,1826.9,ns,,,,,
"pareto_lpdf_Prim_real_Rev_real_Prim_vector/262144/manual_time_mean",5,2.35545e+06,2.3554e+06,ns,,,,,
"pareto_lpdf_Prim_real_Rev_real_Prim_vector/262144/manual_time_median",5,2.35301e+06,2.35288e+06,ns,,,,,
"pareto_lpdf_Prim_real_Rev_real_Prim_vector/262144/manual_time_stddev",5,5092.9,5088.56,ns,,,,,
"pareto_lpdf_Prim_real_Rev_real_Prim_vector/1048576/manual_time_mean",5,9.69094e+06,9.69131e+06,ns,,,,,
"pareto_lpdf_Prim_real_Rev_real_Prim_vector/1048576/manual_time_median",5,9.68547e+06,9.68554e+06,ns,,,,,
"pareto_lpdf_Prim_real_Rev_real_Prim_vector/1048576/manual_time_stddev",5,34137.5,34264.1,ns,,,,,
"pareto_lpdf_Prim_real_Rev_real_Prim_vector/4194304/manual_time_mean",5,4.06478e+07,4.06468e+07,ns,,,,,
"pareto_lpdf_Prim_real_Rev_real_Prim_vector/4194304/manual_time_median",5,4.05211e+07,4.05227e+07,ns,,,,,
"pareto_lpdf_Prim_real_Rev_real_Prim_vector/4194304/manual_time_stddev",5,271969,272597,ns,,,,,
"pareto_lpdf_Prim_real_Rev_real_Prim_vector/16777216/manual_time_mean",5,1.62467e+08,1.62462e+08,ns,,,,,
"pareto_lpdf_Prim_real_Rev_real_Prim_vector/16777216/manual_time_median",5,1.62323e+08,1.62307e+08,ns,,,,,
"pareto_lpdf_Prim_real_Rev_real_Prim_vector/16777216/manual_time_stddev",5,435872,436321,ns,,,,,
"pareto_lpdf_Prim_real_Rev_real_Rev_vector/1/manual_time_mean",5,90.5664,127.243,ns,,,,,
"pareto_lpdf_Prim_real_Rev_real_Rev_vector/1/manual_time_median",5,90.5365,127.206,ns,,,,,
"pareto_lpdf_Prim_real_Rev_real_Rev_vector/1/manual_time_stddev",5,0.315883,0.413469,ns,,,,,
"pareto_lpdf_Prim_real_Rev_real_Rev_vector/4/manual_time_mean",5,126.272,164.465,ns,,,,,
"pareto_lpdf_Prim_real_Rev_real_Rev_vector/4/manual_time_median",5,126.263,164.409,ns,,,,,
"pareto_lpdf_Prim_real_Rev_real_Rev_vector/4/manual_time_stddev",5,0.59869,0.78126,ns,,,,,
"pareto_lpdf_Prim_real_Rev_real_Rev_vector/16/manual_time_mean",5,288.467,327.906,ns,,,,,
"pareto_lpdf_Prim_real_Rev_real_Rev_vector/16/manual_time_median",5,288.113,327.584,ns,,,,,
"pareto_lpdf_Prim_real_Rev_real_Rev_vector/16/manual_time_stddev",5,0.791782,0.897324,ns,,,,,
"pareto_lpdf_Prim_real_Rev_real_Rev_vector/64/manual_time_mean",5,980.132,1025.81,ns,,,,,
"pareto_lpdf_Prim_real_Rev_real_Rev_vector/64/manual_time_median",5,978.495,1024.05,ns,,,,,
"pareto_lpdf_Prim_real_Rev_real_Rev_vector/64/manual_time_stddev",5,3.23548,3.52456,ns,,,,,
"pareto_lpdf_Prim_real_Rev_real_Rev_vector/256/manual_time_mean",5,3740.09,3858.32,ns,,,,,
"pareto_lpdf_Prim_real_Rev_real_Rev_vector/256/manual_time_median",5,3739.05,3858.58,ns,,,,,
"pareto_lpdf_Prim_real_Rev_real_Rev_vector/256/manual_time_stddev",5,5.71322,5.63068,ns,,,,,
"pareto_lpdf_Prim_real_Rev_real_Rev_vector/1024/manual_time_mean",5,14785.9,15072.2,ns,,,,,
"pareto_lpdf_Prim_real_Rev_real_Rev_vector/1024/manual_time_median",5,14833.8,15114.3,ns,,,,,
"pareto_lpdf_Prim_real_Rev_real_Rev_vector/1024/manual_time_stddev",5,128.678,119.909,ns,,,,,
"pareto_lpdf_Prim_real_Rev_real_Rev_vector/4096/manual_time_mean",5,59679.8,60408.1,ns,,,,,
"pareto_lpdf_Prim_real_Rev_real_Rev_vector/4096/manual_time_median",5,59570.9,60299.1,ns,,,,,
"pareto_lpdf_Prim_real_Rev_real_Rev_vector/4096/manual_time_stddev",5,182.808,183.059,ns,,,,,
"pareto_lpdf_Prim_real_Rev_real_Rev_vector/16384/manual_time_mean",5,245824,249459,ns,,,,,
"pareto_lpdf_Prim_real_Rev_real_Rev_vector/16384/manual_time_median",5,245502,249117,ns,,,,,
