name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"pareto_type_2_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/1/manual_time_mean",5,47.4495,70.5422,ns,,,,,
"pareto_type_2_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/1/manual_time_median",5,46.9521,69.9118,ns,,,,,
"pareto_type_2_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/1/manual_time_stddev",5,1.04601,1.43337,ns,,,,,
"pareto_type_2_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/4/manual_time_mean",5,65.5337,88.7168,ns,,,,,
"pareto_type_2_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/4/manual_time_median",5,65.4726,88.6527,ns,,,,,
"pareto_type_2_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/4/manual_time_stddev",5,0.170567,0.195737,ns,,,,,
"pareto_type_2_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/16/manual_time_mean",5,138.876,161.746,ns,,,,,
"pareto_type_2_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/16/manual_time_median",5,138.653,161.523,ns,,,,,
"pareto_type_2_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/16/manual_time_stddev",5,0.517054,0.548734,ns,,,,,
"pareto_type_2_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/64/manual_time_mean",5,438.773,461.641,ns,,,,,
"pareto_type_2_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/64/manual_time_median",5,438.548,461.43,ns,,,,,
"pareto_type_2_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/64/manual_time_stddev",5,1.25528,1.32495,ns,,,,,
"pareto_type_2_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/256/manual_time_mean",5,1617.18,1640.06,ns,,,,,
"pareto_type_2_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/256/manual_time_median",5,1617.61,1640.53,ns,,,,,
"pareto_type_2_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/256/manual_time_stddev",5,2.31613,2.31733,ns,,,,,
"pareto_type_2_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/1024/manual_time_mean",5,6317.97,6343.81,ns,,,,,
"pareto_type_2_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/1024/manual_time_median",5,6321.24,6347.3,ns,,,,,
"pareto_type_2_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/1024/manual_time_stddev",5,7.74323,7.82666,ns,,,,,
"pareto_type_2_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/4096/manual_time_mean",5,25300.3,25342.6,ns,,,,,
"pareto_type_2_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/4096/manual_time_median",5,25302.6,25345.6,ns,,,,,
"pareto_type_2_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/4096/manual_time_stddev",5,23.9255,23.4869,ns,,,,,
"pareto_type_2_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/16384/manual_time_mean",5,100594,100642,ns,,,,,
"pareto_type_2_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/16384/manual_time_median",5,100675,100723,ns,,,,,
"pareto_type_2_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/16384/manual_time_stddev",5,278.687,280.6,ns,,,,,
"pareto_type_2_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/65536/manual_time_mean",5,400791,400857,ns,,,,,
"pareto_type_2_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/65536/manual_time_median",5,400732,400802,ns,,,,,
"pareto_type_2_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/65536/manual_time_stddev",5,647.4,648.46,ns,,,,,
"pareto_type_2_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/262144/manual_time_mean",5,1.60851e+06,1.60862e+06,ns,,,,,
"pareto_type_2_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/262144/manual_time_median",5,1.608e+06,1.60811e+06,ns,,,,,
"pareto_type_2_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/262144/manual_time_stddev",5,5975.63,5991.79,ns,,,,,
"pareto_type_2_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/1048576/manual_time_mean",5,6.61167e+06,6.61194e+06,ns,,,,,
"pareto_type_2_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/1048576/manual_time_median",5,6.60768e+06,6.60812e+06,ns,,,,,
"pareto_type_2_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/1048576/manual_time_stddev",5,13415.2,13386.4,ns,,,,,
"pareto_type_2_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/4194304/manual_time_mean",5,2.73246e+07,2.73255e+07,ns,,,,,
"pareto_type_2_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/4194304/manual_time_median",5,2.73084e+07,2.73091e+07,ns,,,,,
"pareto_type_2_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/4194304/manual_time_stddev",5,63194.5,62794.9,ns,,,,,
"pareto_type_2_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/16777216/manual_time_mean",5,1.092e+08,1.09201e+08,ns,,,,,
"pareto_type_2_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/16777216/manual_time_median",5,1.08983e+08,1.08986e+08,ns,,,,,
"pareto_type_2_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/16777216/manual_time_stddev",5,460827,459289,ns,,,,,
"pareto_type_2_lpdf_Prim_real_Prim_real_Prim_real_Rev_vector/1/manual_time_mean",5,90.3888,125.668,ns,,,,,
"pareto_type_2_lpdf_Prim_real_Prim_real_Prim_real_Rev_vector/1/manual_time_median",5,90.3053,125.555,ns,,,,,
"pareto_type_2_lpdf_Prim_real_Prim_real_Prim_real_Rev_vector/1/manual_time_stddev",5,0.247136,0.340802,ns,,,,,
"pareto_type_2_lpdf_Prim_real_Prim_real_Prim_real_Rev_vector/4/manual_time_mean",5,124.313,161.222,ns,,,,,
"pareto_type_2_lpdf_Prim_real_Prim_real_Prim_real_Rev_vector/4/manual_time_median",5,123.966,160.797,ns,,,,,
"pareto_type_2_lpdf_Prim_real_Prim_real_Prim_real_Rev_vector/4/manual_time_stddev",5,0.877013,1.11492,ns,,,,,
"pareto_type_2_lpdf_Prim_real_Prim_real_Prim_real_Rev_vector/16/manual_time_mean",5,257.071,295.293,ns,,,,,
"pareto_type_2_lpdf_Prim_real_Prim_real_Prim_real_Rev_vector/16/manual_time_median",5,256.082,294.147,ns,,,,,
"pareto_type_2_lpdf_Prim_real_Prim_real_Prim_real_Rev_vector/16/manual_time_stddev",5,1.91689,2.20664,ns,,,,,
"pareto_type_2_lpdf_Prim_real_Prim_real_Prim_real_Rev_vector/64/manual_time_mean",5,813.114,857.511,ns,,,,,
"pareto_type_2_lpdf_Prim_real_Prim_real_Prim_real_Rev_vector/64/manual_time_median",5,813.515,857.917,ns,,,,,
"pareto_type_2_lpdf_Prim_real_Prim_real_Prim_real_Rev_vector/64/manual_time_stddev",5,2.85768,2.94329,ns,,,,,
"pareto_type_2_lpdf_Prim_real_Prim_real_Prim_real_Rev_vector/256/manual_time_mean",5,3005.73,3117.63,ns,,,,,
"pareto_type_2_lpdf_Prim_real_Prim_real_Prim_real_Rev_vector/256/manual_time_median",5,3007.27,3118.51,ns,,,,,
"pareto_type_2_lpdf_Prim_real_Prim_real_Prim_real_Rev_vector/256/manual_time_stddev",5,4.56796,4.55214,ns,,,,,
"pareto_type_2_lpdf_Prim_real_Prim_real_Prim_real_Rev_vector/1024/manual_time_mean",5,11889.3,12170.4,ns,,,,,
"pareto_type_2_lpdf_Prim_real_Prim_real_Prim_real_Rev_vector/1024/manual_time_median",5,11855.5,12130,ns,,,,,
"pareto_type_2_lpdf_Prim_real_Prim_real_Prim_real_Rev_vector/1024/manual_time_stddev",5,87.8036,91.5987,ns,,,,,
"pareto_type_2_lpdf_Prim_real_Prim_real_Prim_real_Rev_vector/4096/manual_time_mean",5,46962.7,47700.7,ns,,,,,
"pareto_type_2_lpdf_Prim_real_Prim_real_Prim_real_Rev_vector/4096/manual_time_median",5,46981.7,47713.3,ns,,,,,
"pareto_type_2_lpdf_Prim_real_Prim_real_Prim_real_Rev_vector/4096/manual_time_stddev",5,304.474,307.948,ns,,,,,
"pareto_type_2_lpdf_Prim_real_Prim_real_Prim_real_Rev_vector/16384/manual_time_mean",5,195179,198952,ns,,,,,
"pareto_type_2_lpdf_Prim_real_Prim_real_Prim_real_Rev_vector/16384/manual_time_median",5,194836,198629,ns,,,,,
"pareto_type_2_lpdf_Prim_real_Prim_real_Prim_real_Rev_vector/16384/manual_time_stddev",5,1049.16,1042.39,ns,,,,,
"pareto_type_2_lpdf_Prim_real_Prim_real_Prim_real_Rev_vector/65536/manual_time_mean",5,782584,798630,ns,,,,,
"pareto_type_2_lpdf_Prim_real_Prim_real_Prim_real_Rev_vector/65536/manual_time_median",5,780675,796748,ns,,,,,
"pareto_type_2_lpdf_Prim_real_Prim_real_Prim_real_Rev_vector/65536/manual_time_stddev",5,4787.86,4781.18,ns,,,,,
"pareto_type_2_lpdf_Prim_real_Prim_real_Prim_real_Rev_vector/262144/manual_time_mean",5,3.46844e+06,3.58794e+06,ns,,,,,
"pareto_type_2_lpdf_Prim_real_Prim_real_Prim_real_Rev_vector/262144/manual_time_median",5,3.46258e+06,3.581e+06,ns,,,,,
"pareto_type_2_lpdf_Prim_real_Prim_real_Prim_real_Rev_vector/262144/manual_time_stddev",5,23717.8,24524.7,ns,,,,,
