name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"poisson_log_lpmf_Prim_int1_Prim_real/1/manual_time_mean",5,37.4785,60.9122,ns,,,,,
"poisson_log_lpmf_Prim_int1_Prim_real/1/manual_time_median",5,36.6584,59.799,ns,,,,,
"poisson_log_lpmf_Prim_int1_Prim_real/1/manual_time_stddev",5,1.14634,1.59965,ns,,,,,
"poisson_log_lpmf_Prim_int1_Prim_real/4/manual_time_mean",5,52.6628,75.7649,ns,,,,,
"poisson_log_lpmf_Prim_int1_Prim_real/4/manual_time_median",5,52.6454,75.7636,ns,,,,,
"poisson_log_lpmf_Prim_int1_Prim_real/4/manual_time_stddev",5,0.0912346,0.15158,ns,,,,,
"poisson_log_lpmf_Prim_int1_Prim_real/16/manual_time_mean",5,124.356,147.412,ns,,,,,
"poisson_log_lpmf_Prim_int1_Prim_real/16/manual_time_median",5,124.264,147.316,ns,,,,,
"poisson_log_lpmf_Prim_int1_Prim_real/16/manual_time_stddev",5,0.212116,0.229025,ns,,,,,
"poisson_log_lpmf_Prim_int1_Prim_real/64/manual_time_mean",5,415.547,438.606,ns,,,,,
"poisson_log_lpmf_Prim_int1_Prim_real/64/manual_time_median",5,415.296,438.386,ns,,,,,
"poisson_log_lpmf_Prim_int1_Prim_real/64/manual_time_stddev",5,1.44102,1.49598,ns,,,,,
"poisson_log_lpmf_Prim_int1_Prim_real/256/manual_time_mean",5,1558.78,1581.81,ns,,,,,
"poisson_log_lpmf_Prim_int1_Prim_real/256/manual_time_median",5,1559.15,1582.13,ns,,,,,
"poisson_log_lpmf_Prim_int1_Prim_real/256/manual_time_stddev",5,2.36925,2.31311,ns,,,,,
"poisson_log_lpmf_Prim_int1_Prim_real/1024/manual_time_mean",5,6109.52,6133.45,ns,,,,,
"poisson_log_lpmf_Prim_int1_Prim_real/1024/manual_time_median",5,6113.9,6138.25,ns,,,,,
"poisson_log_lpmf_Prim_int1_Prim_real/1024/manual_time_stddev",5,13.7544,13.7199,ns,,,,,
"poisson_log_lpmf_Prim_int1_Prim_real/4096/manual_time_mean",5,24392,24429.1,ns,,,,,
"poisson_log_lpmf_Prim_int1_Prim_real/4096/manual_time_median",5,24371,24408.9,ns,,,,,
"poisson_log_lpmf_Prim_int1_Prim_real/4096/manual_time_stddev",5,64.4648,64.0366,ns,,,,,
"poisson_log_lpmf_Prim_int1_Prim_real/16384/manual_time_mean",5,97519.9,97561,ns,,,,,
"poisson_log_lpmf_Prim_int1_Prim_real/16384/manual_time_median",5,97382.7,97417.6,ns,,,,,
"poisson_log_lpmf_Prim_int1_Prim_real/16384/manual_time_stddev",5,275.685,278.829,ns,,,,,
"poisson_log_lpmf_Prim_int1_Prim_real/65536/manual_time_mean",5,389584,389637,ns,,,,,
"poisson_log_lpmf_Prim_int1_Prim_real/65536/manual_time_median",5,388936,388978,ns,,,,,
"poisson_log_lpmf_Prim_int1_Prim_real/65536/manual_time_stddev",5,1966.65,1969.91,ns,,,,,
"poisson_log_lpmf_Prim_int1_Prim_real/262144/manual_time_mean",5,1.55941e+06,1.55948e+06,ns,,,,,
"poisson_log_lpmf_Prim_int1_Prim_real/262144/manual_time_median",5,1.55776e+06,1.55784e+06,ns,,,,,
