name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"poisson_lpmf_Prim_int_Prim_vector/1/manual_time_mean",5,49.156,72.1204,ns,,,,,
"poisson_lpmf_Prim_int_Prim_vector/1/manual_time_median",5,48.6943,71.5106,ns,,,,,
"poisson_lpmf_Prim_int_Prim_vector/1/manual_time_stddev",5,0.944177,1.26424,ns,,,,,
"poisson_lpmf_Prim_int_Prim_vector/4/manual_time_mean",5,77.115,100.224,ns,,,,,
"poisson_lpmf_Prim_int_Prim_vector/4/manual_time_median",5,75.3346,98.1579,ns,,,,,
"poisson_lpmf_Prim_int_Prim_vector/4/manual_time_stddev",5,4.14468,4.77762,ns,,,,,
"poisson_lpmf_Prim_int_Prim_vector/16/manual_time_mean",5,184.411,207.473,ns,,,,,
"poisson_lpmf_Prim_int_Prim_vector/16/manual_time_median",5,181.433,204.215,ns,,,,,
"poisson_lpmf_Prim_int_Prim_vector/16/manual_time_stddev",5,6.35242,6.88673,ns,,,,,
"poisson_lpmf_Prim_int_Prim_vector/64/manual_time_mean",5,633.914,657.286,ns,,,,,
"poisson_lpmf_Prim_int_Prim_vector/64/manual_time_median",5,618.291,641.083,ns,,,,,
"poisson_lpmf_Prim_int_Prim_vector/64/manual_time_stddev",5,29.6122,30.2839,ns,,,,,
"poisson_lpmf_Prim_int_Prim_vector/256/manual_time_mean",5,2280.13,2303.31,ns,,,,,
"poisson_lpmf_Prim_int_Prim_vector/256/manual_time_median",5,2251.91,2274.71,ns,,,,,
"poisson_lpmf_Prim_int_Prim_vector/256/manual_time_stddev",5,51.6709,52.2208,ns,,,,,
"poisson_lpmf_Prim_int_Prim_vector/1024/manual_time_mean",5,8852.2,8881.8,ns,,,,,
"poisson_lpmf_Prim_int_Prim_vector/1024/manual_time_median",5,8775.2,8804.81,ns,,,,,
"poisson_lpmf_Prim_int_Prim_vector/1024/manual_time_stddev",5,173.045,174.179,ns,,,,,
"poisson_lpmf_Prim_int_Prim_vector/4096/manual_time_mean",5,35523.9,35567,ns,,,,,
"poisson_lpmf_Prim_int_Prim_vector/4096/manual_time_median",5,34887.7,34929.5,ns,,,,,
"poisson_lpmf_Prim_int_Prim_vector/4096/manual_time_stddev",5,1219.33,1222.16,ns,,,,,
"poisson_lpmf_Prim_int_Prim_vector/16384/manual_time_mean",5,141302,141368,ns,,,,,
"poisson_lpmf_Prim_int_Prim_vector/16384/manual_time_median",5,139649,139726,ns,,,,,
"poisson_lpmf_Prim_int_Prim_vector/16384/manual_time_stddev",5,3205.06,3203.56,ns,,,,,
"poisson_lpmf_Prim_int_Prim_vector/65536/manual_time_mean",5,567121,567188,ns,,,,,
"poisson_lpmf_Prim_int_Prim_vector/65536/manual_time_median",5,566433,566483,ns,,,,,
"poisson_lpmf_Prim_int_Prim_vector/65536/manual_time_stddev",5,12425.6,12431.1,ns,,,,,
"poisson_lpmf_Prim_int_Prim_vector/262144/manual_time_mean",5,2.30855e+06,2.30854e+06,ns,,,,,
"poisson_lpmf_Prim_int_Prim_vector/262144/manual_time_median",5,2.23415e+06,2.23415e+06,ns,,,,,
"poisson_lpmf_Prim_int_Prim_vector/262144/manual_time_stddev",5,109459,109457,ns,,,,,
"poisson_lpmf_Prim_int_Prim_vector/1048576/manual_time_mean",5,1.00553e+07,1.0055e+07,ns,,,,,
"poisson_lpmf_Prim_int_Prim_vector/1048576/manual_time_median",5,9.71138e+06,9.71121e+06,ns,,,,,
"poisson_lpmf_Prim_int_Prim_vector/1048576/manual_time_stddev",5,519497,519057,ns,,,,,
"poisson_lpmf_Prim_int_Prim_vector/4194304/manual_time_mean",5,4.18766e+07,4.1875e+07,ns,,,,,
"poisson_lpmf_Prim_int_Prim_vector/4194304/manual_time_median",5,4.107e+07,4.10698e+07,ns,,,,,
"poisson_lpmf_Prim_int_Prim_vector/4194304/manual_time_stddev",5,1.89672e+06,1.89727e+06,ns,,,,,
"poisson_lpmf_Prim_int_Prim_vector/16777216/manual_time_mean",5,1.79505e+08,1.795e+08,ns,,,,,
"poisson_lpmf_Prim_int_Prim_vector/16777216/manual_time_median",5,1.76936e+08,1.76935e+08,ns,,,,,
"poisson_lpmf_Prim_int_Prim_vector/16777216/manual_time_stddev",5,6.39905e+06,6.4053e+06,ns,,,,,
"poisson_lpmf_Prim_int_Rev_vector/1/manual_time_mean",5,89.9546,125.645,ns,,,,,
"poisson_lpmf_Prim_int_Rev_vector/1/manual_time_median",5,88.5808,123.811,ns,,,,,
"poisson_lpmf_Prim_int_Rev_vector/1/manual_time_stddev",5,3.31684,4.46023,ns,,,,,
"poisson_lpmf_Prim_int_Rev_vector/4/manual_time_mean",5,139.409,176.623,ns,,,,,
"poisson_lpmf_Prim_int_Rev_vector/4/manual_time_median",5,137.373,174.088,ns,,,,,
"poisson_lpmf_Prim_int_Rev_vector/4/manual_time_stddev",5,4.64673,5.83381,ns,,,,,
"poisson_lpmf_Prim_int_Rev_vector/16/manual_time_mean",5,313.677,352.432,ns,,,,,
"poisson_lpmf_Prim_int_Rev_vector/16/manual_time_median",5,307.574,345.458,ns,,,,,
"poisson_lpmf_Prim_int_Rev_vector/16/manual_time_stddev",5,12.3761,14.114,ns,,,,,
"poisson_lpmf_Prim_int_Rev_vector/64/manual_time_mean",5,1001.97,1046.87,ns,,,,,
"poisson_lpmf_Prim_int_Rev_vector/64/manual_time_median",5,992.883,1036.97,ns,,,,,
"poisson_lpmf_Prim_int_Rev_vector/64/manual_time_stddev",5,22.6903,23.8298,ns,,,,,
"poisson_lpmf_Prim_int_Rev_vector/256/manual_time_mean",5,3779.05,3896.22,ns,,,,,
"poisson_lpmf_Prim_int_Rev_vector/256/manual_time_median",5,3682.84,3795.17,ns,,,,,
"poisson_lpmf_Prim_int_Rev_vector/256/manual_time_stddev",5,228.022,237.961,ns,,,,,
"poisson_lpmf_Prim_int_Rev_vector/1024/manual_time_mean",5,14868.6,15161.6,ns,,,,,
"poisson_lpmf_Prim_int_Rev_vector/1024/manual_time_median",5,14691.6,14968.5,ns,,,,,
"poisson_lpmf_Prim_int_Rev_vector/1024/manual_time_stddev",5,325.987,330.259,ns,,,,,
"poisson_lpmf_Prim_int_Rev_vector/4096/manual_time_mean",5,59162.4,59896.5,ns,,,,,
"poisson_lpmf_Prim_int_Rev_vector/4096/manual_time_median",5,58710.1,59436.2,ns,,,,,
"poisson_lpmf_Prim_int_Rev_vector/4096/manual_time_stddev",5,1484.32,1496.4,ns,,,,,
"poisson_lpmf_Prim_int_Rev_vector/16384/manual_time_mean",5,245005,248620,ns,,,,,
"poisson_lpmf_Prim_int_Rev_vector/16384/manual_time_median",5,240396,243974,ns,,,,,
"poisson_lpmf_Prim_int_Rev_vector/16384/manual_time_stddev",5,8351.11,8417.96,ns,,,,,
"poisson_lpmf_Prim_int_Rev_vector/65536/manual_time_mean",5,973146,989466,ns,,,,,
"poisson_lpmf_Prim_int_Rev_vector/65536/manual_time_median",5,977842,993919,ns,,,,,
"poisson_lpmf_Prim_int_Rev_vector/65536/manual_time_stddev",5,16435,16841.7,ns,,,,,
"poisson_lpmf_Prim_int_Rev_vector/262144/manual_time_mean",5,4.26087e+06,4.41115e+06,ns,,,,,
"poisson_lpmf_Prim_int_Rev_vector/262144/manual_time_median",5,4.18893e+06,4.33472e+06,ns,,,,,
"poisson_lpmf_Prim_int_Rev_vector/262144/manual_time_stddev",5,189499,201769,ns,,,,,
"poisson_lpmf_Prim_int_Rev_vector/1048576/manual_time_mean",5,1.98666e+07,2.05857e+07,ns,,,,,
"poisson_lpmf_Prim_int_Rev_vector/1048576/manual_time_median",5,1.90724e+07,1.9756e+07,ns,,,,,
"poisson_lpmf_Prim_int_Rev_vector/1048576/manual_time_stddev",5,1.37325e+06,1.43019e+06,ns,,,,,
"poisson_lpmf_Prim_int_Rev_vector/4194304/manual_time_mean",5,9.54024e+07,1.0432e+08,ns,,,,,
"poisson_lpmf_Prim_int_Rev_vector/4194304/manual_time_median",5,9.20545e+07,1.00671e+08,ns,,,,,
"poisson_lpmf_Prim_int_Rev_vector/4194304/manual_time_stddev",5,7.71784e+06,8.15731e+06,ns,,,,,
"poisson_lpmf_Prim_int_Rev_vector/16777216/manual_time_mean",5,3.8103e+08,4.15694e+08,ns,,,,,
"poisson_lpmf_Prim_int_Rev_vector/16777216/manual_time_median",5,3.7559e+08,4.09751e+08,ns,,,,,
"poisson_lpmf_Prim_int_Rev_vector/16777216/manual_time_stddev",5,1.12756e+07,1.25802e+07,ns,,,,,
"poisson_lpmf_Prim_int1_Prim_real/1/manual_time_mean",5,38.603,61.831,ns,,,,,
"poisson_lpmf_Prim_int1_Prim_real/1/manual_time_median",5,38.3127,61.4209,ns,,,,,
"poisson_lpmf_Prim_int1_Prim_real/1/manual_time_stddev",5,0.746463,1.06081,ns,,,,,
"poisson_lpmf_Prim_int1_Prim_real/4/manual_time_mean",5,72.9749,96.1792,ns,,,,,
"poisson_lpmf_Prim_int1_Prim_real/4/manual_time_median",5,72.4006,95.5031,ns,,,,,
"poisson_lpmf_Prim_int1_Prim_real/4/manual_time_stddev",5,1.06377,1.30787,ns,,,,,
"poisson_lpmf_Prim_int1_Prim_real/16/manual_time_mean",5,222.272,245.595,ns,,,,,
"poisson_lpmf_Prim_int1_Prim_real/16/manual_time_median",5,221.032,244.241,ns,,,,,
"poisson_lpmf_Prim_int1_Prim_real/16/manual_time_stddev",5,4.78067,5.14787,ns,,,,,
"poisson_lpmf_Prim_int1_Prim_real/64/manual_time_mean",5,788.414,811.709,ns,,,,,
"poisson_lpmf_Prim_int1_Prim_real/64/manual_time_median",5,780.288,803.377,ns,,,,,
"poisson_lpmf_Prim_int1_Prim_real/64/manual_time_stddev",5,12.9955,13.3383,ns,,,,,
"poisson_lpmf_Prim_int1_Prim_real/256/manual_time_mean",5,3063.44,3086.72,ns,,,,,
"poisson_lpmf_Prim_int1_Prim_real/256/manual_time_median",5,3003.29,3026,ns,,,,,
"poisson_lpmf_Prim_int1_Prim_real/256/manual_time_stddev",5,103.824,104.276,ns,,,,,
"poisson_lpmf_Prim_int1_Prim_real/1024/manual_time_mean",5,12055.8,12092,ns,,,,,
"poisson_lpmf_Prim_int1_Prim_real/1024/manual_time_median",5,11913,11949.9,ns,,,,,
"poisson_lpmf_Prim_int1_Prim_real/1024/manual_time_stddev",5,214.201,213.079,ns,,,,,
"poisson_lpmf_Prim_int1_Prim_real/4096/manual_time_mean",5,48838,48880.3,ns,,,,,
"poisson_lpmf_Prim_int1_Prim_real/4096/manual_time_median",5,47392.3,47440,ns,,,,,
"poisson_lpmf_Prim_int1_Prim_real/4096/manual_time_stddev",5,3348.49,3342.86,ns,,,,,
