2021-01-02 10:21:21
Running ./benchmarks/benchmark
Run on (8 X 4000 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x4)
  L1 Instruction 32 KiB (x4)
  L2 Unified 256 KiB (x4)
  L3 Unified 8192 KiB (x1)
Load Average: 1.95, 1.50, 1.35
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"rayleigh_lpdf_Prim_real_Prim_vector/1/manual_time_mean",5,42.1489,65.2807,ns,,,,,
"rayleigh_lpdf_Prim_real_Prim_vector/1/manual_time_median",5,41.5667,64.4349,ns,,,,,
"rayleigh_lpdf_Prim_real_Prim_vector/1/manual_time_stddev",5,0.997857,1.46357,ns,,,,,
"rayleigh_lpdf_Prim_real_Prim_vector/4/manual_time_mean",5,64.4013,87.2983,ns,,,,,
"rayleigh_lpdf_Prim_real_Prim_vector/4/manual_time_median",5,64.405,87.3022,ns,,,,,
"rayleigh_lpdf_Prim_real_Prim_vector/4/manual_time_stddev",5,0.103403,0.131432,ns,,,,,
"rayleigh_lpdf_Prim_real_Prim_vector/16/manual_time_mean",5,162.508,185.375,ns,,,,,
"rayleigh_lpdf_Prim_real_Prim_vector/16/manual_time_median",5,162.34,185.172,ns,,,,,
"rayleigh_lpdf_Prim_real_Prim_vector/16/manual_time_stddev",5,0.500121,0.550203,ns,,,,,
"rayleigh_lpdf_Prim_real_Prim_vector/64/manual_time_mean",5,558.38,581.27,ns,,,,,
"rayleigh_lpdf_Prim_real_Prim_vector/64/manual_time_median",5,558.445,581.447,ns,,,,,
"rayleigh_lpdf_Prim_real_Prim_vector/64/manual_time_stddev",5,2.57774,2.64597,ns,,,,,
"rayleigh_lpdf_Prim_real_Prim_vector/256/manual_time_mean",5,2133.19,2156.05,ns,,,,,
"rayleigh_lpdf_Prim_real_Prim_vector/256/manual_time_median",5,2133.11,2156,ns,,,,,
"rayleigh_lpdf_Prim_real_Prim_vector/256/manual_time_stddev",5,10.2298,10.3001,ns,,,,,
"rayleigh_lpdf_Prim_real_Prim_vector/1024/manual_time_mean",5,8402.71,8430.41,ns,,,,,
"rayleigh_lpdf_Prim_real_Prim_vector/1024/manual_time_median",5,8399.45,8427.37,ns,,,,,
"rayleigh_lpdf_Prim_real_Prim_vector/1024/manual_time_stddev",5,9.60806,9.62283,ns,,,,,
"rayleigh_lpdf_Prim_real_Prim_vector/4096/manual_time_mean",5,33517.2,33565.8,ns,,,,,
"rayleigh_lpdf_Prim_real_Prim_vector/4096/manual_time_median",5,33520.3,33569.4,ns,,,,,
"rayleigh_lpdf_Prim_real_Prim_vector/4096/manual_time_stddev",5,67.4769,67.9116,ns,,,,,
"rayleigh_lpdf_Prim_real_Prim_vector/16384/manual_time_mean",5,134208,134261,ns,,,,,
"rayleigh_lpdf_Prim_real_Prim_vector/16384/manual_time_median",5,134223,134275,ns,,,,,
"rayleigh_lpdf_Prim_real_Prim_vector/16384/manual_time_stddev",5,220.001,220.253,ns,,,,,
"rayleigh_lpdf_Prim_real_Prim_vector/65536/manual_time_mean",5,536760,536830,ns,,,,,
"rayleigh_lpdf_Prim_real_Prim_vector/65536/manual_time_median",5,536674,536714,ns,,,,,
"rayleigh_lpdf_Prim_real_Prim_vector/65536/manual_time_stddev",5,1037.57,1036.11,ns,,,,,
"rayleigh_lpdf_Prim_real_Prim_vector/262144/manual_time_mean",5,2.15074e+06,2.15073e+06,ns,,,,,
"rayleigh_lpdf_Prim_real_Prim_vector/262144/manual_time_median",5,2.15111e+06,2.15089e+06,ns,,,,,
"rayleigh_lpdf_Prim_real_Prim_vector/262144/manual_time_stddev",5,6228.99,6207.11,ns,,,,,
"rayleigh_lpdf_Prim_real_Prim_vector/1048576/manual_time_mean",5,8.68911e+06,8.68979e+06,ns,,,,,
"rayleigh_lpdf_Prim_real_Prim_vector/1048576/manual_time_median",5,8.68553e+06,8.68611e+06,ns,,,,,
"rayleigh_lpdf_Prim_real_Prim_vector/1048576/manual_time_stddev",5,13444.5,13566.5,ns,,,,,
"rayleigh_lpdf_Prim_real_Prim_vector/4194304/manual_time_mean",5,3.55935e+07,3.55943e+07,ns,,,,,
"rayleigh_lpdf_Prim_real_Prim_vector/4194304/manual_time_median",5,3.55508e+07,3.55515e+07,ns,,,,,
"rayleigh_lpdf_Prim_real_Prim_vector/4194304/manual_time_stddev",5,176692,176364,ns,,,,,
"rayleigh_lpdf_Prim_real_Prim_vector/16777216/manual_time_mean",5,1.43099e+08,1.43098e+08,ns,,,,,
"rayleigh_lpdf_Prim_real_Prim_vector/16777216/manual_time_median",5,1.42584e+08,1.42575e+08,ns,,,,,
"rayleigh_lpdf_Prim_real_Prim_vector/16777216/manual_time_stddev",5,990250,991948,ns,,,,,
"rayleigh_lpdf_Prim_real_Rev_vector/1/manual_time_mean",5,100.182,139.221,ns,,,,,
"rayleigh_lpdf_Prim_real_Rev_vector/1/manual_time_median",5,99.9677,138.978,ns,,,,,
"rayleigh_lpdf_Prim_real_Rev_vector/1/manual_time_stddev",5,0.435543,0.554194,ns,,,,,
"rayleigh_lpdf_Prim_real_Rev_vector/4/manual_time_mean",5,138.405,179.449,ns,,,,,
"rayleigh_lpdf_Prim_real_Rev_vector/4/manual_time_median",5,138.352,179.491,ns,,,,,
"rayleigh_lpdf_Prim_real_Rev_vector/4/manual_time_stddev",5,0.455925,0.532755,ns,,,,,
"rayleigh_lpdf_Prim_real_Rev_vector/16/manual_time_mean",5,276.924,318.582,ns,,,,,
"rayleigh_lpdf_Prim_real_Rev_vector/16/manual_time_median",5,277.045,318.738,ns,,,,,
"rayleigh_lpdf_Prim_real_Rev_vector/16/manual_time_stddev",5,0.459136,0.503229,ns,,,,,
"rayleigh_lpdf_Prim_real_Rev_vector/64/manual_time_mean",5,850.006,898.119,ns,,,,,
"rayleigh_lpdf_Prim_real_Rev_vector/64/manual_time_median",5,852.012,900.133,ns,,,,,
"rayleigh_lpdf_Prim_real_Rev_vector/64/manual_time_stddev",5,4.51903,4.57941,ns,,,,,
"rayleigh_lpdf_Prim_real_Rev_vector/256/manual_time_mean",5,3181.76,3268.39,ns,,,,,
"rayleigh_lpdf_Prim_real_Rev_vector/256/manual_time_median",5,3184.57,3271.42,ns,,,,,
"rayleigh_lpdf_Prim_real_Rev_vector/256/manual_time_stddev",5,13.3793,13.6113,ns,,,,,
"rayleigh_lpdf_Prim_real_Rev_vector/1024/manual_time_mean",5,12852.5,13111.3,ns,,,,,
"rayleigh_lpdf_Prim_real_Rev_vector/1024/manual_time_median",5,12852.5,13105.7,ns,,,,,
"rayleigh_lpdf_Prim_real_Rev_vector/1024/manual_time_stddev",5,15.7091,13.3014,ns,,,,,
"rayleigh_lpdf_Prim_real_Rev_vector/4096/manual_time_mean",5,51605,52336.2,ns,,,,,
"rayleigh_lpdf_Prim_real_Rev_vector/4096/manual_time_median",5,51723.2,52449.8,ns,,,,,
"rayleigh_lpdf_Prim_real_Rev_vector/4096/manual_time_stddev",5,203.552,202.417,ns,,,,,
"rayleigh_lpdf_Prim_real_Rev_vector/16384/manual_time_mean",5,215535,219132,ns,,,,,
"rayleigh_lpdf_Prim_real_Rev_vector/16384/manual_time_median",5,215288,218889,ns,,,,,
"rayleigh_lpdf_Prim_real_Rev_vector/16384/manual_time_stddev",5,812.126,821.895,ns,,,,,
"rayleigh_lpdf_Prim_real_Rev_vector/65536/manual_time_mean",5,870627,886730,ns,,,,,
"rayleigh_lpdf_Prim_real_Rev_vector/65536/manual_time_median",5,870631,886703,ns,,,,,
"rayleigh_lpdf_Prim_real_Rev_vector/65536/manual_time_stddev",5,2312.19,2379.22,ns,,,,,
"rayleigh_lpdf_Prim_real_Rev_vector/262144/manual_time_mean",5,4.43905e+06,4.56896e+06,ns,,,,,
"rayleigh_lpdf_Prim_real_Rev_vector/262144/manual_time_median",5,4.44517e+06,4.57516e+06,ns,,,,,
"rayleigh_lpdf_Prim_real_Rev_vector/262144/manual_time_stddev",5,14490.8,14732.5,ns,,,,,
"rayleigh_lpdf_Prim_real_Rev_vector/1048576/manual_time_mean",5,2.84168e+07,2.91666e+07,ns,,,,,
"rayleigh_lpdf_Prim_real_Rev_vector/1048576/manual_time_median",5,2.84144e+07,2.91616e+07,ns,,,,,
"rayleigh_lpdf_Prim_real_Rev_vector/1048576/manual_time_stddev",5,75503.8,77958.5,ns,,,,,
"rayleigh_lpdf_Prim_real_Rev_vector/4194304/manual_time_mean",5,1.14091e+08,1.2407e+08,ns,,,,,
"rayleigh_lpdf_Prim_real_Rev_vector/4194304/manual_time_median",5,1.13992e+08,1.23947e+08,ns,,,,,
"rayleigh_lpdf_Prim_real_Rev_vector/4194304/manual_time_stddev",5,330777,373906,ns,,,,,
"rayleigh_lpdf_Prim_real_Rev_vector/16777216/manual_time_mean",5,4.41578e+08,4.82232e+08,ns,,,,,
"rayleigh_lpdf_Prim_real_Rev_vector/16777216/manual_time_median",5,4.41435e+08,4.8203e+08,ns,,,,,
"rayleigh_lpdf_Prim_real_Rev_vector/16777216/manual_time_stddev",5,1.36655e+06,1.43741e+06,ns,,,,,
"rayleigh_lpdf_Rev_real_Prim_vector/1/manual_time_mean",5,68.0048,92.3482,ns,,,,,
"rayleigh_lpdf_Rev_real_Prim_vector/1/manual_time_median",5,68.0084,92.3694,ns,,,,,
"rayleigh_lpdf_Rev_real_Prim_vector/1/manual_time_stddev",5,0.0758441,0.103124,ns,,,,,
"rayleigh_lpdf_Rev_real_Prim_vector/4/manual_time_mean",5,95.3953,120.736,ns,,,,,
"rayleigh_lpdf_Rev_real_Prim_vector/4/manual_time_median",5,95.4373,120.796,ns,,,,,
"rayleigh_lpdf_Rev_real_Prim_vector/4/manual_time_stddev",5,0.0974983,0.134349,ns,,,,,
"rayleigh_lpdf_Rev_real_Prim_vector/16/manual_time_mean",5,199.273,223.566,ns,,,,,
"rayleigh_lpdf_Rev_real_Prim_vector/16/manual_time_median",5,199.252,223.486,ns,,,,,
"rayleigh_lpdf_Rev_real_Prim_vector/16/manual_time_stddev",5,0.243272,0.288691,ns,,,,,
"rayleigh_lpdf_Rev_real_Prim_vector/64/manual_time_mean",5,621.759,646.118,ns,,,,,
"rayleigh_lpdf_Rev_real_Prim_vector/64/manual_time_median",5,621.48,645.766,ns,,,,,
"rayleigh_lpdf_Rev_real_Prim_vector/64/manual_time_stddev",5,1.05414,1.11507,ns,,,,,
"rayleigh_lpdf_Rev_real_Prim_vector/256/manual_time_mean",5,2308.27,2332.91,ns,,,,,
"rayleigh_lpdf_Rev_real_Prim_vector/256/manual_time_median",5,2308.49,2333.03,ns,,,,,
"rayleigh_lpdf_Rev_real_Prim_vector/256/manual_time_stddev",5,3.12167,3.18393,ns,,,,,
"rayleigh_lpdf_Rev_real_Prim_vector/1024/manual_time_mean",5,8952.17,8978.52,ns,,,,,
"rayleigh_lpdf_Rev_real_Prim_vector/1024/manual_time_median",5,8952.03,8978.31,ns,,,,,
"rayleigh_lpdf_Rev_real_Prim_vector/1024/manual_time_stddev",5,9.26207,9.19347,ns,,,,,
"rayleigh_lpdf_Rev_real_Prim_vector/4096/manual_time_mean",5,36145.4,36180.6,ns,,,,,
"rayleigh_lpdf_Rev_real_Prim_vector/4096/manual_time_median",5,36059.7,36093.6,ns,,,,,
"rayleigh_lpdf_Rev_real_Prim_vector/4096/manual_time_stddev",5,201.877,202.514,ns,,,,,
"rayleigh_lpdf_Rev_real_Prim_vector/16384/manual_time_mean",5,146282,146324,ns,,,,,
"rayleigh_lpdf_Rev_real_Prim_vector/16384/manual_time_median",5,146064,146103,ns,,,,,
"rayleigh_lpdf_Rev_real_Prim_vector/16384/manual_time_stddev",5,591.074,587.182,ns,,,,,
"rayleigh_lpdf_Rev_real_Prim_vector/65536/manual_time_mean",5,589300,589338,ns,,,,,
"rayleigh_lpdf_Rev_real_Prim_vector/65536/manual_time_median",5,589576,589582,ns,,,,,
"rayleigh_lpdf_Rev_real_Prim_vector/65536/manual_time_stddev",5,661.562,656.264,ns,,,,,
"rayleigh_lpdf_Rev_real_Prim_vector/262144/manual_time_mean",5,2.43771e+06,2.4378e+06,ns,,,,,
"rayleigh_lpdf_Rev_real_Prim_vector/262144/manual_time_median",5,2.43625e+06,2.43639e+06,ns,,,,,
"rayleigh_lpdf_Rev_real_Prim_vector/262144/manual_time_stddev",5,7455.28,7433.82,ns,,,,,
"rayleigh_lpdf_Rev_real_Prim_vector/1048576/manual_time_mean",5,1.61406e+07,1.61405e+07,ns,,,,,
"rayleigh_lpdf_Rev_real_Prim_vector/1048576/manual_time_median",5,1.61256e+07,1.61251e+07,ns,,,,,
"rayleigh_lpdf_Rev_real_Prim_vector/1048576/manual_time_stddev",5,41893.2,41940.3,ns,,,,,
"rayleigh_lpdf_Rev_real_Prim_vector/4194304/manual_time_mean",5,6.49491e+07,6.49386e+07,ns,,,,,
"rayleigh_lpdf_Rev_real_Prim_vector/4194304/manual_time_median",5,6.49269e+07,6.4927e+07,ns,,,,,
"rayleigh_lpdf_Rev_real_Prim_vector/4194304/manual_time_stddev",5,111073,108479,ns,,,,,
"rayleigh_lpdf_Rev_real_Prim_vector/16777216/manual_time_mean",5,2.54603e+08,2.54606e+08,ns,,,,,
"rayleigh_lpdf_Rev_real_Prim_vector/16777216/manual_time_median",5,2.54602e+08,2.54606e+08,ns,,,,,
"rayleigh_lpdf_Rev_real_Prim_vector/16777216/manual_time_stddev",5,219041,219467,ns,,,,,
"rayleigh_lpdf_Rev_real_Rev_vector/1/manual_time_mean",5,111.975,149.578,ns,,,,,
"rayleigh_lpdf_Rev_real_Rev_vector/1/manual_time_median",5,111.919,149.512,ns,,,,,
"rayleigh_lpdf_Rev_real_Rev_vector/1/manual_time_stddev",5,0.153477,0.174926,ns,,,,,
"rayleigh_lpdf_Rev_real_Rev_vector/4/manual_time_mean",5,146.182,185.178,ns,,,,,
