2021-01-02 15:48:58
Running ./benchmarks/benchmark
Run on (8 X 4000 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x4)
  L1 Instruction 32 KiB (x4)
  L2 Unified 256 KiB (x4)
  L3 Unified 8192 KiB (x1)
Load Average: 1.10, 1.25, 1.27
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"scaled_inv_chi_square_lpdf_Prim_real_Prim_real_Prim_vector/1/manual_time_mean",5,77.3616,101.028,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Prim_real_Prim_vector/1/manual_time_median",5,76.7407,100.237,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Prim_real_Prim_vector/1/manual_time_stddev",5,3.78145,4.40985,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Prim_real_Prim_vector/4/manual_time_mean",5,100.13,123.206,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Prim_real_Prim_vector/4/manual_time_median",5,100.209,123.269,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Prim_real_Prim_vector/4/manual_time_stddev",5,0.152828,0.171717,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Prim_real_Prim_vector/16/manual_time_mean",5,212.722,235.889,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Prim_real_Prim_vector/16/manual_time_median",5,212.155,235.287,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Prim_real_Prim_vector/16/manual_time_stddev",5,1.22668,1.27314,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Prim_real_Prim_vector/64/manual_time_mean",5,689.139,712.332,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Prim_real_Prim_vector/64/manual_time_median",5,688.94,712.122,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Prim_real_Prim_vector/64/manual_time_stddev",5,5.10445,5.18987,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Prim_real_Prim_vector/256/manual_time_mean",5,2513.69,2536.86,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Prim_real_Prim_vector/256/manual_time_median",5,2508.04,2530.84,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Prim_real_Prim_vector/256/manual_time_stddev",5,14.9734,15.1614,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Prim_real_Prim_vector/1024/manual_time_mean",5,9750.48,9774.45,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Prim_real_Prim_vector/1024/manual_time_median",5,9718.81,9743.91,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Prim_real_Prim_vector/1024/manual_time_stddev",5,72.8433,73.0873,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Prim_real_Prim_vector/4096/manual_time_mean",5,50734.3,50760,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Prim_real_Prim_vector/4096/manual_time_median",5,50710.1,50734.5,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Prim_real_Prim_vector/4096/manual_time_stddev",5,144.982,145.539,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Prim_real_Prim_vector/16384/manual_time_mean",5,204143,204187,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Prim_real_Prim_vector/16384/manual_time_median",5,203810,203842,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Prim_real_Prim_vector/16384/manual_time_stddev",5,1333.23,1333.71,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Prim_real_Prim_vector/65536/manual_time_mean",5,814401,814409,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Prim_real_Prim_vector/65536/manual_time_median",5,813678,813717,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Prim_real_Prim_vector/65536/manual_time_stddev",5,2993.08,2966,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Prim_real_Prim_vector/262144/manual_time_mean",5,3.26535e+06,3.26537e+06,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Prim_real_Prim_vector/262144/manual_time_median",5,3.25953e+06,3.2596e+06,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Prim_real_Prim_vector/262144/manual_time_stddev",5,14627.5,14642.3,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Prim_real_Prim_vector/1048576/manual_time_mean",5,1.34704e+07,1.34709e+07,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Prim_real_Prim_vector/1048576/manual_time_median",5,1.34027e+07,1.34035e+07,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Prim_real_Prim_vector/1048576/manual_time_stddev",5,151694,151811,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Prim_real_Prim_vector/4194304/manual_time_mean",5,5.24149e+07,5.24152e+07,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Prim_real_Prim_vector/4194304/manual_time_median",5,5.23763e+07,5.23779e+07,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Prim_real_Prim_vector/4194304/manual_time_stddev",5,241852,241053,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Prim_real_Prim_vector/16777216/manual_time_mean",5,2.06249e+08,2.06248e+08,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Prim_real_Prim_vector/16777216/manual_time_median",5,2.06505e+08,2.06497e+08,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Prim_real_Prim_vector/16777216/manual_time_stddev",5,788914,788716,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Prim_real_Rev_vector/1/manual_time_mean",5,101.781,137.293,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Prim_real_Rev_vector/1/manual_time_median",5,101.64,137.155,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Prim_real_Rev_vector/1/manual_time_stddev",5,0.350936,0.451908,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Prim_real_Rev_vector/4/manual_time_mean",5,149.416,186.308,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Prim_real_Rev_vector/4/manual_time_median",5,149.35,186.183,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Prim_real_Rev_vector/4/manual_time_stddev",5,0.346234,0.440218,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Prim_real_Rev_vector/16/manual_time_mean",5,323.906,362.125,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Prim_real_Rev_vector/16/manual_time_median",5,323.59,361.724,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Prim_real_Rev_vector/16/manual_time_stddev",5,0.587223,0.69725,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Prim_real_Rev_vector/64/manual_time_mean",5,1040.41,1084.73,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Prim_real_Rev_vector/64/manual_time_median",5,1038.16,1082.55,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Prim_real_Rev_vector/64/manual_time_stddev",5,4.34015,4.34791,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Prim_real_Rev_vector/256/manual_time_mean",5,3825.39,3940.3,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Prim_real_Rev_vector/256/manual_time_median",5,3830.24,3948.29,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Prim_real_Rev_vector/256/manual_time_stddev",5,13.9474,15.3659,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Prim_real_Rev_vector/1024/manual_time_mean",5,15081.2,15358.7,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Prim_real_Rev_vector/1024/manual_time_median",5,15072.5,15352,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Prim_real_Rev_vector/1024/manual_time_stddev",5,26.6831,26.3193,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Prim_real_Rev_vector/4096/manual_time_mean",5,61133.7,61876.4,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Prim_real_Rev_vector/4096/manual_time_median",5,60828.8,61564.7,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Prim_real_Rev_vector/4096/manual_time_stddev",5,756.791,770.496,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Prim_real_Rev_vector/16384/manual_time_mean",5,247743,251330,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Prim_real_Rev_vector/16384/manual_time_median",5,247037,250647,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Prim_real_Rev_vector/16384/manual_time_stddev",5,1757.14,1770.2,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Prim_real_Rev_vector/65536/manual_time_mean",5,989204,1.00529e+06,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Prim_real_Rev_vector/65536/manual_time_median",5,989196,1.00525e+06,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Prim_real_Rev_vector/65536/manual_time_stddev",5,815.995,914.521,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Prim_real_Rev_vector/262144/manual_time_mean",5,4.18338e+06,4.26836e+06,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Prim_real_Rev_vector/262144/manual_time_median",5,4.18059e+06,4.26596e+06,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Prim_real_Rev_vector/262144/manual_time_stddev",5,8279.81,8318.66,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Prim_real_Rev_vector/1048576/manual_time_mean",5,2.32393e+07,2.39425e+07,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Prim_real_Rev_vector/1048576/manual_time_median",5,2.32178e+07,2.39045e+07,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Prim_real_Rev_vector/1048576/manual_time_stddev",5,51375.3,56105.5,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Prim_real_Rev_vector/4194304/manual_time_mean",5,9.35846e+07,1.03854e+08,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Prim_real_Rev_vector/4194304/manual_time_median",5,9.34935e+07,1.03853e+08,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Prim_real_Rev_vector/4194304/manual_time_stddev",5,218882,185594,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Prim_real_Rev_vector/16777216/manual_time_mean",5,3.68662e+08,4.0884e+08,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Prim_real_Rev_vector/16777216/manual_time_median",5,3.69002e+08,4.09067e+08,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Prim_real_Rev_vector/16777216/manual_time_stddev",5,1.64134e+06,1.53843e+06,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Rev_real_Prim_vector/1/manual_time_mean",5,93.0062,117.644,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Rev_real_Prim_vector/1/manual_time_median",5,92.9159,117.568,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Rev_real_Prim_vector/1/manual_time_stddev",5,0.509501,0.598973,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Rev_real_Prim_vector/4/manual_time_mean",5,121.224,146.106,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Rev_real_Prim_vector/4/manual_time_median",5,121.337,146.249,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Rev_real_Prim_vector/4/manual_time_stddev",5,0.467568,0.539085,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Rev_real_Prim_vector/16/manual_time_mean",5,249.351,274.093,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Rev_real_Prim_vector/16/manual_time_median",5,249.407,274.139,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Rev_real_Prim_vector/16/manual_time_stddev",5,1.05276,1.12658,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Rev_real_Prim_vector/64/manual_time_mean",5,783.279,808.065,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Rev_real_Prim_vector/64/manual_time_median",5,781.804,806.602,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Rev_real_Prim_vector/64/manual_time_stddev",5,4.04997,4.14632,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Rev_real_Prim_vector/256/manual_time_mean",5,2878.96,2903.77,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Rev_real_Prim_vector/256/manual_time_median",5,2877.59,2902.27,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Rev_real_Prim_vector/256/manual_time_stddev",5,5.75332,5.79652,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Rev_real_Prim_vector/1024/manual_time_mean",5,11173.7,11198.5,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Rev_real_Prim_vector/1024/manual_time_median",5,11152.8,11178.3,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Rev_real_Prim_vector/1024/manual_time_stddev",5,50.192,50.4684,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Rev_real_Prim_vector/4096/manual_time_mean",5,57489.7,57516.4,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Rev_real_Prim_vector/4096/manual_time_median",5,57454.7,57482.6,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Rev_real_Prim_vector/4096/manual_time_stddev",5,97.5948,97.8996,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Rev_real_Prim_vector/16384/manual_time_mean",5,229205,229230,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Rev_real_Prim_vector/16384/manual_time_median",5,229105,229131,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Rev_real_Prim_vector/16384/manual_time_stddev",5,659.852,656.034,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Rev_real_Prim_vector/65536/manual_time_mean",5,919897,919941,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Rev_real_Prim_vector/65536/manual_time_median",5,917110,917157,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Rev_real_Prim_vector/65536/manual_time_stddev",5,6051.66,6033.21,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Rev_real_Prim_vector/262144/manual_time_mean",5,3.65323e+06,3.65329e+06,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Rev_real_Prim_vector/262144/manual_time_median",5,3.64705e+06,3.64714e+06,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Rev_real_Prim_vector/262144/manual_time_stddev",5,15985.8,15971.4,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Rev_real_Prim_vector/1048576/manual_time_mean",5,1.49297e+07,1.49298e+07,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Rev_real_Prim_vector/1048576/manual_time_median",5,1.49208e+07,1.49215e+07,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Rev_real_Prim_vector/1048576/manual_time_stddev",5,26184.5,25870.6,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Rev_real_Prim_vector/4194304/manual_time_mean",5,5.75437e+07,5.7544e+07,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Rev_real_Prim_vector/4194304/manual_time_median",5,5.75801e+07,5.7581e+07,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Rev_real_Prim_vector/4194304/manual_time_stddev",5,81852.1,81764.2,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Rev_real_Prim_vector/16777216/manual_time_mean",5,2.28601e+08,2.28598e+08,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Rev_real_Prim_vector/16777216/manual_time_median",5,2.2874e+08,2.28739e+08,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Rev_real_Prim_vector/16777216/manual_time_stddev",5,963936,961633,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Rev_real_Rev_vector/1/manual_time_mean",5,117.633,154.319,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Rev_real_Rev_vector/1/manual_time_median",5,117.661,154.343,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Rev_real_Rev_vector/1/manual_time_stddev",5,0.183489,0.213305,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Rev_real_Rev_vector/4/manual_time_mean",5,159.963,198.211,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Rev_real_Rev_vector/4/manual_time_median",5,159.844,198.039,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Rev_real_Rev_vector/4/manual_time_stddev",5,0.499287,0.636572,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Rev_real_Rev_vector/16/manual_time_mean",5,332.147,371.598,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Rev_real_Rev_vector/16/manual_time_median",5,331.816,371.27,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Rev_real_Rev_vector/16/manual_time_stddev",5,0.66424,0.746309,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Rev_real_Rev_vector/64/manual_time_mean",5,1045.8,1091.53,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Rev_real_Rev_vector/64/manual_time_median",5,1045.69,1091.54,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Rev_real_Rev_vector/64/manual_time_stddev",5,3.44443,3.4162,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Rev_real_Rev_vector/256/manual_time_mean",5,3847.06,3962.64,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Rev_real_Rev_vector/256/manual_time_median",5,3844.74,3961.96,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Rev_real_Rev_vector/256/manual_time_stddev",5,8.19327,8.12242,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Rev_real_Rev_vector/1024/manual_time_mean",5,15168.5,15449.6,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Rev_real_Rev_vector/1024/manual_time_median",5,15166.7,15448.6,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Rev_real_Rev_vector/1024/manual_time_stddev",5,15.1692,14.425,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Rev_real_Rev_vector/4096/manual_time_mean",5,61809.5,62539.8,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Rev_real_Rev_vector/4096/manual_time_median",5,61804.9,62537.2,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Rev_real_Rev_vector/4096/manual_time_stddev",5,125.907,127.484,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Rev_real_Rev_vector/16384/manual_time_mean",5,252573,256144,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Rev_real_Rev_vector/16384/manual_time_median",5,252304,255868,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Rev_real_Rev_vector/16384/manual_time_stddev",5,1048.67,1046.13,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Rev_real_Rev_vector/65536/manual_time_mean",5,1.00913e+06,1.02519e+06,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Rev_real_Rev_vector/65536/manual_time_median",5,1.00954e+06,1.02557e+06,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Rev_real_Rev_vector/65536/manual_time_stddev",5,1476.11,1483.27,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Rev_real_Rev_vector/262144/manual_time_mean",5,4.33581e+06,4.45087e+06,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Rev_real_Rev_vector/262144/manual_time_median",5,4.34103e+06,4.45564e+06,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Rev_real_Rev_vector/262144/manual_time_stddev",5,9633.09,10440.1,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Rev_real_Rev_vector/1048576/manual_time_mean",5,2.38015e+07,2.4547e+07,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Rev_real_Rev_vector/1048576/manual_time_median",5,2.38069e+07,2.45517e+07,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Rev_real_Rev_vector/1048576/manual_time_stddev",5,13290.6,15395,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Rev_real_Rev_vector/4194304/manual_time_mean",5,9.42627e+07,1.04475e+08,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Rev_real_Rev_vector/4194304/manual_time_median",5,9.41796e+07,1.04405e+08,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Rev_real_Rev_vector/4194304/manual_time_stddev",5,191741,211452,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Rev_real_Rev_vector/16777216/manual_time_mean",5,3.71864e+08,4.11692e+08,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Rev_real_Rev_vector/16777216/manual_time_median",5,3.70882e+08,4.10614e+08,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Rev_real_Rev_vector/16777216/manual_time_stddev",5,2.35967e+06,2.25704e+06,ns,,,,,
"scaled_inv_chi_square_lpdf_Rev_real_Prim_real_Prim_vector/1/manual_time_mean",5,81.1297,105.85,ns,,,,,
"scaled_inv_chi_square_lpdf_Rev_real_Prim_real_Prim_vector/1/manual_time_median",5,81.0656,105.796,ns,,,,,
"scaled_inv_chi_square_lpdf_Rev_real_Prim_real_Prim_vector/1/manual_time_stddev",5,0.142665,0.177891,ns,,,,,
"scaled_inv_chi_square_lpdf_Rev_real_Prim_real_Prim_vector/4/manual_time_mean",5,113.076,137.843,ns,,,,,
"scaled_inv_chi_square_lpdf_Rev_real_Prim_real_Prim_vector/4/manual_time_median",5,113.119,137.906,ns,,,,,
"scaled_inv_chi_square_lpdf_Rev_real_Prim_real_Prim_vector/4/manual_time_stddev",5,0.399589,0.460772,ns,,,,,
"scaled_inv_chi_square_lpdf_Rev_real_Prim_real_Prim_vector/16/manual_time_mean",5,243.749,268.33,ns,,,,,
"scaled_inv_chi_square_lpdf_Rev_real_Prim_real_Prim_vector/16/manual_time_median",5,243.676,268.294,ns,,,,,
"scaled_inv_chi_square_lpdf_Rev_real_Prim_real_Prim_vector/16/manual_time_stddev",5,1.08406,1.17432,ns,,,,,
"scaled_inv_chi_square_lpdf_Rev_real_Prim_real_Prim_vector/64/manual_time_mean",5,793.241,818.057,ns,,,,,
"scaled_inv_chi_square_lpdf_Rev_real_Prim_real_Prim_vector/64/manual_time_median",5,790.628,815.411,ns,,,,,
"scaled_inv_chi_square_lpdf_Rev_real_Prim_real_Prim_vector/64/manual_time_stddev",5,6.40148,6.60524,ns,,,,,
"scaled_inv_chi_square_lpdf_Rev_real_Prim_real_Prim_vector/256/manual_time_mean",5,2953.51,2978.27,ns,,,,,
"scaled_inv_chi_square_lpdf_Rev_real_Prim_real_Prim_vector/256/manual_time_median",5,2949.77,2974.27,ns,,,,,
"scaled_inv_chi_square_lpdf_Rev_real_Prim_real_Prim_vector/256/manual_time_stddev",5,22.5062,22.6812,ns,,,,,
"scaled_inv_chi_square_lpdf_Rev_real_Prim_real_Prim_vector/1024/manual_time_mean",5,11516.5,11542.8,ns,,,,,
"scaled_inv_chi_square_lpdf_Rev_real_Prim_real_Prim_vector/1024/manual_time_median",5,11486.2,11512.4,ns,,,,,
"scaled_inv_chi_square_lpdf_Rev_real_Prim_real_Prim_vector/1024/manual_time_stddev",5,83.0848,83.3272,ns,,,,,
"scaled_inv_chi_square_lpdf_Rev_real_Prim_real_Prim_vector/4096/manual_time_mean",5,57125.5,57159.4,ns,,,,,
"scaled_inv_chi_square_lpdf_Rev_real_Prim_real_Prim_vector/4096/manual_time_median",5,57142.6,57172.9,ns,,,,,
"scaled_inv_chi_square_lpdf_Rev_real_Prim_real_Prim_vector/4096/manual_time_stddev",5,126.958,128.884,ns,,,,,
"scaled_inv_chi_square_lpdf_Rev_real_Prim_real_Prim_vector/16384/manual_time_mean",5,228552,228582,ns,,,,,
"scaled_inv_chi_square_lpdf_Rev_real_Prim_real_Prim_vector/16384/manual_time_median",5,228633,228670,ns,,,,,
"scaled_inv_chi_square_lpdf_Rev_real_Prim_real_Prim_vector/16384/manual_time_stddev",5,272.195,269.284,ns,,,,,
