2021-01-02 17:32:57
Running ./benchmarks/benchmark
Run on (8 X 4000 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x4)
  L1 Instruction 32 KiB (x4)
  L2 Unified 256 KiB (x4)
  L3 Unified 8192 KiB (x1)
Load Average: 1.27, 1.39, 1.33
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"skew_normal_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/1/manual_time_mean",5,44.6802,68.1241,ns,,,,,
"skew_normal_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/1/manual_time_median",5,43.7954,67.8695,ns,,,,,
"skew_normal_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/1/manual_time_stddev",5,2.23713,2.33806,ns,,,,,
"skew_normal_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/4/manual_time_mean",5,56.2071,79.4233,ns,,,,,
"skew_normal_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/4/manual_time_median",5,56.1856,79.4149,ns,,,,,
"skew_normal_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/4/manual_time_stddev",5,0.154042,0.223342,ns,,,,,
"skew_normal_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/16/manual_time_mean",5,139.453,162.562,ns,,,,,
"skew_normal_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/16/manual_time_median",5,139.403,162.527,ns,,,,,
"skew_normal_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/16/manual_time_stddev",5,0.283314,0.319905,ns,,,,,
"skew_normal_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/64/manual_time_mean",5,471.608,494.75,ns,,,,,
"skew_normal_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/64/manual_time_median",5,469.432,492.535,ns,,,,,
"skew_normal_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/64/manual_time_stddev",5,4.3841,4.43788,ns,,,,,
"skew_normal_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/256/manual_time_mean",5,1753.92,1776.82,ns,,,,,
"skew_normal_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/256/manual_time_median",5,1755.42,1778.23,ns,,,,,
"skew_normal_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/256/manual_time_stddev",5,4.07952,4.04306,ns,,,,,
"skew_normal_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/1024/manual_time_mean",5,6883.97,6914.95,ns,,,,,
"skew_normal_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/1024/manual_time_median",5,6880.47,6911.14,ns,,,,,
"skew_normal_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/1024/manual_time_stddev",5,11.9012,11.7855,ns,,,,,
"skew_normal_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/4096/manual_time_mean",5,27509.3,27548.1,ns,,,,,
"skew_normal_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/4096/manual_time_median",5,27512.2,27550.3,ns,,,,,
"skew_normal_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/4096/manual_time_stddev",5,74.247,73.1921,ns,,,,,
"skew_normal_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/16384/manual_time_mean",5,110812,110857,ns,,,,,
"skew_normal_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/16384/manual_time_median",5,110533,110580,ns,,,,,
"skew_normal_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/16384/manual_time_stddev",5,852.978,852.934,ns,,,,,
"skew_normal_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/65536/manual_time_mean",5,441782,441856,ns,,,,,
"skew_normal_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/65536/manual_time_median",5,441469,441549,ns,,,,,
"skew_normal_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/65536/manual_time_stddev",5,959.668,953.523,ns,,,,,
"skew_normal_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/262144/manual_time_mean",5,1.77577e+06,1.77587e+06,ns,,,,,
"skew_normal_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/262144/manual_time_median",5,1.77321e+06,1.77332e+06,ns,,,,,
"skew_normal_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/262144/manual_time_stddev",5,5123.31,5118.25,ns,,,,,
"skew_normal_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/1048576/manual_time_mean",5,7.18706e+06,7.18761e+06,ns,,,,,
"skew_normal_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/1048576/manual_time_median",5,7.18372e+06,7.18422e+06,ns,,,,,
