name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"std_normal_lpdf_Prim_vector/1/manual_time_mean",5,19.2768,42.5405,ns,,,,,
"std_normal_lpdf_Prim_vector/1/manual_time_median",5,18.9725,42.0046,ns,,,,,
"std_normal_lpdf_Prim_vector/1/manual_time_stddev",5,0.430642,0.796879,ns,,,,,
"std_normal_lpdf_Prim_vector/4/manual_time_mean",5,22.6424,45.6784,ns,,,,,
"std_normal_lpdf_Prim_vector/4/manual_time_median",5,22.6087,45.618,ns,,,,,
"std_normal_lpdf_Prim_vector/4/manual_time_stddev",5,0.0774004,0.139203,ns,,,,,
"std_normal_lpdf_Prim_vector/16/manual_time_mean",5,38.544,61.5148,ns,,,,,
"std_normal_lpdf_Prim_vector/16/manual_time_median",5,38.5296,61.49,ns,,,,,
"std_normal_lpdf_Prim_vector/16/manual_time_stddev",5,0.104158,0.159861,ns,,,,,
"std_normal_lpdf_Prim_vector/64/manual_time_mean",5,110.974,134.003,ns,,,,,
"std_normal_lpdf_Prim_vector/64/manual_time_median",5,110.421,133.43,ns,,,,,
"std_normal_lpdf_Prim_vector/64/manual_time_stddev",5,1.28133,1.29008,ns,,,,,
"std_normal_lpdf_Prim_vector/256/manual_time_mean",5,354.789,377.729,ns,,,,,
"std_normal_lpdf_Prim_vector/256/manual_time_median",5,353.156,376.245,ns,,,,,
"std_normal_lpdf_Prim_vector/256/manual_time_stddev",5,5.09786,5.09771,ns,,,,,
"std_normal_lpdf_Prim_vector/1024/manual_time_mean",5,1341.03,1363.65,ns,,,,,
"std_normal_lpdf_Prim_vector/1024/manual_time_median",5,1340.95,1363.21,ns,,,,,
"std_normal_lpdf_Prim_vector/1024/manual_time_stddev",5,1.57144,1.78056,ns,,,,,
"std_normal_lpdf_Prim_vector/4096/manual_time_mean",5,5312.11,5336.14,ns,,,,,
"std_normal_lpdf_Prim_vector/4096/manual_time_median",5,5313.39,5335.56,ns,,,,,
"std_normal_lpdf_Prim_vector/4096/manual_time_stddev",5,5.63678,6.33048,ns,,,,,
"std_normal_lpdf_Prim_vector/16384/manual_time_mean",5,21544.5,21566.2,ns,,,,,
"std_normal_lpdf_Prim_vector/16384/manual_time_median",5,21507.2,21533.4,ns,,,,,
"std_normal_lpdf_Prim_vector/16384/manual_time_stddev",5,57.2622,56.203,ns,,,,,
"std_normal_lpdf_Prim_vector/65536/manual_time_mean",5,86273,86297.5,ns,,,,,
"std_normal_lpdf_Prim_vector/65536/manual_time_median",5,86274.9,86325.9,ns,,,,,
"std_normal_lpdf_Prim_vector/65536/manual_time_stddev",5,197.701,167.958,ns,,,,,
"std_normal_lpdf_Prim_vector/262144/manual_time_mean",5,344694,344676,ns,,,,,
"std_normal_lpdf_Prim_vector/262144/manual_time_median",5,344374,344416,ns,,,,,
"std_normal_lpdf_Prim_vector/262144/manual_time_stddev",5,760.606,654.46,ns,,,,,
"std_normal_lpdf_Prim_vector/1048576/manual_time_mean",5,1.52358e+06,1.52381e+06,ns,,,,,
"std_normal_lpdf_Prim_vector/1048576/manual_time_median",5,1.52125e+06,1.52171e+06,ns,,,,,
"std_normal_lpdf_Prim_vector/1048576/manual_time_stddev",5,14067.5,13900.5,ns,,,,,
"std_normal_lpdf_Prim_vector/4194304/manual_time_mean",5,7.06869e+06,7.06843e+06,ns,,,,,
"std_normal_lpdf_Prim_vector/4194304/manual_time_median",5,7.0854e+06,7.08163e+06,ns,,,,,
"std_normal_lpdf_Prim_vector/4194304/manual_time_stddev",5,264002,263729,ns,,,,,
"std_normal_lpdf_Prim_vector/16777216/manual_time_mean",5,2.77822e+07,2.77761e+07,ns,,,,,
"std_normal_lpdf_Prim_vector/16777216/manual_time_median",5,2.77631e+07,2.77475e+07,ns,,,,,
"std_normal_lpdf_Prim_vector/16777216/manual_time_stddev",5,75947.6,80388.2,ns,,,,,
"std_normal_lpdf_Rev_vector/1/manual_time_mean",5,50.702,84.5492,ns,,,,,
"std_normal_lpdf_Rev_vector/1/manual_time_median",5,50.7157,84.5349,ns,,,,,
"std_normal_lpdf_Rev_vector/1/manual_time_stddev",5,0.111508,0.164961,ns,,,,,
"std_normal_lpdf_Rev_vector/4/manual_time_mean",5,68.2695,103.25,ns,,,,,
"std_normal_lpdf_Rev_vector/4/manual_time_median",5,68.2185,103.172,ns,,,,,
"std_normal_lpdf_Rev_vector/4/manual_time_stddev",5,0.229025,0.339152,ns,,,,,
