2021-01-03 00:38:37
Running ./benchmarks/benchmark
Run on (8 X 4000 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x4)
  L1 Instruction 32 KiB (x4)
  L2 Unified 256 KiB (x4)
  L3 Unified 8192 KiB (x1)
Load Average: 1.14, 1.27, 1.30
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"student_t_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/1/manual_time_mean",5,92.4764,115.795,ns,,,,,
"student_t_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/1/manual_time_median",5,90.1782,113.277,ns,,,,,
"student_t_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/1/manual_time_stddev",5,5.18849,6.06563,ns,,,,,
"student_t_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/4/manual_time_mean",5,122.499,145.395,ns,,,,,
"student_t_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/4/manual_time_median",5,122.204,145.026,ns,,,,,
"student_t_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/4/manual_time_stddev",5,0.608485,0.675447,ns,,,,,
"student_t_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/16/manual_time_mean",5,255.608,278.474,ns,,,,,
"student_t_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/16/manual_time_median",5,255.536,278.419,ns,,,,,
"student_t_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/16/manual_time_stddev",5,0.233454,0.247389,ns,,,,,
"student_t_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/64/manual_time_mean",5,794.005,816.867,ns,,,,,
"student_t_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/64/manual_time_median",5,793.143,816.03,ns,,,,,
"student_t_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/64/manual_time_stddev",5,1.68988,1.71571,ns,,,,,
"student_t_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/256/manual_time_mean",5,2922.32,2945.22,ns,,,,,
"student_t_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/256/manual_time_median",5,2926.72,2949.75,ns,,,,,
"student_t_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/256/manual_time_stddev",5,8.34044,8.35979,ns,,,,,
"student_t_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/1024/manual_time_mean",5,11440,11474.3,ns,,,,,
"student_t_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/1024/manual_time_median",5,11429.5,11467.7,ns,,,,,
"student_t_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/1024/manual_time_stddev",5,26.5292,26.1877,ns,,,,,
"student_t_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/4096/manual_time_mean",5,45414.5,45460.2,ns,,,,,
"student_t_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/4096/manual_time_median",5,45382.2,45429.7,ns,,,,,
"student_t_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/4096/manual_time_stddev",5,91.8965,92.7788,ns,,,,,
