name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"uniform_lpdf_Prim_real_Prim_real_Prim_vector/1/manual_time_mean",5,49.0105,72.2838,ns,,,,,
"uniform_lpdf_Prim_real_Prim_real_Prim_vector/1/manual_time_median",5,47.7588,70.6855,ns,,,,,
"uniform_lpdf_Prim_real_Prim_real_Prim_vector/1/manual_time_stddev",5,1.83376,2.36865,ns,,,,,
"uniform_lpdf_Prim_real_Prim_real_Prim_vector/4/manual_time_mean",5,73.3828,96.2599,ns,,,,,
"uniform_lpdf_Prim_real_Prim_real_Prim_vector/4/manual_time_median",5,73.36,96.2599,ns,,,,,
"uniform_lpdf_Prim_real_Prim_real_Prim_vector/4/manual_time_stddev",5,0.0963994,0.102944,ns,,,,,
"uniform_lpdf_Prim_real_Prim_real_Prim_vector/16/manual_time_mean",5,164.953,187.847,ns,,,,,
"uniform_lpdf_Prim_real_Prim_real_Prim_vector/16/manual_time_median",5,164.84,187.713,ns,,,,,
"uniform_lpdf_Prim_real_Prim_real_Prim_vector/16/manual_time_stddev",5,0.77444,0.822742,ns,,,,,
"uniform_lpdf_Prim_real_Prim_real_Prim_vector/64/manual_time_mean",5,543.858,566.809,ns,,,,,
"uniform_lpdf_Prim_real_Prim_real_Prim_vector/64/manual_time_median",5,545.178,568.152,ns,,,,,
"uniform_lpdf_Prim_real_Prim_real_Prim_vector/64/manual_time_stddev",5,2.58122,2.643,ns,,,,,
"uniform_lpdf_Prim_real_Prim_real_Prim_vector/256/manual_time_mean",5,1963.95,1986.85,ns,,,,,
"uniform_lpdf_Prim_real_Prim_real_Prim_vector/256/manual_time_median",5,1961.61,1984.4,ns,,,,,
"uniform_lpdf_Prim_real_Prim_real_Prim_vector/256/manual_time_stddev",5,5.77939,5.80071,ns,,,,,
"uniform_lpdf_Prim_real_Prim_real_Prim_vector/1024/manual_time_mean",5,7701.13,7729.72,ns,,,,,
"uniform_lpdf_Prim_real_Prim_real_Prim_vector/1024/manual_time_median",5,7707.38,7736.33,ns,,,,,
"uniform_lpdf_Prim_real_Prim_real_Prim_vector/1024/manual_time_stddev",5,11.4599,11.872,ns,,,,,
"uniform_lpdf_Prim_real_Prim_real_Prim_vector/4096/manual_time_mean",5,30642.9,30695.1,ns,,,,,
"uniform_lpdf_Prim_real_Prim_real_Prim_vector/4096/manual_time_median",5,30668.8,30719.5,ns,,,,,
"uniform_lpdf_Prim_real_Prim_real_Prim_vector/4096/manual_time_stddev",5,64.7268,65.83,ns,,,,,
"uniform_lpdf_Prim_real_Prim_real_Prim_vector/16384/manual_time_mean",5,122876,122926,ns,,,,,
"uniform_lpdf_Prim_real_Prim_real_Prim_vector/16384/manual_time_median",5,122872,122921,ns,,,,,
"uniform_lpdf_Prim_real_Prim_real_Prim_vector/16384/manual_time_stddev",5,278.852,276.022,ns,,,,,
"uniform_lpdf_Prim_real_Prim_real_Prim_vector/65536/manual_time_mean",5,493528,493592,ns,,,,,
"uniform_lpdf_Prim_real_Prim_real_Prim_vector/65536/manual_time_median",5,493216,493272,ns,,,,,
"uniform_lpdf_Prim_real_Prim_real_Prim_vector/65536/manual_time_stddev",5,1448.85,1423.19,ns,,,,,
"uniform_lpdf_Prim_real_Prim_real_Prim_vector/262144/manual_time_mean",5,1.97057e+06,1.97061e+06,ns,,,,,
"uniform_lpdf_Prim_real_Prim_real_Prim_vector/262144/manual_time_median",5,1.97072e+06,1.97071e+06,ns,,,,,
"uniform_lpdf_Prim_real_Prim_real_Prim_vector/262144/manual_time_stddev",5,4338.05,4297.12,ns,,,,,
"uniform_lpdf_Prim_real_Prim_real_Prim_vector/1048576/manual_time_mean",5,8.55795e+06,8.55844e+06,ns,,,,,
"uniform_lpdf_Prim_real_Prim_real_Prim_vector/1048576/manual_time_median",5,8.55693e+06,8.55707e+06,ns,,,,,
"uniform_lpdf_Prim_real_Prim_real_Prim_vector/1048576/manual_time_stddev",5,18235.6,18371,ns,,,,,
"uniform_lpdf_Prim_real_Prim_real_Prim_vector/4194304/manual_time_mean",5,3.56815e+07,3.56813e+07,ns,,,,,
"uniform_lpdf_Prim_real_Prim_real_Prim_vector/4194304/manual_time_median",5,3.56719e+07,3.56725e+07,ns,,,,,
"uniform_lpdf_Prim_real_Prim_real_Prim_vector/4194304/manual_time_stddev",5,122122,122276,ns,,,,,
"uniform_lpdf_Prim_real_Prim_real_Prim_vector/16777216/manual_time_mean",5,1.60336e+08,1.60334e+08,ns,,,,,
"uniform_lpdf_Prim_real_Prim_real_Prim_vector/16777216/manual_time_median",5,1.60478e+08,1.60475e+08,ns,,,,,
"uniform_lpdf_Prim_real_Prim_real_Prim_vector/16777216/manual_time_stddev",5,306303,301942,ns,,,,,
"uniform_lpdf_Prim_real_Prim_real_Rev_vector/1/manual_time_mean",5,84.1098,119.581,ns,,,,,
"uniform_lpdf_Prim_real_Prim_real_Rev_vector/1/manual_time_median",5,84.0708,119.523,ns,,,,,
"uniform_lpdf_Prim_real_Prim_real_Rev_vector/1/manual_time_stddev",5,0.358578,0.478956,ns,,,,,
"uniform_lpdf_Prim_real_Prim_real_Rev_vector/4/manual_time_mean",5,128.359,165.272,ns,,,,,
"uniform_lpdf_Prim_real_Prim_real_Rev_vector/4/manual_time_median",5,128.458,165.328,ns,,,,,
"uniform_lpdf_Prim_real_Prim_real_Rev_vector/4/manual_time_stddev",5,0.341509,0.425383,ns,,,,,
"uniform_lpdf_Prim_real_Prim_real_Rev_vector/16/manual_time_mean",5,277.924,316.082,ns,,,,,
"uniform_lpdf_Prim_real_Prim_real_Rev_vector/16/manual_time_median",5,278.137,316.305,ns,,,,,
"uniform_lpdf_Prim_real_Prim_real_Rev_vector/16/manual_time_stddev",5,0.489423,0.571494,ns,,,,,
"uniform_lpdf_Prim_real_Prim_real_Rev_vector/64/manual_time_mean",5,885.997,930.246,ns,,,,,
"uniform_lpdf_Prim_real_Prim_real_Rev_vector/64/manual_time_median",5,886.956,931.134,ns,,,,,
"uniform_lpdf_Prim_real_Prim_real_Rev_vector/64/manual_time_stddev",5,5.45415,5.57334,ns,,,,,
"uniform_lpdf_Prim_real_Prim_real_Rev_vector/256/manual_time_mean",5,3378.92,3502.8,ns,,,,,
"uniform_lpdf_Prim_real_Prim_real_Rev_vector/256/manual_time_median",5,3353.55,3474.74,ns,,,,,
"uniform_lpdf_Prim_real_Prim_real_Rev_vector/256/manual_time_stddev",5,54.1304,55.6151,ns,,,,,
"uniform_lpdf_Prim_real_Prim_real_Rev_vector/1024/manual_time_mean",5,13114.8,13402.2,ns,,,,,
"uniform_lpdf_Prim_real_Prim_real_Rev_vector/1024/manual_time_median",5,13052.8,13331.7,ns,,,,,
"uniform_lpdf_Prim_real_Prim_real_Rev_vector/1024/manual_time_stddev",5,112.839,126.888,ns,,,,,
"uniform_lpdf_Prim_real_Prim_real_Rev_vector/4096/manual_time_mean",5,53048.8,53798.2,ns,,,,,
"uniform_lpdf_Prim_real_Prim_real_Rev_vector/4096/manual_time_median",5,53073.3,53825.2,ns,,,,,
"uniform_lpdf_Prim_real_Prim_real_Rev_vector/4096/manual_time_stddev",5,178.523,181.465,ns,,,,,
"uniform_lpdf_Prim_real_Prim_real_Rev_vector/16384/manual_time_mean",5,217525,221147,ns,,,,,
"uniform_lpdf_Prim_real_Prim_real_Rev_vector/16384/manual_time_median",5,217446,221061,ns,,,,,
"uniform_lpdf_Prim_real_Prim_real_Rev_vector/16384/manual_time_stddev",5,349.509,353.048,ns,,,,,
"uniform_lpdf_Prim_real_Prim_real_Rev_vector/65536/manual_time_mean",5,888409,904740,ns,,,,,
"uniform_lpdf_Prim_real_Prim_real_Rev_vector/65536/manual_time_median",5,869977,886001,ns,,,,,
"uniform_lpdf_Prim_real_Prim_real_Rev_vector/65536/manual_time_stddev",5,26051,26506.7,ns,,,,,
"uniform_lpdf_Prim_real_Prim_real_Rev_vector/262144/manual_time_mean",5,3.86049e+06,4.00644e+06,ns,,,,,
"uniform_lpdf_Prim_real_Prim_real_Rev_vector/262144/manual_time_median",5,3.85777e+06,4.0026e+06,ns,,,,,
"uniform_lpdf_Prim_real_Prim_real_Rev_vector/262144/manual_time_stddev",5,16809,18298.9,ns,,,,,
"uniform_lpdf_Prim_real_Prim_real_Rev_vector/1048576/manual_time_mean",5,1.77288e+07,1.84334e+07,ns,,,,,
"uniform_lpdf_Prim_real_Prim_real_Rev_vector/1048576/manual_time_median",5,1.77209e+07,1.84238e+07,ns,,,,,
"uniform_lpdf_Prim_real_Prim_real_Rev_vector/1048576/manual_time_stddev",5,43987.9,45323.8,ns,,,,,
"uniform_lpdf_Prim_real_Prim_real_Rev_vector/4194304/manual_time_mean",5,8.93688e+07,9.9578e+07,ns,,,,,
"uniform_lpdf_Prim_real_Prim_real_Rev_vector/4194304/manual_time_median",5,8.93252e+07,9.95013e+07,ns,,,,,
"uniform_lpdf_Prim_real_Prim_real_Rev_vector/4194304/manual_time_stddev",5,182840,226146,ns,,,,,
"uniform_lpdf_Prim_real_Prim_real_Rev_vector/16777216/manual_time_mean",5,3.64417e+08,4.05056e+08,ns,,,,,
"uniform_lpdf_Prim_real_Prim_real_Rev_vector/16777216/manual_time_median",5,3.64255e+08,4.05088e+08,ns,,,,,
"uniform_lpdf_Prim_real_Prim_real_Rev_vector/16777216/manual_time_stddev",5,909653,568584,ns,,,,,
"uniform_lpdf_Prim_real_Rev_real_Prim_vector/1/manual_time_mean",5,52.9547,77.6513,ns,,,,,
"uniform_lpdf_Prim_real_Rev_real_Prim_vector/1/manual_time_median",5,52.9692,77.67,ns,,,,,
"uniform_lpdf_Prim_real_Rev_real_Prim_vector/1/manual_time_stddev",5,0.101182,0.107792,ns,,,,,
"uniform_lpdf_Prim_real_Rev_real_Prim_vector/4/manual_time_mean",5,81.3925,106.171,ns,,,,,
"uniform_lpdf_Prim_real_Rev_real_Prim_vector/4/manual_time_median",5,81.3066,106.005,ns,,,,,
"uniform_lpdf_Prim_real_Rev_real_Prim_vector/4/manual_time_stddev",5,0.530212,0.647836,ns,,,,,
"uniform_lpdf_Prim_real_Rev_real_Prim_vector/16/manual_time_mean",5,198.006,222.678,ns,,,,,
"uniform_lpdf_Prim_real_Rev_real_Prim_vector/16/manual_time_median",5,198.088,222.816,ns,,,,,
"uniform_lpdf_Prim_real_Rev_real_Prim_vector/16/manual_time_stddev",5,0.560429,0.591113,ns,,,,,
"uniform_lpdf_Prim_real_Rev_real_Prim_vector/64/manual_time_mean",5,661.648,686.267,ns,,,,,
"uniform_lpdf_Prim_real_Rev_real_Prim_vector/64/manual_time_median",5,660.639,685.42,ns,,,,,
"uniform_lpdf_Prim_real_Rev_real_Prim_vector/64/manual_time_stddev",5,2.37601,2.52849,ns,,,,,
"uniform_lpdf_Prim_real_Rev_real_Prim_vector/256/manual_time_mean",5,2428.9,2452.98,ns,,,,,
"uniform_lpdf_Prim_real_Rev_real_Prim_vector/256/manual_time_median",5,2428.41,2453.15,ns,,,,,
"uniform_lpdf_Prim_real_Rev_real_Prim_vector/256/manual_time_stddev",5,10.1441,10.0521,ns,,,,,
"uniform_lpdf_Prim_real_Rev_real_Prim_vector/1024/manual_time_mean",5,9569.46,9596.93,ns,,,,,
