name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"weibull_lpdf_Prim_real_Prim_real_Prim_vector/1/manual_time_mean",5,74.5646,97.9919,ns,,,,,
"weibull_lpdf_Prim_real_Prim_real_Prim_vector/1/manual_time_median",5,72.7786,95.9403,ns,,,,,
"weibull_lpdf_Prim_real_Prim_real_Prim_vector/1/manual_time_stddev",5,4.08985,4.83387,ns,,,,,
"weibull_lpdf_Prim_real_Prim_real_Prim_vector/4/manual_time_mean",5,134.928,157.85,ns,,,,,
"weibull_lpdf_Prim_real_Prim_real_Prim_vector/4/manual_time_median",5,134.803,157.744,ns,,,,,
"weibull_lpdf_Prim_real_Prim_real_Prim_vector/4/manual_time_stddev",5,0.259356,0.294731,ns,,,,,
"weibull_lpdf_Prim_real_Prim_real_Prim_vector/16/manual_time_mean",5,384.257,407.206,ns,,,,,
"weibull_lpdf_Prim_real_Prim_real_Prim_vector/16/manual_time_median",5,384.242,407.181,ns,,,,,
"weibull_lpdf_Prim_real_Prim_real_Prim_vector/16/manual_time_stddev",5,0.719227,0.778964,ns,,,,,
"weibull_lpdf_Prim_real_Prim_real_Prim_vector/64/manual_time_mean",5,1371.11,1393.96,ns,,,,,
"weibull_lpdf_Prim_real_Prim_real_Prim_vector/64/manual_time_median",5,1369.74,1392.52,ns,,,,,
"weibull_lpdf_Prim_real_Prim_real_Prim_vector/64/manual_time_stddev",5,3.44215,3.52465,ns,,,,,
"weibull_lpdf_Prim_real_Prim_real_Prim_vector/256/manual_time_mean",5,5340.67,5364.5,ns,,,,,
"weibull_lpdf_Prim_real_Prim_real_Prim_vector/256/manual_time_median",5,5339.9,5363.9,ns,,,,,
"weibull_lpdf_Prim_real_Prim_real_Prim_vector/256/manual_time_stddev",5,23.9504,23.6051,ns,,,,,
"weibull_lpdf_Prim_real_Prim_real_Prim_vector/1024/manual_time_mean",5,21712.9,21736.7,ns,,,,,
"weibull_lpdf_Prim_real_Prim_real_Prim_vector/1024/manual_time_median",5,22168.7,22192.7,ns,,,,,
"weibull_lpdf_Prim_real_Prim_real_Prim_vector/1024/manual_time_stddev",5,699.398,697.434,ns,,,,,
"weibull_lpdf_Prim_real_Prim_real_Prim_vector/4096/manual_time_mean",5,88129.4,88156.6,ns,,,,,
"weibull_lpdf_Prim_real_Prim_real_Prim_vector/4096/manual_time_median",5,88155.6,88182.2,ns,,,,,
"weibull_lpdf_Prim_real_Prim_real_Prim_vector/4096/manual_time_stddev",5,138.761,136.411,ns,,,,,
"weibull_lpdf_Prim_real_Prim_real_Prim_vector/16384/manual_time_mean",5,352135,352157,ns,,,,,
"weibull_lpdf_Prim_real_Prim_real_Prim_vector/16384/manual_time_median",5,351896,351926,ns,,,,,
