name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"bernoulli_logit_lpmf_Prim_int_Prim_vector/1/manual_time_mean",5,87026.9,76325.3,ns,,,,,
"bernoulli_logit_lpmf_Prim_int_Prim_vector/1/manual_time_median",5,87013,76135.9,ns,,,,,
"bernoulli_logit_lpmf_Prim_int_Prim_vector/1/manual_time_stddev",5,550.864,656.838,ns,,,,,
"bernoulli_logit_lpmf_Prim_int_Prim_vector/4/manual_time_mean",5,87237.8,76160.8,ns,,,,,
"bernoulli_logit_lpmf_Prim_int_Prim_vector/4/manual_time_median",5,87384,76252,ns,,,,,
"bernoulli_logit_lpmf_Prim_int_Prim_vector/4/manual_time_stddev",5,570.683,247.377,ns,,,,,
"bernoulli_logit_lpmf_Prim_int_Prim_vector/16/manual_time_mean",5,87302.2,76144.3,ns,,,,,
"bernoulli_logit_lpmf_Prim_int_Prim_vector/16/manual_time_median",5,87424.5,76320.6,ns,,,,,
"bernoulli_logit_lpmf_Prim_int_Prim_vector/16/manual_time_stddev",5,943.943,262.724,ns,,,,,
"bernoulli_logit_lpmf_Prim_int_Prim_vector/64/manual_time_mean",5,90549.2,76994.5,ns,,,,,
"bernoulli_logit_lpmf_Prim_int_Prim_vector/64/manual_time_median",5,90626.7,77031.5,ns,,,,,
"bernoulli_logit_lpmf_Prim_int_Prim_vector/64/manual_time_stddev",5,856.832,243.89,ns,,,,,
"bernoulli_logit_lpmf_Prim_int_Prim_vector/256/manual_time_mean",5,120337,84035.4,ns,,,,,
"bernoulli_logit_lpmf_Prim_int_Prim_vector/256/manual_time_median",5,119323,84020.6,ns,,,,,
"bernoulli_logit_lpmf_Prim_int_Prim_vector/256/manual_time_stddev",5,2730.25,102.322,ns,,,,,
"bernoulli_logit_lpmf_Prim_int_Prim_vector/1024/manual_time_mean",5,114154,83253.4,ns,,,,,
"bernoulli_logit_lpmf_Prim_int_Prim_vector/1024/manual_time_median",5,114013,83243.8,ns,,,,,
"bernoulli_logit_lpmf_Prim_int_Prim_vector/1024/manual_time_stddev",5,655.612,335.602,ns,,,,,
"bernoulli_logit_lpmf_Prim_int_Prim_vector/4096/manual_time_mean",5,123918,92981.6,ns,,,,,
"bernoulli_logit_lpmf_Prim_int_Prim_vector/4096/manual_time_median",5,123654,92971.7,ns,,,,,
