name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"bernoulli_lpmf_Prim_int_Prim_vector/1/manual_time_mean",5,90481.5,70633.7,ns,,,,,
"bernoulli_lpmf_Prim_int_Prim_vector/1/manual_time_median",5,90587.8,70366,ns,,,,,
"bernoulli_lpmf_Prim_int_Prim_vector/1/manual_time_stddev",5,951.067,794.385,ns,,,,,
"bernoulli_lpmf_Prim_int_Prim_vector/4/manual_time_mean",5,90747,70156.5,ns,,,,,
"bernoulli_lpmf_Prim_int_Prim_vector/4/manual_time_median",5,90184.9,70244.8,ns,,,,,
"bernoulli_lpmf_Prim_int_Prim_vector/4/manual_time_stddev",5,1955.75,205.359,ns,,,,,
"bernoulli_lpmf_Prim_int_Prim_vector/16/manual_time_mean",5,88785.1,69850.8,ns,,,,,
"bernoulli_lpmf_Prim_int_Prim_vector/16/manual_time_median",5,88140.5,69716.4,ns,,,,,
"bernoulli_lpmf_Prim_int_Prim_vector/16/manual_time_stddev",5,1886.12,349.533,ns,,,,,
"bernoulli_lpmf_Prim_int_Prim_vector/64/manual_time_mean",5,102904,72688.8,ns,,,,,
"bernoulli_lpmf_Prim_int_Prim_vector/64/manual_time_median",5,102260,72556.1,ns,,,,,
"bernoulli_lpmf_Prim_int_Prim_vector/64/manual_time_stddev",5,1712.54,430.388,ns,,,,,
"bernoulli_lpmf_Prim_int_Prim_vector/256/manual_time_mean",5,113599,75918.4,ns,,,,,
"bernoulli_lpmf_Prim_int_Prim_vector/256/manual_time_median",5,113361,75811.3,ns,,,,,
"bernoulli_lpmf_Prim_int_Prim_vector/256/manual_time_stddev",5,1774.74,377,ns,,,,,
"bernoulli_lpmf_Prim_int_Prim_vector/1024/manual_time_mean",5,111421,76635.2,ns,,,,,
"bernoulli_lpmf_Prim_int_Prim_vector/1024/manual_time_median",5,111188,76586.1,ns,,,,,
"bernoulli_lpmf_Prim_int_Prim_vector/1024/manual_time_stddev",5,876.359,216.203,ns,,,,,
"bernoulli_lpmf_Prim_int_Prim_vector/4096/manual_time_mean",5,119177,85450.7,ns,,,,,
"bernoulli_lpmf_Prim_int_Prim_vector/4096/manual_time_median",5,119377,85192.4,ns,,,,,
"bernoulli_lpmf_Prim_int_Prim_vector/4096/manual_time_stddev",5,1597.41,933.07,ns,,,,,
"bernoulli_lpmf_Prim_int_Prim_vector/16384/manual_time_mean",5,154609,120357,ns,,,,,
"bernoulli_lpmf_Prim_int_Prim_vector/16384/manual_time_median",5,154443,120294,ns,,,,,
"bernoulli_lpmf_Prim_int_Prim_vector/16384/manual_time_stddev",5,1289.34,285.299,ns,,,,,
"bernoulli_lpmf_Prim_int_Prim_vector/65536/manual_time_mean",5,296379,253574,ns,,,,,
"bernoulli_lpmf_Prim_int_Prim_vector/65536/manual_time_median",5,295900,253555,ns,,,,,
"bernoulli_lpmf_Prim_int_Prim_vector/65536/manual_time_stddev",5,1773.74,793.248,ns,,,,,
"bernoulli_lpmf_Prim_int_Prim_vector/262144/manual_time_mean",5,741262,701363,ns,,,,,
"bernoulli_lpmf_Prim_int_Prim_vector/262144/manual_time_median",5,740262,699612,ns,,,,,
"bernoulli_lpmf_Prim_int_Prim_vector/262144/manual_time_stddev",5,5703.85,5454.42,ns,,,,,
"bernoulli_lpmf_Prim_int_Prim_vector/1048576/manual_time_mean",5,2.62869e+06,2.55465e+06,ns,,,,,
"bernoulli_lpmf_Prim_int_Prim_vector/1048576/manual_time_median",5,2.61999e+06,2.54707e+06,ns,,,,,
"bernoulli_lpmf_Prim_int_Prim_vector/1048576/manual_time_stddev",5,24827,23812.2,ns,,,,,
"bernoulli_lpmf_Prim_int_Prim_vector/4194304/manual_time_mean",5,1.0117e+07,9.99069e+06,ns,,,,,
"bernoulli_lpmf_Prim_int_Prim_vector/4194304/manual_time_median",5,1.01112e+07,9.96495e+06,ns,,,,,
"bernoulli_lpmf_Prim_int_Prim_vector/4194304/manual_time_stddev",5,51525.7,51631.4,ns,,,,,
"bernoulli_lpmf_Prim_int_Prim_vector/16777216/manual_time_mean",5,3.94034e+07,3.83948e+07,ns,,,,,
"bernoulli_lpmf_Prim_int_Prim_vector/16777216/manual_time_median",5,3.94015e+07,3.91234e+07,ns,,,,,
"bernoulli_lpmf_Prim_int_Prim_vector/16777216/manual_time_stddev",5,133620,1.07341e+06,ns,,,,,
"bernoulli_lpmf_Prim_int_Rev_vector/1/manual_time_mean",5,203248,183904,ns,,,,,
"bernoulli_lpmf_Prim_int_Rev_vector/1/manual_time_median",5,201466,185106,ns,,,,,
"bernoulli_lpmf_Prim_int_Rev_vector/1/manual_time_stddev",5,5347.94,2139.94,ns,,,,,
"bernoulli_lpmf_Prim_int_Rev_vector/4/manual_time_mean",5,204725,187221,ns,,,,,
"bernoulli_lpmf_Prim_int_Rev_vector/4/manual_time_median",5,205258,186736,ns,,,,,
"bernoulli_lpmf_Prim_int_Rev_vector/4/manual_time_stddev",5,1261.93,813.469,ns,,,,,
"bernoulli_lpmf_Prim_int_Rev_vector/16/manual_time_mean",5,199745,184784,ns,,,,,
"bernoulli_lpmf_Prim_int_Rev_vector/16/manual_time_median",5,200106,184689,ns,,,,,
"bernoulli_lpmf_Prim_int_Rev_vector/16/manual_time_stddev",5,2788.87,1327.62,ns,,,,,
"bernoulli_lpmf_Prim_int_Rev_vector/64/manual_time_mean",5,207657,188787,ns,,,,,
"bernoulli_lpmf_Prim_int_Rev_vector/64/manual_time_median",5,208000,189109,ns,,,,,
"bernoulli_lpmf_Prim_int_Rev_vector/64/manual_time_stddev",5,2773.65,541.406,ns,,,,,
"bernoulli_lpmf_Prim_int_Rev_vector/256/manual_time_mean",5,263400,218154,ns,,,,,
"bernoulli_lpmf_Prim_int_Rev_vector/256/manual_time_median",5,264434,217380,ns,,,,,
"bernoulli_lpmf_Prim_int_Rev_vector/256/manual_time_stddev",5,2868.25,3567.46,ns,,,,,
