name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"bernoulli_logit_lpmf_Prim_int1_Prim_real/1/manual_time_mean",5,174642,45694.4,ns,,,,,
"bernoulli_logit_lpmf_Prim_int1_Prim_real/1/manual_time_median",5,175519,45795,ns,,,,,
"bernoulli_logit_lpmf_Prim_int1_Prim_real/1/manual_time_stddev",5,4276.69,2126.91,ns,,,,,
"bernoulli_logit_lpmf_Prim_int1_Prim_real/4/manual_time_mean",5,174779,44666,ns,,,,,
"bernoulli_logit_lpmf_Prim_int1_Prim_real/4/manual_time_median",5,171731,42231.2,ns,,,,,
"bernoulli_logit_lpmf_Prim_int1_Prim_real/4/manual_time_stddev",5,9589.92,4414.74,ns,,,,,
"bernoulli_logit_lpmf_Prim_int1_Prim_real/16/manual_time_mean",5,167811,42601.5,ns,,,,,
"bernoulli_logit_lpmf_Prim_int1_Prim_real/16/manual_time_median",5,167705,41821.6,ns,,,,,
"bernoulli_logit_lpmf_Prim_int1_Prim_real/16/manual_time_stddev",5,2055.23,1586.9,ns,,,,,
"bernoulli_logit_lpmf_Prim_int1_Prim_real/64/manual_time_mean",5,171319,43838.3,ns,,,,,
"bernoulli_logit_lpmf_Prim_int1_Prim_real/64/manual_time_median",5,171655,42067.2,ns,,,,,
"bernoulli_logit_lpmf_Prim_int1_Prim_real/64/manual_time_stddev",5,4883.75,3133.08,ns,,,,,
"bernoulli_logit_lpmf_Prim_int1_Prim_real/256/manual_time_mean",5,168688,42554,ns,,,,,
"bernoulli_logit_lpmf_Prim_int1_Prim_real/256/manual_time_median",5,168413,42681.5,ns,,,,,
"bernoulli_logit_lpmf_Prim_int1_Prim_real/256/manual_time_stddev",5,1647.63,784.802,ns,,,,,
"bernoulli_logit_lpmf_Prim_int1_Prim_real/1024/manual_time_mean",5,170821,43088.5,ns,,,,,
"bernoulli_logit_lpmf_Prim_int1_Prim_real/1024/manual_time_median",5,168964,42886.3,ns,,,,,
"bernoulli_logit_lpmf_Prim_int1_Prim_real/1024/manual_time_stddev",5,3667.38,1148.06,ns,,,,,
"bernoulli_logit_lpmf_Prim_int1_Prim_real/4096/manual_time_mean",5,167434,42184.7,ns,,,,,
"bernoulli_logit_lpmf_Prim_int1_Prim_real/4096/manual_time_median",5,167684,41922.2,ns,,,,,
"bernoulli_logit_lpmf_Prim_int1_Prim_real/4096/manual_time_stddev",5,2306.32,924.824,ns,,,,,
"bernoulli_logit_lpmf_Prim_int1_Prim_real/16384/manual_time_mean",5,171880,44983.3,ns,,,,,
"bernoulli_logit_lpmf_Prim_int1_Prim_real/16384/manual_time_median",5,171060,44482.2,ns,,,,,
"bernoulli_logit_lpmf_Prim_int1_Prim_real/16384/manual_time_stddev",5,2372.91,1031.61,ns,,,,,
"bernoulli_logit_lpmf_Prim_int1_Prim_real/65536/manual_time_mean",5,177293,46287.4,ns,,,,,
"bernoulli_logit_lpmf_Prim_int1_Prim_real/65536/manual_time_median",5,177594,46366.8,ns,,,,,
"bernoulli_logit_lpmf_Prim_int1_Prim_real/65536/manual_time_stddev",5,1541.66,577.959,ns,,,,,
"bernoulli_logit_lpmf_Prim_int1_Prim_real/262144/manual_time_mean",5,221044,52262.9,ns,,,,,
"bernoulli_logit_lpmf_Prim_int1_Prim_real/262144/manual_time_median",5,220684,52893.4,ns,,,,,
"bernoulli_logit_lpmf_Prim_int1_Prim_real/262144/manual_time_stddev",5,6301.38,3153.1,ns,,,,,
"bernoulli_logit_lpmf_Prim_int1_Prim_real/1048576/manual_time_mean",5,345990,60598.3,ns,,,,,
"bernoulli_logit_lpmf_Prim_int1_Prim_real/1048576/manual_time_median",5,344127,60945.1,ns,,,,,
"bernoulli_logit_lpmf_Prim_int1_Prim_real/1048576/manual_time_stddev",5,5153.24,1903.69,ns,,,,,
"bernoulli_logit_lpmf_Prim_int1_Prim_real/4194304/manual_time_mean",5,926508,119273,ns,,,,,
"bernoulli_logit_lpmf_Prim_int1_Prim_real/4194304/manual_time_median",5,932713,122751,ns,,,,,
"bernoulli_logit_lpmf_Prim_int1_Prim_real/4194304/manual_time_stddev",5,21098.1,13250.9,ns,,,,,
"bernoulli_logit_lpmf_Prim_int1_Prim_real/16777216/manual_time_mean",5,3.33688e+06,351350,ns,,,,,
"bernoulli_logit_lpmf_Prim_int1_Prim_real/16777216/manual_time_median",5,3.34309e+06,342075,ns,,,,,
"bernoulli_logit_lpmf_Prim_int1_Prim_real/16777216/manual_time_stddev",5,18909.1,21577.8,ns,,,,,
"bernoulli_logit_lpmf_Prim_int1_Rev_real/1/manual_time_mean",5,248127,56340.1,ns,,,,,
"bernoulli_logit_lpmf_Prim_int1_Rev_real/1/manual_time_median",5,249132,56350.9,ns,,,,,
"bernoulli_logit_lpmf_Prim_int1_Rev_real/1/manual_time_stddev",5,3866.63,539.2,ns,,,,,
"bernoulli_logit_lpmf_Prim_int1_Rev_real/4/manual_time_mean",5,255876,56650,ns,,,,,
"bernoulli_logit_lpmf_Prim_int1_Rev_real/4/manual_time_median",5,252299,56893.1,ns,,,,,
"bernoulli_logit_lpmf_Prim_int1_Rev_real/4/manual_time_stddev",5,7117.94,722.211,ns,,,,,
"bernoulli_logit_lpmf_Prim_int1_Rev_real/16/manual_time_mean",5,251131,57620.4,ns,,,,,
"bernoulli_logit_lpmf_Prim_int1_Rev_real/16/manual_time_median",5,249362,57473.3,ns,,,,,
"bernoulli_logit_lpmf_Prim_int1_Rev_real/16/manual_time_stddev",5,6755.14,872.791,ns,,,,,
"bernoulli_logit_lpmf_Prim_int1_Rev_real/64/manual_time_mean",5,252602,56701.1,ns,,,,,
"bernoulli_logit_lpmf_Prim_int1_Rev_real/64/manual_time_median",5,250850,56474.8,ns,,,,,
"bernoulli_logit_lpmf_Prim_int1_Rev_real/64/manual_time_stddev",5,8652.69,995.688,ns,,,,,
"bernoulli_logit_lpmf_Prim_int1_Rev_real/256/manual_time_mean",5,256347,58052.2,ns,,,,,
"bernoulli_logit_lpmf_Prim_int1_Rev_real/256/manual_time_median",5,255324,57391.4,ns,,,,,
"bernoulli_logit_lpmf_Prim_int1_Rev_real/256/manual_time_stddev",5,3844.55,2142.07,ns,,,,,
"bernoulli_logit_lpmf_Prim_int1_Rev_real/1024/manual_time_mean",5,255333,57152.2,ns,,,,,
"bernoulli_logit_lpmf_Prim_int1_Rev_real/1024/manual_time_median",5,249697,57089.6,ns,,,,,
"bernoulli_logit_lpmf_Prim_int1_Rev_real/1024/manual_time_stddev",5,12001.7,952.742,ns,,,,,
"bernoulli_logit_lpmf_Prim_int1_Rev_real/4096/manual_time_mean",5,247852,57039.3,ns,,,,,
"bernoulli_logit_lpmf_Prim_int1_Rev_real/4096/manual_time_median",5,247798,57367.3,ns,,,,,
"bernoulli_logit_lpmf_Prim_int1_Rev_real/4096/manual_time_stddev",5,2757.61,507.085,ns,,,,,
"bernoulli_logit_lpmf_Prim_int1_Rev_real/16384/manual_time_mean",5,259374,59627.6,ns,,,,,
"bernoulli_logit_lpmf_Prim_int1_Rev_real/16384/manual_time_median",5,255000,58417.3,ns,,,,,
"bernoulli_logit_lpmf_Prim_int1_Rev_real/16384/manual_time_stddev",5,12367.7,2688.23,ns,,,,,
"bernoulli_logit_lpmf_Prim_int1_Rev_real/65536/manual_time_mean",5,276751,60712,ns,,,,,
"bernoulli_logit_lpmf_Prim_int1_Rev_real/65536/manual_time_median",5,277402,60584,ns,,,,,
"bernoulli_logit_lpmf_Prim_int1_Rev_real/65536/manual_time_stddev",5,9927.1,1739.91,ns,,,,,
"bernoulli_logit_lpmf_Prim_int1_Rev_real/262144/manual_time_mean",5,363739,69674.6,ns,,,,,
"bernoulli_logit_lpmf_Prim_int1_Rev_real/262144/manual_time_median",5,362974,69117.5,ns,,,,,
"bernoulli_logit_lpmf_Prim_int1_Rev_real/262144/manual_time_stddev",5,3237.7,1097.57,ns,,,,,
"bernoulli_logit_lpmf_Prim_int1_Rev_real/1048576/manual_time_mean",5,581065,81940.5,ns,,,,,
"bernoulli_logit_lpmf_Prim_int1_Rev_real/1048576/manual_time_median",5,578585,79664.1,ns,,,,,
"bernoulli_logit_lpmf_Prim_int1_Rev_real/1048576/manual_time_stddev",5,14305.2,5427.24,ns,,,,,
"bernoulli_logit_lpmf_Prim_int1_Rev_real/4194304/manual_time_mean",5,1.61832e+06,187781,ns,,,,,
"bernoulli_logit_lpmf_Prim_int1_Rev_real/4194304/manual_time_median",5,1.62014e+06,182733,ns,,,,,
"bernoulli_logit_lpmf_Prim_int1_Rev_real/4194304/manual_time_stddev",5,17537.4,13093.3,ns,,,,,
"bernoulli_logit_lpmf_Prim_int1_Rev_real/16777216/manual_time_mean",5,5.86574e+06,550921,ns,,,,,
"bernoulli_logit_lpmf_Prim_int1_Rev_real/16777216/manual_time_median",5,5.88207e+06,553006,ns,,,,,
"bernoulli_logit_lpmf_Prim_int1_Rev_real/16777216/manual_time_stddev",5,82285.7,39818.7,ns,,,,,
"bernoulli_logit_lpmf_Prim_int1_Prim_vector/1/manual_time_mean",5,199218,50936.2,ns,,,,,
"bernoulli_logit_lpmf_Prim_int1_Prim_vector/1/manual_time_median",5,194942,47379.5,ns,,,,,
"bernoulli_logit_lpmf_Prim_int1_Prim_vector/1/manual_time_stddev",5,12200.6,5848.73,ns,,,,,
"bernoulli_logit_lpmf_Prim_int1_Prim_vector/4/manual_time_mean",5,197233,49555,ns,,,,,
"bernoulli_logit_lpmf_Prim_int1_Prim_vector/4/manual_time_median",5,195729,49092.5,ns,,,,,
"bernoulli_logit_lpmf_Prim_int1_Prim_vector/4/manual_time_stddev",5,7170.48,2523.59,ns,,,,,
"bernoulli_logit_lpmf_Prim_int1_Prim_vector/16/manual_time_mean",5,194287,49479.9,ns,,,,,
"bernoulli_logit_lpmf_Prim_int1_Prim_vector/16/manual_time_median",5,193339,49218.1,ns,,,,,
"bernoulli_logit_lpmf_Prim_int1_Prim_vector/16/manual_time_stddev",5,2878.66,1051.54,ns,,,,,
"bernoulli_logit_lpmf_Prim_int1_Prim_vector/64/manual_time_mean",5,192676,49168.6,ns,,,,,
"bernoulli_logit_lpmf_Prim_int1_Prim_vector/64/manual_time_median",5,193440,48623.9,ns,,,,,
"bernoulli_logit_lpmf_Prim_int1_Prim_vector/64/manual_time_stddev",5,2051.09,1268.34,ns,,,,,
"bernoulli_logit_lpmf_Prim_int1_Prim_vector/256/manual_time_mean",5,195604,48574.4,ns,,,,,
"bernoulli_logit_lpmf_Prim_int1_Prim_vector/256/manual_time_median",5,193122,48654.5,ns,,,,,
"bernoulli_logit_lpmf_Prim_int1_Prim_vector/256/manual_time_stddev",5,5774.3,704.752,ns,,,,,
"bernoulli_logit_lpmf_Prim_int1_Prim_vector/1024/manual_time_mean",5,198533,49245.6,ns,,,,,
"bernoulli_logit_lpmf_Prim_int1_Prim_vector/1024/manual_time_median",5,201397,49371,ns,,,,,
"bernoulli_logit_lpmf_Prim_int1_Prim_vector/1024/manual_time_stddev",5,5892.24,980.888,ns,,,,,
"bernoulli_logit_lpmf_Prim_int1_Prim_vector/4096/manual_time_mean",5,196049,49355.3,ns,,,,,
"bernoulli_logit_lpmf_Prim_int1_Prim_vector/4096/manual_time_median",5,196028,49170.7,ns,,,,,
"bernoulli_logit_lpmf_Prim_int1_Prim_vector/4096/manual_time_stddev",5,3181.83,1371.62,ns,,,,,
"bernoulli_logit_lpmf_Prim_int1_Prim_vector/16384/manual_time_mean",5,201512,50738.8,ns,,,,,
"bernoulli_logit_lpmf_Prim_int1_Prim_vector/16384/manual_time_median",5,200881,50851.7,ns,,,,,
"bernoulli_logit_lpmf_Prim_int1_Prim_vector/16384/manual_time_stddev",5,1452.51,258.542,ns,,,,,
"bernoulli_logit_lpmf_Prim_int1_Prim_vector/65536/manual_time_mean",5,208203,51823.6,ns,,,,,
"bernoulli_logit_lpmf_Prim_int1_Prim_vector/65536/manual_time_median",5,208253,51624.2,ns,,,,,
"bernoulli_logit_lpmf_Prim_int1_Prim_vector/65536/manual_time_stddev",5,2160.8,543.953,ns,,,,,
"bernoulli_logit_lpmf_Prim_int1_Prim_vector/262144/manual_time_mean",5,249165,57730.5,ns,,,,,
"bernoulli_logit_lpmf_Prim_int1_Prim_vector/262144/manual_time_median",5,248813,57244.9,ns,,,,,
"bernoulli_logit_lpmf_Prim_int1_Prim_vector/262144/manual_time_stddev",5,4657.83,1188.68,ns,,,,,
"bernoulli_logit_lpmf_Prim_int1_Prim_vector/1048576/manual_time_mean",5,380563,65854.8,ns,,,,,
"bernoulli_logit_lpmf_Prim_int1_Prim_vector/1048576/manual_time_median",5,381516,65130.3,ns,,,,,
"bernoulli_logit_lpmf_Prim_int1_Prim_vector/1048576/manual_time_stddev",5,6061.48,3034.41,ns,,,,,
"bernoulli_logit_lpmf_Prim_int1_Prim_vector/4194304/manual_time_mean",5,974143,122089,ns,,,,,
"bernoulli_logit_lpmf_Prim_int1_Prim_vector/4194304/manual_time_median",5,987092,118447,ns,,,,,
"bernoulli_logit_lpmf_Prim_int1_Prim_vector/4194304/manual_time_stddev",5,21735.7,12863.1,ns,,,,,
"bernoulli_logit_lpmf_Prim_int1_Prim_vector/16777216/manual_time_mean",5,3.49835e+06,377847,ns,,,,,
"bernoulli_logit_lpmf_Prim_int1_Prim_vector/16777216/manual_time_median",5,3.47769e+06,382249,ns,,,,,
"bernoulli_logit_lpmf_Prim_int1_Prim_vector/16777216/manual_time_stddev",5,93733.2,34230.3,ns,,,,,
