name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"bernoulli_logit_lpmf_Prim_int_Prim_vector/1/manual_time_mean",5,166729,39970.7,ns,,,,,
"bernoulli_logit_lpmf_Prim_int_Prim_vector/1/manual_time_median",5,165281,40156.2,ns,,,,,
"bernoulli_logit_lpmf_Prim_int_Prim_vector/1/manual_time_stddev",5,6692.67,2588.17,ns,,,,,
"bernoulli_logit_lpmf_Prim_int_Prim_vector/4/manual_time_mean",5,162453,37000.6,ns,,,,,
"bernoulli_logit_lpmf_Prim_int_Prim_vector/4/manual_time_median",5,161977,36537.6,ns,,,,,
"bernoulli_logit_lpmf_Prim_int_Prim_vector/4/manual_time_stddev",5,837.323,1271.41,ns,,,,,
"bernoulli_logit_lpmf_Prim_int_Prim_vector/16/manual_time_mean",5,161446,37678.8,ns,,,,,
"bernoulli_logit_lpmf_Prim_int_Prim_vector/16/manual_time_median",5,161602,37948.4,ns,,,,,
"bernoulli_logit_lpmf_Prim_int_Prim_vector/16/manual_time_stddev",5,1453.75,818.84,ns,,,,,
"bernoulli_logit_lpmf_Prim_int_Prim_vector/64/manual_time_mean",5,163987,36328,ns,,,,,
"bernoulli_logit_lpmf_Prim_int_Prim_vector/64/manual_time_median",5,165052,36647.1,ns,,,,,
"bernoulli_logit_lpmf_Prim_int_Prim_vector/64/manual_time_stddev",5,2195.51,1087.99,ns,,,,,
"bernoulli_logit_lpmf_Prim_int_Prim_vector/256/manual_time_mean",5,162837,37226.5,ns,,,,,
"bernoulli_logit_lpmf_Prim_int_Prim_vector/256/manual_time_median",5,162805,36979.8,ns,,,,,
"bernoulli_logit_lpmf_Prim_int_Prim_vector/256/manual_time_stddev",5,1817.04,942.727,ns,,,,,
"bernoulli_logit_lpmf_Prim_int_Prim_vector/1024/manual_time_mean",5,163260,35789.9,ns,,,,,
"bernoulli_logit_lpmf_Prim_int_Prim_vector/1024/manual_time_median",5,163453,35748.1,ns,,,,,
"bernoulli_logit_lpmf_Prim_int_Prim_vector/1024/manual_time_stddev",5,2319.75,282.414,ns,,,,,
"bernoulli_logit_lpmf_Prim_int_Prim_vector/4096/manual_time_mean",5,164092,35987.1,ns,,,,,
"bernoulli_logit_lpmf_Prim_int_Prim_vector/4096/manual_time_median",5,164255,35494.9,ns,,,,,
"bernoulli_logit_lpmf_Prim_int_Prim_vector/4096/manual_time_stddev",5,2269.51,943.339,ns,,,,,
"bernoulli_logit_lpmf_Prim_int_Prim_vector/16384/manual_time_mean",5,163226,38156.8,ns,,,,,
"bernoulli_logit_lpmf_Prim_int_Prim_vector/16384/manual_time_median",5,162801,37682.9,ns,,,,,
"bernoulli_logit_lpmf_Prim_int_Prim_vector/16384/manual_time_stddev",5,1493.57,1265.6,ns,,,,,
"bernoulli_logit_lpmf_Prim_int_Prim_vector/65536/manual_time_mean",5,170260,38783.8,ns,,,,,
"bernoulli_logit_lpmf_Prim_int_Prim_vector/65536/manual_time_median",5,169199,38686.8,ns,,,,,
"bernoulli_logit_lpmf_Prim_int_Prim_vector/65536/manual_time_stddev",5,4224.77,1027.49,ns,,,,,
"bernoulli_logit_lpmf_Prim_int_Prim_vector/262144/manual_time_mean",5,209325,46345.2,ns,,,,,
"bernoulli_logit_lpmf_Prim_int_Prim_vector/262144/manual_time_median",5,210387,46059.9,ns,,,,,
"bernoulli_logit_lpmf_Prim_int_Prim_vector/262144/manual_time_stddev",5,3109.95,1369.43,ns,,,,,
"bernoulli_logit_lpmf_Prim_int_Prim_vector/1048576/manual_time_mean",5,343831,55990.8,ns,,,,,
"bernoulli_logit_lpmf_Prim_int_Prim_vector/1048576/manual_time_median",5,345751,58865.2,ns,,,,,
"bernoulli_logit_lpmf_Prim_int_Prim_vector/1048576/manual_time_stddev",5,10453.2,4623.85,ns,,,,,
"bernoulli_logit_lpmf_Prim_int_Prim_vector/4194304/manual_time_mean",5,899753,113133,ns,,,,,
"bernoulli_logit_lpmf_Prim_int_Prim_vector/4194304/manual_time_median",5,905049,113810,ns,,,,,
"bernoulli_logit_lpmf_Prim_int_Prim_vector/4194304/manual_time_stddev",5,21121.7,10044.5,ns,,,,,
"bernoulli_logit_lpmf_Prim_int_Prim_vector/16777216/manual_time_mean",5,3.24279e+06,335808,ns,,,,,
"bernoulli_logit_lpmf_Prim_int_Prim_vector/16777216/manual_time_median",5,3.25072e+06,341763,ns,,,,,
"bernoulli_logit_lpmf_Prim_int_Prim_vector/16777216/manual_time_stddev",5,31586.5,24327.8,ns,,,,,
"bernoulli_logit_lpmf_Prim_int_Rev_vector/1/manual_time_mean",5,474349,127781,ns,,,,,
"bernoulli_logit_lpmf_Prim_int_Rev_vector/1/manual_time_median",5,474129,128593,ns,,,,,
"bernoulli_logit_lpmf_Prim_int_Rev_vector/1/manual_time_stddev",5,5780.14,2918.66,ns,,,,,
"bernoulli_logit_lpmf_Prim_int_Rev_vector/4/manual_time_mean",5,469865,126403,ns,,,,,
"bernoulli_logit_lpmf_Prim_int_Rev_vector/4/manual_time_median",5,466445,125702,ns,,,,,
"bernoulli_logit_lpmf_Prim_int_Rev_vector/4/manual_time_stddev",5,7625.01,2937.97,ns,,,,,
"bernoulli_logit_lpmf_Prim_int_Rev_vector/16/manual_time_mean",5,463889,126098,ns,,,,,
"bernoulli_logit_lpmf_Prim_int_Rev_vector/16/manual_time_median",5,460690,126366,ns,,,,,
"bernoulli_logit_lpmf_Prim_int_Rev_vector/16/manual_time_stddev",5,7053.35,966.706,ns,,,,,
"bernoulli_logit_lpmf_Prim_int_Rev_vector/64/manual_time_mean",5,459033,123781,ns,,,,,
"bernoulli_logit_lpmf_Prim_int_Rev_vector/64/manual_time_median",5,458999,123269,ns,,,,,
"bernoulli_logit_lpmf_Prim_int_Rev_vector/64/manual_time_stddev",5,6641.94,1932.18,ns,,,,,
"bernoulli_logit_lpmf_Prim_int_Rev_vector/256/manual_time_mean",5,462048,126668,ns,,,,,
"bernoulli_logit_lpmf_Prim_int_Rev_vector/256/manual_time_median",5,465706,125981,ns,,,,,
"bernoulli_logit_lpmf_Prim_int_Rev_vector/256/manual_time_stddev",5,6963.67,1648.52,ns,,,,,
"bernoulli_logit_lpmf_Prim_int_Rev_vector/1024/manual_time_mean",5,467747,132481,ns,,,,,
"bernoulli_logit_lpmf_Prim_int_Rev_vector/1024/manual_time_median",5,467280,133062,ns,,,,,
"bernoulli_logit_lpmf_Prim_int_Rev_vector/1024/manual_time_stddev",5,5669.42,1725.26,ns,,,,,
"bernoulli_logit_lpmf_Prim_int_Rev_vector/4096/manual_time_mean",5,495572,147478,ns,,,,,
"bernoulli_logit_lpmf_Prim_int_Rev_vector/4096/manual_time_median",5,497018,147750,ns,,,,,
"bernoulli_logit_lpmf_Prim_int_Rev_vector/4096/manual_time_stddev",5,4605.19,1203.18,ns,,,,,
"bernoulli_logit_lpmf_Prim_int_Rev_vector/16384/manual_time_mean",5,597959,199092,ns,,,,,
"bernoulli_logit_lpmf_Prim_int_Rev_vector/16384/manual_time_median",5,599227,198048,ns,,,,,
"bernoulli_logit_lpmf_Prim_int_Rev_vector/16384/manual_time_stddev",5,5070.23,1706.46,ns,,,,,
"bernoulli_logit_lpmf_Prim_int_Rev_vector/65536/manual_time_mean",5,1.00531e+06,443316,ns,,,,,
"bernoulli_logit_lpmf_Prim_int_Rev_vector/65536/manual_time_median",5,1.00395e+06,443566,ns,,,,,
"bernoulli_logit_lpmf_Prim_int_Rev_vector/65536/manual_time_stddev",5,4730.78,8792.12,ns,,,,,
"bernoulli_logit_lpmf_Prim_int_Rev_vector/262144/manual_time_mean",5,3.46232e+06,1.90944e+06,ns,,,,,
"bernoulli_logit_lpmf_Prim_int_Rev_vector/262144/manual_time_median",5,3.42855e+06,1.90895e+06,ns,,,,,
"bernoulli_logit_lpmf_Prim_int_Rev_vector/262144/manual_time_stddev",5,68183.3,42381.1,ns,,,,,
"bernoulli_logit_lpmf_Prim_int_Rev_vector/1048576/manual_time_mean",5,1.29406e+07,1.02398e+07,ns,,,,,
"bernoulli_logit_lpmf_Prim_int_Rev_vector/1048576/manual_time_median",5,1.29545e+07,1.01783e+07,ns,,,,,
"bernoulli_logit_lpmf_Prim_int_Rev_vector/1048576/manual_time_stddev",5,79626.5,96937.9,ns,,,,,
"bernoulli_logit_lpmf_Prim_int_Rev_vector/4194304/manual_time_mean",5,4.94581e+07,3.96314e+07,ns,,,,,
"bernoulli_logit_lpmf_Prim_int_Rev_vector/4194304/manual_time_median",5,4.89262e+07,3.93511e+07,ns,,,,,
"bernoulli_logit_lpmf_Prim_int_Rev_vector/4194304/manual_time_stddev",5,956184,631336,ns,,,,,
"bernoulli_logit_lpmf_Prim_int_Rev_vector/16777216/manual_time_mean",5,1.67618e+08,1.42592e+08,ns,,,,,
"bernoulli_logit_lpmf_Prim_int_Rev_vector/16777216/manual_time_median",5,1.67173e+08,1.42509e+08,ns,,,,,
"bernoulli_logit_lpmf_Prim_int_Rev_vector/16777216/manual_time_stddev",5,1.17907e+06,466693,ns,,,,,
