name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"bernoulli_lpmf_Prim_array_int_Prim_vector/1/manual_time_mean",5,192733,40396.4,ns,,,,,
"bernoulli_lpmf_Prim_array_int_Prim_vector/1/manual_time_median",5,192917,39095.9,ns,,,,,
"bernoulli_lpmf_Prim_array_int_Prim_vector/1/manual_time_stddev",5,8769.15,3502.01,ns,,,,,
"bernoulli_lpmf_Prim_array_int_Prim_vector/4/manual_time_mean",5,186843,40130.7,ns,,,,,
"bernoulli_lpmf_Prim_array_int_Prim_vector/4/manual_time_median",5,184779,38815.9,ns,,,,,
"bernoulli_lpmf_Prim_array_int_Prim_vector/4/manual_time_stddev",5,3522.76,3154.25,ns,,,,,
"bernoulli_lpmf_Prim_array_int_Prim_vector/16/manual_time_mean",5,187292,38403.5,ns,,,,,
"bernoulli_lpmf_Prim_array_int_Prim_vector/16/manual_time_median",5,185855,38067.8,ns,,,,,
"bernoulli_lpmf_Prim_array_int_Prim_vector/16/manual_time_stddev",5,3678.15,838.731,ns,,,,,
"bernoulli_lpmf_Prim_array_int_Prim_vector/64/manual_time_mean",5,187534,38403,ns,,,,,
"bernoulli_lpmf_Prim_array_int_Prim_vector/64/manual_time_median",5,187097,37995.7,ns,,,,,
"bernoulli_lpmf_Prim_array_int_Prim_vector/64/manual_time_stddev",5,3710.07,1197.99,ns,,,,,
"bernoulli_lpmf_Prim_array_int_Prim_vector/256/manual_time_mean",5,184793,38592.1,ns,,,,,
"bernoulli_lpmf_Prim_array_int_Prim_vector/256/manual_time_median",5,184166,38221.5,ns,,,,,
"bernoulli_lpmf_Prim_array_int_Prim_vector/256/manual_time_stddev",5,1258.83,908.913,ns,,,,,
"bernoulli_lpmf_Prim_array_int_Prim_vector/1024/manual_time_mean",5,191215,39892,ns,,,,,
"bernoulli_lpmf_Prim_array_int_Prim_vector/1024/manual_time_median",5,192735,38831.6,ns,,,,,
"bernoulli_lpmf_Prim_array_int_Prim_vector/1024/manual_time_stddev",5,4015.78,2677.94,ns,,,,,
"bernoulli_lpmf_Prim_array_int_Prim_vector/4096/manual_time_mean",5,189323,38494.7,ns,,,,,
"bernoulli_lpmf_Prim_array_int_Prim_vector/4096/manual_time_median",5,187336,38332.8,ns,,,,,
"bernoulli_lpmf_Prim_array_int_Prim_vector/4096/manual_time_stddev",5,3220.17,1017.98,ns,,,,,
"bernoulli_lpmf_Prim_array_int_Prim_vector/16384/manual_time_mean",5,193985,41202,ns,,,,,
"bernoulli_lpmf_Prim_array_int_Prim_vector/16384/manual_time_median",5,196513,40891.7,ns,,,,,
"bernoulli_lpmf_Prim_array_int_Prim_vector/16384/manual_time_stddev",5,6898.74,1461.87,ns,,,,,
"bernoulli_lpmf_Prim_array_int_Prim_vector/65536/manual_time_mean",5,194284,40467,ns,,,,,
"bernoulli_lpmf_Prim_array_int_Prim_vector/65536/manual_time_median",5,192812,40595.7,ns,,,,,
"bernoulli_lpmf_Prim_array_int_Prim_vector/65536/manual_time_stddev",5,5790.65,919.279,ns,,,,,
"bernoulli_lpmf_Prim_array_int_Prim_vector/262144/manual_time_mean",5,234690,45497.7,ns,,,,,
"bernoulli_lpmf_Prim_array_int_Prim_vector/262144/manual_time_median",5,234056,45358.4,ns,,,,,
"bernoulli_lpmf_Prim_array_int_Prim_vector/262144/manual_time_stddev",5,1685.52,709.156,ns,,,,,
"bernoulli_lpmf_Prim_array_int_Prim_vector/1048576/manual_time_mean",5,378481,53308.2,ns,,,,,
"bernoulli_lpmf_Prim_array_int_Prim_vector/1048576/manual_time_median",5,378755,55063.9,ns,,,,,
"bernoulli_lpmf_Prim_array_int_Prim_vector/1048576/manual_time_stddev",5,7267.48,2663.76,ns,,,,,
"bernoulli_lpmf_Prim_array_int_Prim_vector/4194304/manual_time_mean",5,1.02727e+06,117866,ns,,,,,
"bernoulli_lpmf_Prim_array_int_Prim_vector/4194304/manual_time_median",5,1.02688e+06,115908,ns,,,,,
"bernoulli_lpmf_Prim_array_int_Prim_vector/4194304/manual_time_stddev",5,7345.59,5396.85,ns,,,,,
"bernoulli_lpmf_Prim_array_int_Prim_vector/16777216/manual_time_mean",5,3.73666e+06,366150,ns,,,,,
"bernoulli_lpmf_Prim_array_int_Prim_vector/16777216/manual_time_median",5,3.75286e+06,380258,ns,,,,,
"bernoulli_lpmf_Prim_array_int_Prim_vector/16777216/manual_time_stddev",5,114322,37491.6,ns,,,,,
"bernoulli_lpmf_Prim_array_int_Rev_vector/1/manual_time_mean",5,493423,127180,ns,,,,,
"bernoulli_lpmf_Prim_array_int_Rev_vector/1/manual_time_median",5,494159,126792,ns,,,,,
"bernoulli_lpmf_Prim_array_int_Rev_vector/1/manual_time_stddev",5,4149.86,1353.47,ns,,,,,
"bernoulli_lpmf_Prim_array_int_Rev_vector/4/manual_time_mean",5,495314,125785,ns,,,,,
"bernoulli_lpmf_Prim_array_int_Rev_vector/4/manual_time_median",5,500192,126317,ns,,,,,
"bernoulli_lpmf_Prim_array_int_Rev_vector/4/manual_time_stddev",5,8670.92,2551.08,ns,,,,,
"bernoulli_lpmf_Prim_array_int_Rev_vector/16/manual_time_mean",5,496468,127901,ns,,,,,
"bernoulli_lpmf_Prim_array_int_Rev_vector/16/manual_time_median",5,493808,127178,ns,,,,,
"bernoulli_lpmf_Prim_array_int_Rev_vector/16/manual_time_stddev",5,5361.03,4263.18,ns,,,,,
"bernoulli_lpmf_Prim_array_int_Rev_vector/64/manual_time_mean",5,498328,128090,ns,,,,,
"bernoulli_lpmf_Prim_array_int_Rev_vector/64/manual_time_median",5,500168,127863,ns,,,,,
"bernoulli_lpmf_Prim_array_int_Rev_vector/64/manual_time_stddev",5,8286.25,1381.56,ns,,,,,
"bernoulli_lpmf_Prim_array_int_Rev_vector/256/manual_time_mean",5,493498,130182,ns,,,,,
"bernoulli_lpmf_Prim_array_int_Rev_vector/256/manual_time_median",5,493621,130124,ns,,,,,
"bernoulli_lpmf_Prim_array_int_Rev_vector/256/manual_time_stddev",5,4583.39,3565.81,ns,,,,,
"bernoulli_lpmf_Prim_array_int_Rev_vector/1024/manual_time_mean",5,511874,136566,ns,,,,,
"bernoulli_lpmf_Prim_array_int_Rev_vector/1024/manual_time_median",5,509428,134788,ns,,,,,
"bernoulli_lpmf_Prim_array_int_Rev_vector/1024/manual_time_stddev",5,11779.2,3028.8,ns,,,,,
"bernoulli_lpmf_Prim_array_int_Rev_vector/4096/manual_time_mean",5,528409,145015,ns,,,,,
"bernoulli_lpmf_Prim_array_int_Rev_vector/4096/manual_time_median",5,527832,144689,ns,,,,,
"bernoulli_lpmf_Prim_array_int_Rev_vector/4096/manual_time_stddev",5,9377.26,3278.53,ns,,,,,
"bernoulli_lpmf_Prim_array_int_Rev_vector/16384/manual_time_mean",5,632247,199391,ns,,,,,
"bernoulli_lpmf_Prim_array_int_Rev_vector/16384/manual_time_median",5,632777,199166,ns,,,,,
"bernoulli_lpmf_Prim_array_int_Rev_vector/16384/manual_time_stddev",5,4552.81,2335.26,ns,,,,,
"bernoulli_lpmf_Prim_array_int_Rev_vector/65536/manual_time_mean",5,1.03582e+06,442622,ns,,,,,
"bernoulli_lpmf_Prim_array_int_Rev_vector/65536/manual_time_median",5,1.03319e+06,441435,ns,,,,,
"bernoulli_lpmf_Prim_array_int_Rev_vector/65536/manual_time_stddev",5,7567.48,4636.87,ns,,,,,
"bernoulli_lpmf_Prim_array_int_Rev_vector/262144/manual_time_mean",5,3.54623e+06,1.91518e+06,ns,,,,,
"bernoulli_lpmf_Prim_array_int_Rev_vector/262144/manual_time_median",5,3.55341e+06,1.90879e+06,ns,,,,,
"bernoulli_lpmf_Prim_array_int_Rev_vector/262144/manual_time_stddev",5,48802.3,56183.2,ns,,,,,
"bernoulli_lpmf_Prim_array_int_Rev_vector/1048576/manual_time_mean",5,9.98017e+06,6.84705e+06,ns,,,,,
"bernoulli_lpmf_Prim_array_int_Rev_vector/1048576/manual_time_median",5,1.00502e+07,6.89624e+06,ns,,,,,
"bernoulli_lpmf_Prim_array_int_Rev_vector/1048576/manual_time_stddev",5,242600,121585,ns,,,,,
"bernoulli_lpmf_Prim_array_int_Rev_vector/4194304/manual_time_mean",5,4.86072e+07,3.91339e+07,ns,,,,,
"bernoulli_lpmf_Prim_array_int_Rev_vector/4194304/manual_time_median",5,4.85492e+07,3.92112e+07,ns,,,,,
"bernoulli_lpmf_Prim_array_int_Rev_vector/4194304/manual_time_stddev",5,691317,468311,ns,,,,,
"bernoulli_lpmf_Prim_array_int_Rev_vector/16777216/manual_time_mean",5,1.64625e+08,1.42055e+08,ns,,,,,
"bernoulli_lpmf_Prim_array_int_Rev_vector/16777216/manual_time_median",5,1.64347e+08,1.41981e+08,ns,,,,,
"bernoulli_lpmf_Prim_array_int_Rev_vector/16777216/manual_time_stddev",5,1.18211e+06,681741,ns,,,,,
