name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"bernoulli_lpmf_Prim_int_Prim_vector/1/manual_time_mean",5,164445,32601.5,ns,,,,,
"bernoulli_lpmf_Prim_int_Prim_vector/1/manual_time_median",5,160880,31002.5,ns,,,,,
"bernoulli_lpmf_Prim_int_Prim_vector/1/manual_time_stddev",5,6309.6,3526.82,ns,,,,,
"bernoulli_lpmf_Prim_int_Prim_vector/4/manual_time_mean",5,160024,29432.3,ns,,,,,
"bernoulli_lpmf_Prim_int_Prim_vector/4/manual_time_median",5,160193,29554.4,ns,,,,,
"bernoulli_lpmf_Prim_int_Prim_vector/4/manual_time_stddev",5,251.219,310.936,ns,,,,,
"bernoulli_lpmf_Prim_int_Prim_vector/16/manual_time_mean",5,159416,29971.1,ns,,,,,
"bernoulli_lpmf_Prim_int_Prim_vector/16/manual_time_median",5,159733,29881.9,ns,,,,,
"bernoulli_lpmf_Prim_int_Prim_vector/16/manual_time_stddev",5,623.446,801.92,ns,,,,,
"bernoulli_lpmf_Prim_int_Prim_vector/64/manual_time_mean",5,160909,31634.1,ns,,,,,
"bernoulli_lpmf_Prim_int_Prim_vector/64/manual_time_median",5,160600,30186,ns,,,,,
"bernoulli_lpmf_Prim_int_Prim_vector/64/manual_time_stddev",5,1540.49,3029.18,ns,,,,,
"bernoulli_lpmf_Prim_int_Prim_vector/256/manual_time_mean",5,162466,29386.5,ns,,,,,
"bernoulli_lpmf_Prim_int_Prim_vector/256/manual_time_median",5,164297,29411.4,ns,,,,,
"bernoulli_lpmf_Prim_int_Prim_vector/256/manual_time_stddev",5,2974.27,402.281,ns,,,,,
"bernoulli_lpmf_Prim_int_Prim_vector/1024/manual_time_mean",5,162067,29382.1,ns,,,,,
"bernoulli_lpmf_Prim_int_Prim_vector/1024/manual_time_median",5,162848,29558.4,ns,,,,,
"bernoulli_lpmf_Prim_int_Prim_vector/1024/manual_time_stddev",5,2294.27,1158.21,ns,,,,,
"bernoulli_lpmf_Prim_int_Prim_vector/4096/manual_time_mean",5,160100,29235.3,ns,,,,,
"bernoulli_lpmf_Prim_int_Prim_vector/4096/manual_time_median",5,160197,29158.1,ns,,,,,
"bernoulli_lpmf_Prim_int_Prim_vector/4096/manual_time_stddev",5,664.354,713.508,ns,,,,,
"bernoulli_lpmf_Prim_int_Prim_vector/16384/manual_time_mean",5,160658,29633.2,ns,,,,,
"bernoulli_lpmf_Prim_int_Prim_vector/16384/manual_time_median",5,160036,29311.5,ns,,,,,
"bernoulli_lpmf_Prim_int_Prim_vector/16384/manual_time_stddev",5,1425.63,863.098,ns,,,,,
"bernoulli_lpmf_Prim_int_Prim_vector/65536/manual_time_mean",5,161730,30994.3,ns,,,,,
