name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"beta_lpdf_Prim_real_Prim_real_Prim_vector/1/manual_time_mean",5,184989,45751,ns,,,,,
"beta_lpdf_Prim_real_Prim_real_Prim_vector/1/manual_time_median",5,183169,45317.2,ns,,,,,
"beta_lpdf_Prim_real_Prim_real_Prim_vector/1/manual_time_stddev",5,7599.52,2899.8,ns,,,,,
"beta_lpdf_Prim_real_Prim_real_Prim_vector/4/manual_time_mean",5,183075,44246.7,ns,,,,,
"beta_lpdf_Prim_real_Prim_real_Prim_vector/4/manual_time_median",5,184306,44202.9,ns,,,,,
"beta_lpdf_Prim_real_Prim_real_Prim_vector/4/manual_time_stddev",5,3188.12,737.813,ns,,,,,
"beta_lpdf_Prim_real_Prim_real_Prim_vector/16/manual_time_mean",5,178037,43868.2,ns,,,,,
"beta_lpdf_Prim_real_Prim_real_Prim_vector/16/manual_time_median",5,177928,43775.2,ns,,,,,
"beta_lpdf_Prim_real_Prim_real_Prim_vector/16/manual_time_stddev",5,464.481,322.269,ns,,,,,
"beta_lpdf_Prim_real_Prim_real_Prim_vector/64/manual_time_mean",5,180405,44973.8,ns,,,,,
"beta_lpdf_Prim_real_Prim_real_Prim_vector/64/manual_time_median",5,180561,45077.3,ns,,,,,
"beta_lpdf_Prim_real_Prim_real_Prim_vector/64/manual_time_stddev",5,4021.91,1784.18,ns,,,,,
"beta_lpdf_Prim_real_Prim_real_Prim_vector/256/manual_time_mean",5,182376,44605.4,ns,,,,,
"beta_lpdf_Prim_real_Prim_real_Prim_vector/256/manual_time_median",5,182592,44755.8,ns,,,,,
"beta_lpdf_Prim_real_Prim_real_Prim_vector/256/manual_time_stddev",5,1916.44,1196.33,ns,,,,,
"beta_lpdf_Prim_real_Prim_real_Prim_vector/1024/manual_time_mean",5,184010,45034.8,ns,,,,,
"beta_lpdf_Prim_real_Prim_real_Prim_vector/1024/manual_time_median",5,185690,45249.4,ns,,,,,
"beta_lpdf_Prim_real_Prim_real_Prim_vector/1024/manual_time_stddev",5,2575.3,744.532,ns,,,,,
"beta_lpdf_Prim_real_Prim_real_Prim_vector/4096/manual_time_mean",5,183661,43494.2,ns,,,,,
"beta_lpdf_Prim_real_Prim_real_Prim_vector/4096/manual_time_median",5,184501,43748.7,ns,,,,,
"beta_lpdf_Prim_real_Prim_real_Prim_vector/4096/manual_time_stddev",5,3686.75,660.192,ns,,,,,
"beta_lpdf_Prim_real_Prim_real_Prim_vector/16384/manual_time_mean",5,185670,46308.7,ns,,,,,
"beta_lpdf_Prim_real_Prim_real_Prim_vector/16384/manual_time_median",5,186241,45653.3,ns,,,,,
"beta_lpdf_Prim_real_Prim_real_Prim_vector/16384/manual_time_stddev",5,3369.28,1745.69,ns,,,,,
"beta_lpdf_Prim_real_Prim_real_Prim_vector/65536/manual_time_mean",5,191079,47971.8,ns,,,,,
"beta_lpdf_Prim_real_Prim_real_Prim_vector/65536/manual_time_median",5,192761,47905.9,ns,,,,,
"beta_lpdf_Prim_real_Prim_real_Prim_vector/65536/manual_time_stddev",5,3469.95,880.951,ns,,,,,
"beta_lpdf_Prim_real_Prim_real_Prim_vector/262144/manual_time_mean",5,257887,52289,ns,,,,,
