name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"beta_lpdf_Prim_real_Prim_vector_Prim_real/1/manual_time_mean",5,183535,42836.6,ns,,,,,
"beta_lpdf_Prim_real_Prim_vector_Prim_real/1/manual_time_median",5,180716,39743.6,ns,,,,,
"beta_lpdf_Prim_real_Prim_vector_Prim_real/1/manual_time_stddev",5,10759.2,5411.83,ns,,,,,
"beta_lpdf_Prim_real_Prim_vector_Prim_real/4/manual_time_mean",5,182287,39490,ns,,,,,
"beta_lpdf_Prim_real_Prim_vector_Prim_real/4/manual_time_median",5,181899,39243.8,ns,,,,,
"beta_lpdf_Prim_real_Prim_vector_Prim_real/4/manual_time_stddev",5,1091.57,1236.47,ns,,,,,
"beta_lpdf_Prim_real_Prim_vector_Prim_real/16/manual_time_mean",5,175631,40737.7,ns,,,,,
"beta_lpdf_Prim_real_Prim_vector_Prim_real/16/manual_time_median",5,174331,40407.6,ns,,,,,
"beta_lpdf_Prim_real_Prim_vector_Prim_real/16/manual_time_stddev",5,2849.92,1189.94,ns,,,,,
"beta_lpdf_Prim_real_Prim_vector_Prim_real/64/manual_time_mean",5,172801,39045.1,ns,,,,,
"beta_lpdf_Prim_real_Prim_vector_Prim_real/64/manual_time_median",5,169911,38490,ns,,,,,
"beta_lpdf_Prim_real_Prim_vector_Prim_real/64/manual_time_stddev",5,4981.45,1463.85,ns,,,,,
"beta_lpdf_Prim_real_Prim_vector_Prim_real/256/manual_time_mean",5,175369,40381.5,ns,,,,,
"beta_lpdf_Prim_real_Prim_vector_Prim_real/256/manual_time_median",5,173578,40296.9,ns,,,,,
"beta_lpdf_Prim_real_Prim_vector_Prim_real/256/manual_time_stddev",5,2992.68,473.394,ns,,,,,
"beta_lpdf_Prim_real_Prim_vector_Prim_real/1024/manual_time_mean",5,178195,44015.4,ns,,,,,
"beta_lpdf_Prim_real_Prim_vector_Prim_real/1024/manual_time_median",5,175541,41148.7,ns,,,,,
"beta_lpdf_Prim_real_Prim_vector_Prim_real/1024/manual_time_stddev",5,7438.7,4948.4,ns,,,,,
"beta_lpdf_Prim_real_Prim_vector_Prim_real/4096/manual_time_mean",5,176115,42344.9,ns,,,,,
"beta_lpdf_Prim_real_Prim_vector_Prim_real/4096/manual_time_median",5,172619,40395.9,ns,,,,,
"beta_lpdf_Prim_real_Prim_vector_Prim_real/4096/manual_time_stddev",5,7132.57,4273.61,ns,,,,,
