2020-12-31 11:37:25
Running ./benchmarks/benchmark
Run on (8 X 4000 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x4)
  L1 Instruction 32 KiB (x4)
  L2 Unified 256 KiB (x4)
  L3 Unified 8192 KiB (x1)
Load Average: 1.06, 1.11, 1.33
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"beta_lpdf_Prim_vector_Prim_real_Prim_real/1/manual_time_mean",5,168485,41012.2,ns,,,,,
"beta_lpdf_Prim_vector_Prim_real_Prim_real/1/manual_time_median",5,167643,38592.5,ns,,,,,
"beta_lpdf_Prim_vector_Prim_real_Prim_real/1/manual_time_stddev",5,6321.3,4446.38,ns,,,,,
"beta_lpdf_Prim_vector_Prim_real_Prim_real/4/manual_time_mean",5,165393,39094.6,ns,,,,,
"beta_lpdf_Prim_vector_Prim_real_Prim_real/4/manual_time_median",5,164608,39093.9,ns,,,,,
"beta_lpdf_Prim_vector_Prim_real_Prim_real/4/manual_time_stddev",5,2571.18,300.066,ns,,,,,
"beta_lpdf_Prim_vector_Prim_real_Prim_real/16/manual_time_mean",5,162933,38438.2,ns,,,,,
"beta_lpdf_Prim_vector_Prim_real_Prim_real/16/manual_time_median",5,163252,38238,ns,,,,,
"beta_lpdf_Prim_vector_Prim_real_Prim_real/16/manual_time_stddev",5,1056.36,834.81,ns,,,,,
"beta_lpdf_Prim_vector_Prim_real_Prim_real/64/manual_time_mean",5,163988,38444.2,ns,,,,,
"beta_lpdf_Prim_vector_Prim_real_Prim_real/64/manual_time_median",5,162966,38536.6,ns,,,,,
"beta_lpdf_Prim_vector_Prim_real_Prim_real/64/manual_time_stddev",5,3461.5,920.32,ns,,,,,
"beta_lpdf_Prim_vector_Prim_real_Prim_real/256/manual_time_mean",5,171210,41008.8,ns,,,,,
"beta_lpdf_Prim_vector_Prim_real_Prim_real/256/manual_time_median",5,167247,38080,ns,,,,,
