2020-12-31 12:45:39
Running ./benchmarks/benchmark
Run on (8 X 4000 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x4)
  L1 Instruction 32 KiB (x4)
  L2 Unified 256 KiB (x4)
  L3 Unified 8192 KiB (x1)
Load Average: 1.70, 1.45, 1.32
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"beta_lpdf_Prim_vector_Prim_vector_Prim_real/1/manual_time_mean",5,230384,59705.8,ns,,,,,
"beta_lpdf_Prim_vector_Prim_vector_Prim_real/1/manual_time_median",5,224983,58877.2,ns,,,,,
"beta_lpdf_Prim_vector_Prim_vector_Prim_real/1/manual_time_stddev",5,9394.54,4004.48,ns,,,,,
"beta_lpdf_Prim_vector_Prim_vector_Prim_real/4/manual_time_mean",5,233087,58899.5,ns,,,,,
"beta_lpdf_Prim_vector_Prim_vector_Prim_real/4/manual_time_median",5,228695,57789.4,ns,,,,,
"beta_lpdf_Prim_vector_Prim_vector_Prim_real/4/manual_time_stddev",5,11612.2,2269.16,ns,,,,,
"beta_lpdf_Prim_vector_Prim_vector_Prim_real/16/manual_time_mean",5,227357,57144.5,ns,,,,,
"beta_lpdf_Prim_vector_Prim_vector_Prim_real/16/manual_time_median",5,225570,56878.9,ns,,,,,
"beta_lpdf_Prim_vector_Prim_vector_Prim_real/16/manual_time_stddev",5,6610.84,2174.36,ns,,,,,
"beta_lpdf_Prim_vector_Prim_vector_Prim_real/64/manual_time_mean",5,223440,57291.7,ns,,,,,
"beta_lpdf_Prim_vector_Prim_vector_Prim_real/64/manual_time_median",5,222907,57912.7,ns,,,,,
"beta_lpdf_Prim_vector_Prim_vector_Prim_real/64/manual_time_stddev",5,1721.56,1096.94,ns,,,,,
"beta_lpdf_Prim_vector_Prim_vector_Prim_real/256/manual_time_mean",5,225378,56215.1,ns,,,,,
"beta_lpdf_Prim_vector_Prim_vector_Prim_real/256/manual_time_median",5,225384,56338.1,ns,,,,,
"beta_lpdf_Prim_vector_Prim_vector_Prim_real/256/manual_time_stddev",5,3915.81,395.952,ns,,,,,
"beta_lpdf_Prim_vector_Prim_vector_Prim_real/1024/manual_time_mean",5,223675,55882.7,ns,,,,,
"beta_lpdf_Prim_vector_Prim_vector_Prim_real/1024/manual_time_median",5,224303,55569.4,ns,,,,,
"beta_lpdf_Prim_vector_Prim_vector_Prim_real/1024/manual_time_stddev",5,3953.77,1874.92,ns,,,,,
"beta_lpdf_Prim_vector_Prim_vector_Prim_real/4096/manual_time_mean",5,221309,55581.6,ns,,,,,
"beta_lpdf_Prim_vector_Prim_vector_Prim_real/4096/manual_time_median",5,220326,55865.4,ns,,,,,
"beta_lpdf_Prim_vector_Prim_vector_Prim_real/4096/manual_time_stddev",5,2945.52,692.544,ns,,,,,
"beta_lpdf_Prim_vector_Prim_vector_Prim_real/16384/manual_time_mean",5,230771,60508.9,ns,,,,,
"beta_lpdf_Prim_vector_Prim_vector_Prim_real/16384/manual_time_median",5,226318,59471.7,ns,,,,,
"beta_lpdf_Prim_vector_Prim_vector_Prim_real/16384/manual_time_stddev",5,9891.87,4176.66,ns,,,,,
"beta_lpdf_Prim_vector_Prim_vector_Prim_real/65536/manual_time_mean",5,246323,57839.5,ns,,,,,
"beta_lpdf_Prim_vector_Prim_vector_Prim_real/65536/manual_time_median",5,249591,57518.5,ns,,,,,
"beta_lpdf_Prim_vector_Prim_vector_Prim_real/65536/manual_time_stddev",5,5667.11,1327.53,ns,,,,,
"beta_lpdf_Prim_vector_Prim_vector_Prim_real/262144/manual_time_mean",5,330558,62705.3,ns,,,,,
"beta_lpdf_Prim_vector_Prim_vector_Prim_real/262144/manual_time_median",5,330154,61498.3,ns,,,,,
"beta_lpdf_Prim_vector_Prim_vector_Prim_real/262144/manual_time_stddev",5,3808.31,2299.84,ns,,,,,
"beta_lpdf_Prim_vector_Prim_vector_Prim_real/1048576/manual_time_mean",5,702525,100602,ns,,,,,
"beta_lpdf_Prim_vector_Prim_vector_Prim_real/1048576/manual_time_median",5,699820,98536.4,ns,,,,,
"beta_lpdf_Prim_vector_Prim_vector_Prim_real/1048576/manual_time_stddev",5,15211,6398.29,ns,,,,,
"beta_lpdf_Prim_vector_Prim_vector_Prim_real/4194304/manual_time_mean",5,1.9995e+06,248257,ns,,,,,
"beta_lpdf_Prim_vector_Prim_vector_Prim_real/4194304/manual_time_median",5,2.00358e+06,245797,ns,,,,,
"beta_lpdf_Prim_vector_Prim_vector_Prim_real/4194304/manual_time_stddev",5,234596,36100.7,ns,,,,,
"beta_lpdf_Prim_vector_Prim_vector_Prim_real/16777216/manual_time_mean",5,5.53823e+06,510902,ns,,,,,
"beta_lpdf_Prim_vector_Prim_vector_Prim_real/16777216/manual_time_median",5,5.56612e+06,516802,ns,,,,,
"beta_lpdf_Prim_vector_Prim_vector_Prim_real/16777216/manual_time_stddev",5,167698,27869.7,ns,,,,,
"beta_lpdf_Prim_vector_Prim_vector_Rev_real/1/manual_time_mean",5,317870,77338.3,ns,,,,,
"beta_lpdf_Prim_vector_Prim_vector_Rev_real/1/manual_time_median",5,317654,77551.7,ns,,,,,
"beta_lpdf_Prim_vector_Prim_vector_Rev_real/1/manual_time_stddev",5,3378.58,1257.58,ns,,,,,
"beta_lpdf_Prim_vector_Prim_vector_Rev_real/4/manual_time_mean",5,315564,75890.2,ns,,,,,
"beta_lpdf_Prim_vector_Prim_vector_Rev_real/4/manual_time_median",5,311590,76200,ns,,,,,
"beta_lpdf_Prim_vector_Prim_vector_Rev_real/4/manual_time_stddev",5,7889.3,1634.44,ns,,,,,
"beta_lpdf_Prim_vector_Prim_vector_Rev_real/16/manual_time_mean",5,309825,75159,ns,,,,,
"beta_lpdf_Prim_vector_Prim_vector_Rev_real/16/manual_time_median",5,309674,74290.5,ns,,,,,
"beta_lpdf_Prim_vector_Prim_vector_Rev_real/16/manual_time_stddev",5,4617.79,2282.73,ns,,,,,
"beta_lpdf_Prim_vector_Prim_vector_Rev_real/64/manual_time_mean",5,317123,74941.6,ns,,,,,
"beta_lpdf_Prim_vector_Prim_vector_Rev_real/64/manual_time_median",5,315826,74217.9,ns,,,,,
"beta_lpdf_Prim_vector_Prim_vector_Rev_real/64/manual_time_stddev",5,14795.6,3751.58,ns,,,,,
"beta_lpdf_Prim_vector_Prim_vector_Rev_real/256/manual_time_mean",5,315472,74661.2,ns,,,,,
"beta_lpdf_Prim_vector_Prim_vector_Rev_real/256/manual_time_median",5,309523,74053.8,ns,,,,,
"beta_lpdf_Prim_vector_Prim_vector_Rev_real/256/manual_time_stddev",5,14119.5,2329.82,ns,,,,,
"beta_lpdf_Prim_vector_Prim_vector_Rev_real/1024/manual_time_mean",5,312920,76573.7,ns,,,,,
"beta_lpdf_Prim_vector_Prim_vector_Rev_real/1024/manual_time_median",5,310354,75990,ns,,,,,
"beta_lpdf_Prim_vector_Prim_vector_Rev_real/1024/manual_time_stddev",5,9450.58,4132.91,ns,,,,,
"beta_lpdf_Prim_vector_Prim_vector_Rev_real/4096/manual_time_mean",5,310327,74272.1,ns,,,,,
"beta_lpdf_Prim_vector_Prim_vector_Rev_real/4096/manual_time_median",5,311147,74262.1,ns,,,,,
"beta_lpdf_Prim_vector_Prim_vector_Rev_real/4096/manual_time_stddev",5,4566.93,875.815,ns,,,,,
"beta_lpdf_Prim_vector_Prim_vector_Rev_real/16384/manual_time_mean",5,324433,77501.6,ns,,,,,
"beta_lpdf_Prim_vector_Prim_vector_Rev_real/16384/manual_time_median",5,324810,78403.4,ns,,,,,
"beta_lpdf_Prim_vector_Prim_vector_Rev_real/16384/manual_time_stddev",5,6973.39,4245.37,ns,,,,,
"beta_lpdf_Prim_vector_Prim_vector_Rev_real/65536/manual_time_mean",5,351207,75336.1,ns,,,,,
"beta_lpdf_Prim_vector_Prim_vector_Rev_real/65536/manual_time_median",5,353700,76267.4,ns,,,,,
"beta_lpdf_Prim_vector_Prim_vector_Rev_real/65536/manual_time_stddev",5,7924.11,2499.9,ns,,,,,
"beta_lpdf_Prim_vector_Prim_vector_Rev_real/262144/manual_time_mean",5,495452,79005.4,ns,,,,,
"beta_lpdf_Prim_vector_Prim_vector_Rev_real/262144/manual_time_median",5,494461,79053.9,ns,,,,,
"beta_lpdf_Prim_vector_Prim_vector_Rev_real/262144/manual_time_stddev",5,2671.75,1487.82,ns,,,,,
"beta_lpdf_Prim_vector_Prim_vector_Rev_real/1048576/manual_time_mean",5,1.03224e+06,135067,ns,,,,,
"beta_lpdf_Prim_vector_Prim_vector_Rev_real/1048576/manual_time_median",5,1.03244e+06,135267,ns,,,,,
"beta_lpdf_Prim_vector_Prim_vector_Rev_real/1048576/manual_time_stddev",5,13482.9,7689.18,ns,,,,,
"beta_lpdf_Prim_vector_Prim_vector_Rev_real/4194304/manual_time_mean",5,3.07364e+06,340931,ns,,,,,
"beta_lpdf_Prim_vector_Prim_vector_Rev_real/4194304/manual_time_median",5,3.13573e+06,374751,ns,,,,,
"beta_lpdf_Prim_vector_Prim_vector_Rev_real/4194304/manual_time_stddev",5,191678,59983.4,ns,,,,,
"beta_lpdf_Prim_vector_Prim_vector_Rev_real/16777216/manual_time_mean",5,9.0176e+06,772726,ns,,,,,
"beta_lpdf_Prim_vector_Prim_vector_Rev_real/16777216/manual_time_median",5,9.25068e+06,792111,ns,,,,,
"beta_lpdf_Prim_vector_Prim_vector_Rev_real/16777216/manual_time_stddev",5,701093,45327.4,ns,,,,,
"beta_lpdf_Prim_vector_Rev_vector_Prim_real/1/manual_time_mean",5,495324,139034,ns,,,,,
"beta_lpdf_Prim_vector_Rev_vector_Prim_real/1/manual_time_median",5,494714,136768,ns,,,,,
"beta_lpdf_Prim_vector_Rev_vector_Prim_real/1/manual_time_stddev",5,5478.4,4607.05,ns,,,,,
"beta_lpdf_Prim_vector_Rev_vector_Prim_real/4/manual_time_mean",5,490800,140631,ns,,,,,
"beta_lpdf_Prim_vector_Rev_vector_Prim_real/4/manual_time_median",5,489225,139522,ns,,,,,
"beta_lpdf_Prim_vector_Rev_vector_Prim_real/4/manual_time_stddev",5,5713.62,3457.81,ns,,,,,
"beta_lpdf_Prim_vector_Rev_vector_Prim_real/16/manual_time_mean",5,488038,139002,ns,,,,,
"beta_lpdf_Prim_vector_Rev_vector_Prim_real/16/manual_time_median",5,486770,137988,ns,,,,,
"beta_lpdf_Prim_vector_Rev_vector_Prim_real/16/manual_time_stddev",5,7381.58,2562.29,ns,,,,,
"beta_lpdf_Prim_vector_Rev_vector_Prim_real/64/manual_time_mean",5,485711,139864,ns,,,,,
"beta_lpdf_Prim_vector_Rev_vector_Prim_real/64/manual_time_median",5,488626,139219,ns,,,,,
"beta_lpdf_Prim_vector_Rev_vector_Prim_real/64/manual_time_stddev",5,8117.34,3805.98,ns,,,,,
"beta_lpdf_Prim_vector_Rev_vector_Prim_real/256/manual_time_mean",5,485706,140610,ns,,,,,
"beta_lpdf_Prim_vector_Rev_vector_Prim_real/256/manual_time_median",5,483636,140800,ns,,,,,
"beta_lpdf_Prim_vector_Rev_vector_Prim_real/256/manual_time_stddev",5,6598.06,1766.07,ns,,,,,
"beta_lpdf_Prim_vector_Rev_vector_Prim_real/1024/manual_time_mean",5,489238,143353,ns,,,,,
