name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"beta_proportion_lpdf_Prim_real_Prim_real_Prim_array_int/1/manual_time_mean",5,206761,55943.8,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_real_Prim_array_int/1/manual_time_median",5,201529,54171.4,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_real_Prim_array_int/1/manual_time_stddev",5,8757.19,4876.94,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_real_Prim_array_int/4/manual_time_mean",5,203673,53511.4,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_real_Prim_array_int/4/manual_time_median",5,204197,53615.2,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_real_Prim_array_int/4/manual_time_stddev",5,3292.84,1038.82,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_real_Prim_array_int/16/manual_time_mean",5,205279,54569.3,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_real_Prim_array_int/16/manual_time_median",5,205349,54128.1,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_real_Prim_array_int/16/manual_time_stddev",5,2324.01,1527.4,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_real_Prim_array_int/64/manual_time_mean",5,203784,54373.4,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_real_Prim_array_int/64/manual_time_median",5,203516,55180.1,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_real_Prim_array_int/64/manual_time_stddev",5,1213.43,2238.5,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_real_Prim_array_int/256/manual_time_mean",5,203421,53849.9,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_real_Prim_array_int/256/manual_time_median",5,204518,53874.2,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_real_Prim_array_int/256/manual_time_stddev",5,2271.15,1150.07,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_real_Prim_array_int/1024/manual_time_mean",5,201945,53259.9,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_real_Prim_array_int/1024/manual_time_median",5,201418,53167.5,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_real_Prim_array_int/1024/manual_time_stddev",5,1596.09,1075.8,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_real_Prim_array_int/4096/manual_time_mean",5,204731,53453.6,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_real_Prim_array_int/4096/manual_time_median",5,204141,53661.4,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_real_Prim_array_int/4096/manual_time_stddev",5,1451.51,1718.39,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_real_Prim_array_int/16384/manual_time_mean",5,205277,54209.1,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_real_Prim_array_int/16384/manual_time_median",5,204498,54184.4,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_real_Prim_array_int/16384/manual_time_stddev",5,2962.46,689.13,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_real_Prim_array_int/65536/manual_time_mean",5,212382,54996.5,ns,,,,,
