name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"beta_proportion_lpdf_Prim_real_Prim_vector_Prim_array_int/1/manual_time_mean",5,239855,63632.8,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_vector_Prim_array_int/1/manual_time_median",5,237032,61655.2,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_vector_Prim_array_int/1/manual_time_stddev",5,7778.18,5217.81,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_vector_Prim_array_int/4/manual_time_mean",5,235194,62133.7,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_vector_Prim_array_int/4/manual_time_median",5,233911,61622.5,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_vector_Prim_array_int/4/manual_time_stddev",5,3319.71,3507.62,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_vector_Prim_array_int/16/manual_time_mean",5,233704,61084.1,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_vector_Prim_array_int/16/manual_time_median",5,234431,61259.1,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_vector_Prim_array_int/16/manual_time_stddev",5,3889.22,1223.15,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_vector_Prim_array_int/64/manual_time_mean",5,233905,61399.1,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_vector_Prim_array_int/64/manual_time_median",5,232131,61159.2,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_vector_Prim_array_int/64/manual_time_stddev",5,4537.32,736.88,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_vector_Prim_array_int/256/manual_time_mean",5,230568,60497,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_vector_Prim_array_int/256/manual_time_median",5,230803,60380.1,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_vector_Prim_array_int/256/manual_time_stddev",5,1067.2,272.356,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_vector_Prim_array_int/1024/manual_time_mean",5,233391,61968.2,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_vector_Prim_array_int/1024/manual_time_median",5,232311,61467,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_vector_Prim_array_int/1024/manual_time_stddev",5,2284.18,1730.13,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_vector_Prim_array_int/4096/manual_time_mean",5,230197,59257.7,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_vector_Prim_array_int/4096/manual_time_median",5,231236,59805.1,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_vector_Prim_array_int/4096/manual_time_stddev",5,2578.33,1830.35,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_vector_Prim_array_int/16384/manual_time_mean",5,232211,59871.2,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_vector_Prim_array_int/16384/manual_time_median",5,233179,59210.3,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_vector_Prim_array_int/16384/manual_time_stddev",5,2707.08,1334.14,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_vector_Prim_array_int/65536/manual_time_mean",5,254081,63506.4,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_vector_Prim_array_int/65536/manual_time_median",5,254042,63185.2,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_vector_Prim_array_int/65536/manual_time_stddev",5,3456.81,1950.99,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_vector_Prim_array_int/262144/manual_time_mean",5,328848,68019.9,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_vector_Prim_array_int/262144/manual_time_median",5,328806,68337,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_vector_Prim_array_int/262144/manual_time_stddev",5,1906.16,890.209,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_vector_Prim_array_int/1048576/manual_time_mean",5,658506,100014,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_vector_Prim_array_int/1048576/manual_time_median",5,657713,101566,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_vector_Prim_array_int/1048576/manual_time_stddev",5,6968.09,6188.14,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_vector_Prim_array_int/4194304/manual_time_mean",5,1.84043e+06,231039,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_vector_Prim_array_int/4194304/manual_time_median",5,1.8327e+06,229693,ns,,,,,
