name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"beta_proportion_lpdf_Prim_real_Prim_vector_Prim_int/1/manual_time_mean",5,200177,55088.2,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_vector_Prim_int/1/manual_time_median",5,197862,54550.8,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_vector_Prim_int/1/manual_time_stddev",5,8723.34,3550.71,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_vector_Prim_int/4/manual_time_mean",5,198283,52678.7,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_vector_Prim_int/4/manual_time_median",5,198688,52637.1,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_vector_Prim_int/4/manual_time_stddev",5,4043.07,1048.71,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_vector_Prim_int/16/manual_time_mean",5,196089,53291.2,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_vector_Prim_int/16/manual_time_median",5,196180,52908.7,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_vector_Prim_int/16/manual_time_stddev",5,1076.18,1099.74,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_vector_Prim_int/64/manual_time_mean",5,196247,53718.6,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_vector_Prim_int/64/manual_time_median",5,194718,53554,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_vector_Prim_int/64/manual_time_stddev",5,3889.08,1761.44,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_vector_Prim_int/256/manual_time_mean",5,196685,53256.8,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_vector_Prim_int/256/manual_time_median",5,194254,53218.6,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_vector_Prim_int/256/manual_time_stddev",5,4771.83,1565.42,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_vector_Prim_int/1024/manual_time_mean",5,198610,56216.5,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_vector_Prim_int/1024/manual_time_median",5,198290,55683.6,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_vector_Prim_int/1024/manual_time_stddev",5,2861.24,2602.69,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_vector_Prim_int/4096/manual_time_mean",5,195692,53145.3,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_vector_Prim_int/4096/manual_time_median",5,195015,52907.5,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_vector_Prim_int/4096/manual_time_stddev",5,2086.33,851.905,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_vector_Prim_int/16384/manual_time_mean",5,200964,55870.1,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_vector_Prim_int/16384/manual_time_median",5,201531,55933.4,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_vector_Prim_int/16384/manual_time_stddev",5,2189.57,1194.11,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_vector_Prim_int/65536/manual_time_mean",5,219625,59391.4,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_vector_Prim_int/65536/manual_time_median",5,219275,59968.4,ns,,,,,
