name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"beta_proportion_lpdf_Prim_real_Prim_vector_Prim_vector/1/manual_time_mean",5,247703,66442.2,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_vector_Prim_vector/1/manual_time_median",5,247184,65316.4,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_vector_Prim_vector/1/manual_time_stddev",5,7700.19,4026.04,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_vector_Prim_vector/4/manual_time_mean",5,247456,64898.2,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_vector_Prim_vector/4/manual_time_median",5,247391,65139.3,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_vector_Prim_vector/4/manual_time_stddev",5,3036.37,1033.57,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_vector_Prim_vector/16/manual_time_mean",5,242655,66473.3,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_vector_Prim_vector/16/manual_time_median",5,242005,65650.1,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_vector_Prim_vector/16/manual_time_stddev",5,3232.59,3352.87,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_vector_Prim_vector/64/manual_time_mean",5,244572,65311.6,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_vector_Prim_vector/64/manual_time_median",5,243799,65719,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_vector_Prim_vector/64/manual_time_stddev",5,3188.42,1696.21,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_vector_Prim_vector/256/manual_time_mean",5,241424,64631.4,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_vector_Prim_vector/256/manual_time_median",5,239428,64596.3,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_vector_Prim_vector/256/manual_time_stddev",5,4530.93,979.805,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_vector_Prim_vector/1024/manual_time_mean",5,239286,63900.5,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_vector_Prim_vector/1024/manual_time_median",5,238448,64214.4,ns,,,,,
