name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_array_int/1/manual_time_mean",5,248034,66372,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_array_int/1/manual_time_median",5,246663,65319.4,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_array_int/1/manual_time_stddev",5,4990.14,3227.49,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_array_int/4/manual_time_mean",5,243170,63398.8,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_array_int/4/manual_time_median",5,242195,63517.1,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_array_int/4/manual_time_stddev",5,3020.01,1087.74,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_array_int/16/manual_time_mean",5,246282,63766.7,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_array_int/16/manual_time_median",5,245449,63969.3,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_array_int/16/manual_time_stddev",5,2669.5,1349.57,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_array_int/64/manual_time_mean",5,246472,65175.3,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_array_int/64/manual_time_median",5,246014,64034,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_array_int/64/manual_time_stddev",5,2157.89,2129.97,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_array_int/256/manual_time_mean",5,246043,64291,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_array_int/256/manual_time_median",5,246014,64335.7,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_array_int/256/manual_time_stddev",5,2806.29,376.592,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_array_int/1024/manual_time_mean",5,247464,66002.9,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_array_int/1024/manual_time_median",5,248766,63912.7,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_array_int/1024/manual_time_stddev",5,4493.05,3707.78,ns,,,,,
