name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_int/1/manual_time_mean",5,166501,40888.5,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_int/1/manual_time_median",5,163462,38038.8,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_int/1/manual_time_stddev",5,8838.83,5193.67,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_int/4/manual_time_mean",5,169060,40177.4,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_int/4/manual_time_median",5,167352,38178.8,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_int/4/manual_time_stddev",5,4093.57,5083.04,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_int/16/manual_time_mean",5,162101,37752.3,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_int/16/manual_time_median",5,161242,37336.9,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_int/16/manual_time_stddev",5,2776.95,1126.2,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_int/64/manual_time_mean",5,162366,38275.9,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_int/64/manual_time_median",5,161911,38338.5,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_int/64/manual_time_stddev",5,992.066,943.565,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_int/256/manual_time_mean",5,165988,37839.6,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_int/256/manual_time_median",5,165789,37855,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_int/256/manual_time_stddev",5,3502.02,596.135,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_int/1024/manual_time_mean",5,161792,38154.5,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_int/1024/manual_time_median",5,161552,38200.4,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_int/1024/manual_time_stddev",5,1113.59,1116.65,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_int/4096/manual_time_mean",5,163527,37287.3,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_int/4096/manual_time_median",5,163392,37329.6,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_int/4096/manual_time_stddev",5,3082.63,331.838,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_int/16384/manual_time_mean",5,166698,40726.5,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_int/16384/manual_time_median",5,165698,40200.1,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_int/16384/manual_time_stddev",5,2073.22,1752.41,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_int/65536/manual_time_mean",5,173608,43431.5,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_int/65536/manual_time_median",5,173326,42732.7,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_int/65536/manual_time_stddev",5,2927.65,1723.34,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_int/262144/manual_time_mean",5,218565,49634.7,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_int/262144/manual_time_median",5,219573,49872,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_int/262144/manual_time_stddev",5,3151.09,1750.31,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_int/1048576/manual_time_mean",5,362707,55761.7,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_int/1048576/manual_time_median",5,362251,56654.7,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_int/1048576/manual_time_stddev",5,4634.16,2181.46,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_int/4194304/manual_time_mean",5,1.02735e+06,141936,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_int/4194304/manual_time_median",5,1.02561e+06,143078,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_int/4194304/manual_time_stddev",5,8383.39,4239.16,ns,,,,,
