name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_real/1/manual_time_mean",5,168675,42594.9,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_real/1/manual_time_median",5,167314,41888.5,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_real/1/manual_time_stddev",5,6720.13,3199.86,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_real/4/manual_time_mean",5,167493,40843.3,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_real/4/manual_time_median",5,164305,40393.5,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_real/4/manual_time_stddev",5,5401.57,2680.72,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_real/16/manual_time_mean",5,165200,40067.2,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_real/16/manual_time_median",5,165274,39874.3,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_real/16/manual_time_stddev",5,2654.1,801.057,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_real/64/manual_time_mean",5,166589,39675.4,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_real/64/manual_time_median",5,167980,39650.2,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_real/64/manual_time_stddev",5,3595.37,1512.38,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_real/256/manual_time_mean",5,164038,38970.3,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_real/256/manual_time_median",5,164323,39107.6,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_real/256/manual_time_stddev",5,2405.43,428.34,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_real/1024/manual_time_mean",5,165307,40751.6,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_real/1024/manual_time_median",5,164204,40525.3,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_real/1024/manual_time_stddev",5,2951.8,1842.2,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_real/4096/manual_time_mean",5,164579,39929.7,ns,,,,,
