name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_vector/1/manual_time_mean",5,256695,68029.3,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_vector/1/manual_time_median",5,254025,66097.3,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_vector/1/manual_time_stddev",5,8436.85,4243.25,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_vector/4/manual_time_mean",5,245518,64058.2,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_vector/4/manual_time_median",5,245468,63929.6,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_vector/4/manual_time_stddev",5,3533.41,1669.34,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_vector/16/manual_time_mean",5,247610,64807.2,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_vector/16/manual_time_median",5,248528,64629.6,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_vector/16/manual_time_stddev",5,5763.69,2092.05,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_vector/64/manual_time_mean",5,248946,64486.4,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_vector/64/manual_time_median",5,246226,64276.7,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_vector/64/manual_time_stddev",5,4826.82,606.955,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_vector/256/manual_time_mean",5,245667,65627.7,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_vector/256/manual_time_median",5,245811,65535.1,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_vector/256/manual_time_stddev",5,682.352,503.347,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_vector/1024/manual_time_mean",5,246306,65051.6,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_vector/1024/manual_time_median",5,244497,64612.6,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_vector/1024/manual_time_stddev",5,4438.33,2552.58,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_vector/4096/manual_time_mean",5,245089,64694.2,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_vector/4096/manual_time_median",5,244196,64098.1,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_vector/4096/manual_time_stddev",5,4572.92,1505.36,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_vector/16384/manual_time_mean",5,248354,64558.9,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_vector/16384/manual_time_median",5,249708,64400.5,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_vector/16384/manual_time_stddev",5,3111.02,794.967,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_vector/65536/manual_time_mean",5,270906,65900.7,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_vector/65536/manual_time_median",5,269186,65045.7,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_vector/65536/manual_time_stddev",5,4875.22,2630.56,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_vector/262144/manual_time_mean",5,377716,71523.3,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_vector/262144/manual_time_median",5,380277,71954.3,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_vector/262144/manual_time_stddev",5,6747.61,2963.65,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_vector/1048576/manual_time_mean",5,875699,133745,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_vector/1048576/manual_time_median",5,870917,135773,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_vector/1048576/manual_time_stddev",5,16734.2,6589.08,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_vector/4194304/manual_time_mean",5,2.2894e+06,287105,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_vector/4194304/manual_time_median",5,2.28478e+06,289155,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_vector/4194304/manual_time_stddev",5,336805,56476.9,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_vector/16777216/manual_time_mean",5,6.16462e+06,537311,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_vector/16777216/manual_time_median",5,6.17643e+06,559062,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_vector/16777216/manual_time_stddev",5,198422,46713.1,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Rev_vector/1/manual_time_mean",5,555061,156652,ns,,,,,
