name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"beta_proportion_lpdf_Prim_vector_Prim_vector_Prim_array_int/1/manual_time_mean",5,267289,72225.9,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_vector_Prim_array_int/1/manual_time_median",5,262931,70239.7,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_vector_Prim_array_int/1/manual_time_stddev",5,10650.6,4798.22,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_vector_Prim_array_int/4/manual_time_mean",5,261913,69235.3,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_vector_Prim_array_int/4/manual_time_median",5,260460,69880.2,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_vector_Prim_array_int/4/manual_time_stddev",5,6107.89,1071.13,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_vector_Prim_array_int/16/manual_time_mean",5,263421,69067.3,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_vector_Prim_array_int/16/manual_time_median",5,259773,68585.8,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_vector_Prim_array_int/16/manual_time_stddev",5,8299.7,1340.96,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_vector_Prim_array_int/64/manual_time_mean",5,262682,69727.7,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_vector_Prim_array_int/64/manual_time_median",5,260315,68854.6,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_vector_Prim_array_int/64/manual_time_stddev",5,5856.16,3646.67,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_vector_Prim_array_int/256/manual_time_mean",5,268183,69271.9,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_vector_Prim_array_int/256/manual_time_median",5,267686,69456.5,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_vector_Prim_array_int/256/manual_time_stddev",5,5756.07,1094.9,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_vector_Prim_array_int/1024/manual_time_mean",5,260384,67918.6,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_vector_Prim_array_int/1024/manual_time_median",5,259123,68267,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_vector_Prim_array_int/1024/manual_time_stddev",5,5951.23,1326.4,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_vector_Prim_array_int/4096/manual_time_mean",5,263262,67939.5,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_vector_Prim_array_int/4096/manual_time_median",5,264309,67660.5,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_vector_Prim_array_int/4096/manual_time_stddev",5,7398.18,1524.45,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_vector_Prim_array_int/16384/manual_time_mean",5,256209,67718.3,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_vector_Prim_array_int/16384/manual_time_median",5,255816,67492,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_vector_Prim_array_int/16384/manual_time_stddev",5,2357.67,1157.37,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_vector_Prim_array_int/65536/manual_time_mean",5,293571,71729.1,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_vector_Prim_array_int/65536/manual_time_median",5,293492,71924.5,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_vector_Prim_array_int/65536/manual_time_stddev",5,4626.64,851.263,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_vector_Prim_array_int/262144/manual_time_mean",5,394097,74387.9,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_vector_Prim_array_int/262144/manual_time_median",5,393266,73208.4,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_vector_Prim_array_int/262144/manual_time_stddev",5,4033.86,2748.26,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_vector_Prim_array_int/1048576/manual_time_mean",5,912358,134956,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_vector_Prim_array_int/1048576/manual_time_median",5,914663,134665,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_vector_Prim_array_int/1048576/manual_time_stddev",5,14727.5,9040.19,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_vector_Prim_array_int/4194304/manual_time_mean",5,2.53931e+06,299624,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_vector_Prim_array_int/4194304/manual_time_median",5,2.67305e+06,336043,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_vector_Prim_array_int/4194304/manual_time_stddev",5,486935,94609.1,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_vector_Prim_array_int/16777216/manual_time_mean",5,6.54933e+06,610710,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_vector_Prim_array_int/16777216/manual_time_median",5,6.45057e+06,614936,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_vector_Prim_array_int/16777216/manual_time_stddev",5,176097,31260.5,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Rev_vector_Prim_array_int/1/manual_time_mean",5,574530,160546,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Rev_vector_Prim_array_int/1/manual_time_median",5,573209,159985,ns,,,,,
