name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"beta_proportion_lpdf_Rev_vector_Prim_vector_Prim_int/1/manual_time_mean",5,525104,148111,ns,,,,,
"beta_proportion_lpdf_Rev_vector_Prim_vector_Prim_int/1/manual_time_median",5,527688,147044,ns,,,,,
"beta_proportion_lpdf_Rev_vector_Prim_vector_Prim_int/1/manual_time_stddev",5,8787.04,3283.43,ns,,,,,
"beta_proportion_lpdf_Rev_vector_Prim_vector_Prim_int/4/manual_time_mean",5,526556,150487,ns,,,,,
"beta_proportion_lpdf_Rev_vector_Prim_vector_Prim_int/4/manual_time_median",5,524302,150588,ns,,,,,
"beta_proportion_lpdf_Rev_vector_Prim_vector_Prim_int/4/manual_time_stddev",5,5965.93,1428.98,ns,,,,,
"beta_proportion_lpdf_Rev_vector_Prim_vector_Prim_int/16/manual_time_mean",5,522528,148418,ns,,,,,
"beta_proportion_lpdf_Rev_vector_Prim_vector_Prim_int/16/manual_time_median",5,519273,150232,ns,,,,,
"beta_proportion_lpdf_Rev_vector_Prim_vector_Prim_int/16/manual_time_stddev",5,10955.2,2878.29,ns,,,,,
"beta_proportion_lpdf_Rev_vector_Prim_vector_Prim_int/64/manual_time_mean",5,527147,152269,ns,,,,,
"beta_proportion_lpdf_Rev_vector_Prim_vector_Prim_int/64/manual_time_median",5,525848,151689,ns,,,,,
"beta_proportion_lpdf_Rev_vector_Prim_vector_Prim_int/64/manual_time_stddev",5,3584.5,3023.34,ns,,,,,
"beta_proportion_lpdf_Rev_vector_Prim_vector_Prim_int/256/manual_time_mean",5,529007,153370,ns,,,,,
"beta_proportion_lpdf_Rev_vector_Prim_vector_Prim_int/256/manual_time_median",5,527788,152021,ns,,,,,
"beta_proportion_lpdf_Rev_vector_Prim_vector_Prim_int/256/manual_time_stddev",5,8402.03,5638.7,ns,,,,,
"beta_proportion_lpdf_Rev_vector_Prim_vector_Prim_int/1024/manual_time_mean",5,531613,158947,ns,,,,,
"beta_proportion_lpdf_Rev_vector_Prim_vector_Prim_int/1024/manual_time_median",5,526908,158071,ns,,,,,
"beta_proportion_lpdf_Rev_vector_Prim_vector_Prim_int/1024/manual_time_stddev",5,10481.4,3378.89,ns,,,,,
"beta_proportion_lpdf_Rev_vector_Prim_vector_Prim_int/4096/manual_time_mean",5,545998,173725,ns,,,,,
"beta_proportion_lpdf_Rev_vector_Prim_vector_Prim_int/4096/manual_time_median",5,546091,174013,ns,,,,,
"beta_proportion_lpdf_Rev_vector_Prim_vector_Prim_int/4096/manual_time_stddev",5,6128.82,1942.38,ns,,,,,
"beta_proportion_lpdf_Rev_vector_Prim_vector_Prim_int/16384/manual_time_mean",5,656328,224920,ns,,,,,
"beta_proportion_lpdf_Rev_vector_Prim_vector_Prim_int/16384/manual_time_median",5,657252,223699,ns,,,,,
"beta_proportion_lpdf_Rev_vector_Prim_vector_Prim_int/16384/manual_time_stddev",5,3945.46,2749.95,ns,,,,,
"beta_proportion_lpdf_Rev_vector_Prim_vector_Prim_int/65536/manual_time_mean",5,1.09159e+06,481554,ns,,,,,
"beta_proportion_lpdf_Rev_vector_Prim_vector_Prim_int/65536/manual_time_median",5,1.09046e+06,483257,ns,,,,,
"beta_proportion_lpdf_Rev_vector_Prim_vector_Prim_int/65536/manual_time_stddev",5,8554.76,5043.04,ns,,,,,
"beta_proportion_lpdf_Rev_vector_Prim_vector_Prim_int/262144/manual_time_mean",5,3.8269e+06,2.0467e+06,ns,,,,,
"beta_proportion_lpdf_Rev_vector_Prim_vector_Prim_int/262144/manual_time_median",5,3.8066e+06,2.03807e+06,ns,,,,,
"beta_proportion_lpdf_Rev_vector_Prim_vector_Prim_int/262144/manual_time_stddev",5,92468.9,41726,ns,,,,,
"beta_proportion_lpdf_Rev_vector_Prim_vector_Prim_int/1048576/manual_time_mean",5,1.4351e+07,1.13828e+07,ns,,,,,
"beta_proportion_lpdf_Rev_vector_Prim_vector_Prim_int/1048576/manual_time_median",5,1.44102e+07,1.14466e+07,ns,,,,,
"beta_proportion_lpdf_Rev_vector_Prim_vector_Prim_int/1048576/manual_time_stddev",5,214969,208634,ns,,,,,
"beta_proportion_lpdf_Rev_vector_Prim_vector_Prim_int/4194304/manual_time_mean",5,5.2778e+07,4.16331e+07,ns,,,,,
"beta_proportion_lpdf_Rev_vector_Prim_vector_Prim_int/4194304/manual_time_median",5,5.28433e+07,4.1458e+07,ns,,,,,
"beta_proportion_lpdf_Rev_vector_Prim_vector_Prim_int/4194304/manual_time_stddev",5,686507,588903,ns,,,,,
"beta_proportion_lpdf_Rev_vector_Prim_vector_Prim_int/16777216/manual_time_mean",5,1.79599e+08,1.50772e+08,ns,,,,,
"beta_proportion_lpdf_Rev_vector_Prim_vector_Prim_int/16777216/manual_time_median",5,1.79345e+08,1.50928e+08,ns,,,,,
"beta_proportion_lpdf_Rev_vector_Prim_vector_Prim_int/16777216/manual_time_stddev",5,1.09232e+06,1.04545e+06,ns,,,,,
"beta_proportion_lpdf_Rev_vector_Rev_vector_Prim_int/1/manual_time_mean",5,705599,216222,ns,,,,,
"beta_proportion_lpdf_Rev_vector_Rev_vector_Prim_int/1/manual_time_median",5,710035,216428,ns,,,,,
"beta_proportion_lpdf_Rev_vector_Rev_vector_Prim_int/1/manual_time_stddev",5,16604.7,2888.1,ns,,,,,
"beta_proportion_lpdf_Rev_vector_Rev_vector_Prim_int/4/manual_time_mean",5,686909,216168,ns,,,,,
"beta_proportion_lpdf_Rev_vector_Rev_vector_Prim_int/4/manual_time_median",5,688625,215663,ns,,,,,
"beta_proportion_lpdf_Rev_vector_Rev_vector_Prim_int/4/manual_time_stddev",5,4967.08,1785.57,ns,,,,,
"beta_proportion_lpdf_Rev_vector_Rev_vector_Prim_int/16/manual_time_mean",5,691227,217864,ns,,,,,
"beta_proportion_lpdf_Rev_vector_Rev_vector_Prim_int/16/manual_time_median",5,695763,214524,ns,,,,,
"beta_proportion_lpdf_Rev_vector_Rev_vector_Prim_int/16/manual_time_stddev",5,19207.2,8210.29,ns,,,,,
"beta_proportion_lpdf_Rev_vector_Rev_vector_Prim_int/64/manual_time_mean",5,685105,216925,ns,,,,,
"beta_proportion_lpdf_Rev_vector_Rev_vector_Prim_int/64/manual_time_median",5,686624,218002,ns,,,,,
"beta_proportion_lpdf_Rev_vector_Rev_vector_Prim_int/64/manual_time_stddev",5,8520.76,6162.78,ns,,,,,
"beta_proportion_lpdf_Rev_vector_Rev_vector_Prim_int/256/manual_time_mean",5,689861,221426,ns,,,,,
"beta_proportion_lpdf_Rev_vector_Rev_vector_Prim_int/256/manual_time_median",5,688939,220771,ns,,,,,
"beta_proportion_lpdf_Rev_vector_Rev_vector_Prim_int/256/manual_time_stddev",5,12342,6229.17,ns,,,,,
"beta_proportion_lpdf_Rev_vector_Rev_vector_Prim_int/1024/manual_time_mean",5,721649,237357,ns,,,,,
"beta_proportion_lpdf_Rev_vector_Rev_vector_Prim_int/1024/manual_time_median",5,723101,231685,ns,,,,,
"beta_proportion_lpdf_Rev_vector_Rev_vector_Prim_int/1024/manual_time_stddev",5,18538.6,12003.9,ns,,,,,
"beta_proportion_lpdf_Rev_vector_Rev_vector_Prim_int/4096/manual_time_mean",5,752544,261925,ns,,,,,
"beta_proportion_lpdf_Rev_vector_Rev_vector_Prim_int/4096/manual_time_median",5,758161,261670,ns,,,,,
"beta_proportion_lpdf_Rev_vector_Rev_vector_Prim_int/4096/manual_time_stddev",5,12624,3477.99,ns,,,,,
"beta_proportion_lpdf_Rev_vector_Rev_vector_Prim_int/16384/manual_time_mean",5,981768,369822,ns,,,,,
"beta_proportion_lpdf_Rev_vector_Rev_vector_Prim_int/16384/manual_time_median",5,979677,371147,ns,,,,,
"beta_proportion_lpdf_Rev_vector_Rev_vector_Prim_int/16384/manual_time_stddev",5,18037.3,3413.27,ns,,,,,
"beta_proportion_lpdf_Rev_vector_Rev_vector_Prim_int/65536/manual_time_mean",5,1.98018e+06,973725,ns,,,,,
"beta_proportion_lpdf_Rev_vector_Rev_vector_Prim_int/65536/manual_time_median",5,1.98386e+06,975106,ns,,,,,
"beta_proportion_lpdf_Rev_vector_Rev_vector_Prim_int/65536/manual_time_stddev",5,22720.4,19668.5,ns,,,,,
"beta_proportion_lpdf_Rev_vector_Rev_vector_Prim_int/262144/manual_time_mean",5,6.95556e+06,4.09252e+06,ns,,,,,
"beta_proportion_lpdf_Rev_vector_Rev_vector_Prim_int/262144/manual_time_median",5,6.92922e+06,4.10754e+06,ns,,,,,
"beta_proportion_lpdf_Rev_vector_Rev_vector_Prim_int/262144/manual_time_stddev",5,148072,78659.9,ns,,,,,
"beta_proportion_lpdf_Rev_vector_Rev_vector_Prim_int/1048576/manual_time_mean",5,2.68436e+07,2.05479e+07,ns,,,,,
"beta_proportion_lpdf_Rev_vector_Rev_vector_Prim_int/1048576/manual_time_median",5,2.68904e+07,2.05595e+07,ns,,,,,
"beta_proportion_lpdf_Rev_vector_Rev_vector_Prim_int/1048576/manual_time_stddev",5,386556,288722,ns,,,,,
"beta_proportion_lpdf_Rev_vector_Rev_vector_Prim_int/4194304/manual_time_mean",5,1.04144e+08,8.23721e+07,ns,,,,,
"beta_proportion_lpdf_Rev_vector_Rev_vector_Prim_int/4194304/manual_time_median",5,1.04538e+08,8.2929e+07,ns,,,,,
"beta_proportion_lpdf_Rev_vector_Rev_vector_Prim_int/4194304/manual_time_stddev",5,1.1105e+06,1.25347e+06,ns,,,,,
"beta_proportion_lpdf_Rev_vector_Rev_vector_Prim_int/16777216/manual_time_mean",5,3.53934e+08,3.01354e+08,ns,,,,,
"beta_proportion_lpdf_Rev_vector_Rev_vector_Prim_int/16777216/manual_time_median",5,3.52969e+08,3.02016e+08,ns,,,,,
"beta_proportion_lpdf_Rev_vector_Rev_vector_Prim_int/16777216/manual_time_stddev",5,2.83471e+06,1.62962e+06,ns,,,,,
