name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"binomial_lpmf_Prim_array_int_Prim_array_int_Prim_vector/1/manual_time_mean",5,1.1125e+08,1.10859e+08,ns,,,,,
"binomial_lpmf_Prim_array_int_Prim_array_int_Prim_vector/1/manual_time_median",5,256219,73817,ns,,,,,
"binomial_lpmf_Prim_array_int_Prim_array_int_Prim_vector/1/manual_time_stddev",5,2.48167e+08,2.47706e+08,ns,,,,,
"binomial_lpmf_Prim_array_int_Prim_array_int_Prim_vector/4/manual_time_mean",5,253568,71135.7,ns,,,,,
"binomial_lpmf_Prim_array_int_Prim_array_int_Prim_vector/4/manual_time_median",5,246952,68388.9,ns,,,,,
"binomial_lpmf_Prim_array_int_Prim_array_int_Prim_vector/4/manual_time_stddev",5,10852.2,4962.49,ns,,,,,
"binomial_lpmf_Prim_array_int_Prim_array_int_Prim_vector/16/manual_time_mean",5,242814,66597.8,ns,,,,,
"binomial_lpmf_Prim_array_int_Prim_array_int_Prim_vector/16/manual_time_median",5,242997,66485,ns,,,,,
"binomial_lpmf_Prim_array_int_Prim_array_int_Prim_vector/16/manual_time_stddev",5,698.613,822.962,ns,,,,,
"binomial_lpmf_Prim_array_int_Prim_array_int_Prim_vector/64/manual_time_mean",5,248317,67916.8,ns,,,,,
"binomial_lpmf_Prim_array_int_Prim_array_int_Prim_vector/64/manual_time_median",5,250045,67090.9,ns,,,,,
"binomial_lpmf_Prim_array_int_Prim_array_int_Prim_vector/64/manual_time_stddev",5,5487.06,2123.14,ns,,,,,
"binomial_lpmf_Prim_array_int_Prim_array_int_Prim_vector/256/manual_time_mean",5,247114,66668.5,ns,,,,,
"binomial_lpmf_Prim_array_int_Prim_array_int_Prim_vector/256/manual_time_median",5,248057,66761.9,ns,,,,,
"binomial_lpmf_Prim_array_int_Prim_array_int_Prim_vector/256/manual_time_stddev",5,6548.13,1277.08,ns,,,,,
"binomial_lpmf_Prim_array_int_Prim_array_int_Prim_vector/1024/manual_time_mean",5,252139,67058,ns,,,,,
"binomial_lpmf_Prim_array_int_Prim_array_int_Prim_vector/1024/manual_time_median",5,250754,67082.2,ns,,,,,
"binomial_lpmf_Prim_array_int_Prim_array_int_Prim_vector/1024/manual_time_stddev",5,2347.1,788.62,ns,,,,,
"binomial_lpmf_Prim_array_int_Prim_array_int_Prim_vector/4096/manual_time_mean",5,247059,67678.6,ns,,,,,
"binomial_lpmf_Prim_array_int_Prim_array_int_Prim_vector/4096/manual_time_median",5,246172,67575.7,ns,,,,,
"binomial_lpmf_Prim_array_int_Prim_array_int_Prim_vector/4096/manual_time_stddev",5,4545.65,837.696,ns,,,,,
"binomial_lpmf_Prim_array_int_Prim_array_int_Prim_vector/16384/manual_time_mean",5,249340,71269.2,ns,,,,,
"binomial_lpmf_Prim_array_int_Prim_array_int_Prim_vector/16384/manual_time_median",5,246528,68815.1,ns,,,,,
"binomial_lpmf_Prim_array_int_Prim_array_int_Prim_vector/16384/manual_time_stddev",5,7752.02,5963.13,ns,,,,,
"binomial_lpmf_Prim_array_int_Prim_array_int_Prim_vector/65536/manual_time_mean",5,266047,69856.6,ns,,,,,
"binomial_lpmf_Prim_array_int_Prim_array_int_Prim_vector/65536/manual_time_median",5,266224,69430.5,ns,,,,,
"binomial_lpmf_Prim_array_int_Prim_array_int_Prim_vector/65536/manual_time_stddev",5,2416.6,2282.22,ns,,,,,
"binomial_lpmf_Prim_array_int_Prim_array_int_Prim_vector/262144/manual_time_mean",5,323691,73747.8,ns,,,,,
"binomial_lpmf_Prim_array_int_Prim_array_int_Prim_vector/262144/manual_time_median",5,324927,73240,ns,,,,,
"binomial_lpmf_Prim_array_int_Prim_array_int_Prim_vector/262144/manual_time_stddev",5,4993.25,1739.84,ns,,,,,
"binomial_lpmf_Prim_array_int_Prim_array_int_Prim_vector/1048576/manual_time_mean",5,529428,84243.6,ns,,,,,
"binomial_lpmf_Prim_array_int_Prim_array_int_Prim_vector/1048576/manual_time_median",5,527788,83861.8,ns,,,,,
