name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"binomial_lpmf_Prim_int1_Prim_int_Prim_real/1/manual_time_mean",5,1.12061e+08,1.10879e+08,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int_Prim_real/1/manual_time_median",5,247186,66191,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int_Prim_real/1/manual_time_stddev",5,2.4998e+08,2.47767e+08,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int_Prim_real/4/manual_time_mean",5,219365,53202.4,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int_Prim_real/4/manual_time_median",5,217780,50666.7,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int_Prim_real/4/manual_time_stddev",5,12687.3,5875.28,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int_Prim_real/16/manual_time_mean",5,212390,51368.9,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int_Prim_real/16/manual_time_median",5,213297,51762.9,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int_Prim_real/16/manual_time_stddev",5,3491.96,1075.37,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int_Prim_real/64/manual_time_mean",5,217117,50704.6,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int_Prim_real/64/manual_time_median",5,215455,50663.6,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int_Prim_real/64/manual_time_stddev",5,3776.72,604.365,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int_Prim_real/256/manual_time_mean",5,209300,50010.4,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int_Prim_real/256/manual_time_median",5,210442,49742.5,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int_Prim_real/256/manual_time_stddev",5,3247.54,639.163,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int_Prim_real/1024/manual_time_mean",5,214486,49995.2,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int_Prim_real/1024/manual_time_median",5,213308,50091.1,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int_Prim_real/1024/manual_time_stddev",5,6175.46,411.99,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int_Prim_real/4096/manual_time_mean",5,211404,49930.3,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int_Prim_real/4096/manual_time_median",5,209477,49930.5,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int_Prim_real/4096/manual_time_stddev",5,4258.25,425.677,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int_Prim_real/16384/manual_time_mean",5,215145,50923.3,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int_Prim_real/16384/manual_time_median",5,212744,50951.1,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int_Prim_real/16384/manual_time_stddev",5,5210.59,198.817,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int_Prim_real/65536/manual_time_mean",5,252233,56772.4,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int_Prim_real/65536/manual_time_median",5,251911,56384.9,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int_Prim_real/65536/manual_time_stddev",5,3742.92,1309.68,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int_Prim_real/262144/manual_time_mean",5,364796,62000.1,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int_Prim_real/262144/manual_time_median",5,363945,61981.2,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int_Prim_real/262144/manual_time_stddev",5,1804.35,703.43,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int_Prim_real/1048576/manual_time_mean",5,891005,120950,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int_Prim_real/1048576/manual_time_median",5,884745,120722,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int_Prim_real/1048576/manual_time_stddev",5,12121,7457.65,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int_Prim_real/4194304/manual_time_mean",5,2.00517e+06,238717,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int_Prim_real/4194304/manual_time_median",5,1.82355e+06,215254,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int_Prim_real/4194304/manual_time_stddev",5,410830,76374.2,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int_Prim_real/16777216/manual_time_mean",5,6.1911e+06,539787,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int_Prim_real/16777216/manual_time_median",5,6.25035e+06,541742,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int_Prim_real/16777216/manual_time_stddev",5,105884,24888.9,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int_Rev_real/1/manual_time_mean",5,1.04396e+08,1.04118e+08,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int_Rev_real/1/manual_time_median",5,341229,94568,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int_Rev_real/1/manual_time_stddev",5,2.32714e+08,2.32617e+08,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int_Rev_real/4/manual_time_mean",5,278123,70290.1,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int_Rev_real/4/manual_time_median",5,278685,70580.3,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int_Rev_real/4/manual_time_stddev",5,1760.32,1489.99,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int_Rev_real/16/manual_time_mean",5,274873,68979.3,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int_Rev_real/16/manual_time_median",5,274518,69036.5,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int_Rev_real/16/manual_time_stddev",5,2638.71,1366.91,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int_Rev_real/64/manual_time_mean",5,283162,72102.7,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int_Rev_real/64/manual_time_median",5,283702,70673.6,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int_Rev_real/64/manual_time_stddev",5,9550.29,5584.17,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int_Rev_real/256/manual_time_mean",5,276325,69225.1,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int_Rev_real/256/manual_time_median",5,275540,68495.7,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int_Rev_real/256/manual_time_stddev",5,2562.37,1365.01,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int_Rev_real/1024/manual_time_mean",5,281544,69954.4,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int_Rev_real/1024/manual_time_median",5,279065,69317,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int_Rev_real/1024/manual_time_stddev",5,7865.48,2230.27,ns,,,,,
