name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"binomial_lpmf_Prim_array_int_Prim_int_Prim_vector/1/manual_time_mean",5,1.16279e+08,1.15972e+08,ns,,,,,
"binomial_lpmf_Prim_array_int_Prim_int_Prim_vector/1/manual_time_median",5,379159,146294,ns,,,,,
"binomial_lpmf_Prim_array_int_Prim_int_Prim_vector/1/manual_time_stddev",5,2.59244e+08,2.59036e+08,ns,,,,,
"binomial_lpmf_Prim_array_int_Prim_int_Prim_vector/4/manual_time_mean",5,268974,68200.2,ns,,,,,
"binomial_lpmf_Prim_array_int_Prim_int_Prim_vector/4/manual_time_median",5,267267,66123.4,ns,,,,,
"binomial_lpmf_Prim_array_int_Prim_int_Prim_vector/4/manual_time_stddev",5,11595.6,4302.33,ns,,,,,
"binomial_lpmf_Prim_array_int_Prim_int_Prim_vector/16/manual_time_mean",5,260028,64042.5,ns,,,,,
"binomial_lpmf_Prim_array_int_Prim_int_Prim_vector/16/manual_time_median",5,260165,64198.1,ns,,,,,
"binomial_lpmf_Prim_array_int_Prim_int_Prim_vector/16/manual_time_stddev",5,1495.44,705.226,ns,,,,,
"binomial_lpmf_Prim_array_int_Prim_int_Prim_vector/64/manual_time_mean",5,260483,65694.7,ns,,,,,
"binomial_lpmf_Prim_array_int_Prim_int_Prim_vector/64/manual_time_median",5,259937,66070.7,ns,,,,,
"binomial_lpmf_Prim_array_int_Prim_int_Prim_vector/64/manual_time_stddev",5,2140.62,1039.44,ns,,,,,
"binomial_lpmf_Prim_array_int_Prim_int_Prim_vector/256/manual_time_mean",5,269653,65334.4,ns,,,,,
"binomial_lpmf_Prim_array_int_Prim_int_Prim_vector/256/manual_time_median",5,273316,65251.7,ns,,,,,
"binomial_lpmf_Prim_array_int_Prim_int_Prim_vector/256/manual_time_stddev",5,9748.19,1260.42,ns,,,,,
"binomial_lpmf_Prim_array_int_Prim_int_Prim_vector/1024/manual_time_mean",5,262122,65766,ns,,,,,
"binomial_lpmf_Prim_array_int_Prim_int_Prim_vector/1024/manual_time_median",5,258303,65070.8,ns,,,,,
"binomial_lpmf_Prim_array_int_Prim_int_Prim_vector/1024/manual_time_stddev",5,8793.63,2686.73,ns,,,,,
"binomial_lpmf_Prim_array_int_Prim_int_Prim_vector/4096/manual_time_mean",5,260839,65673,ns,,,,,
"binomial_lpmf_Prim_array_int_Prim_int_Prim_vector/4096/manual_time_median",5,260794,65705.5,ns,,,,,
"binomial_lpmf_Prim_array_int_Prim_int_Prim_vector/4096/manual_time_stddev",5,4281.57,1878.12,ns,,,,,
"binomial_lpmf_Prim_array_int_Prim_int_Prim_vector/16384/manual_time_mean",5,263046,65111.5,ns,,,,,
"binomial_lpmf_Prim_array_int_Prim_int_Prim_vector/16384/manual_time_median",5,261264,64968.7,ns,,,,,
"binomial_lpmf_Prim_array_int_Prim_int_Prim_vector/16384/manual_time_stddev",5,3964.09,1666.41,ns,,,,,
"binomial_lpmf_Prim_array_int_Prim_int_Prim_vector/65536/manual_time_mean",5,301643,68067.4,ns,,,,,
"binomial_lpmf_Prim_array_int_Prim_int_Prim_vector/65536/manual_time_median",5,299336,66918.9,ns,,,,,
"binomial_lpmf_Prim_array_int_Prim_int_Prim_vector/65536/manual_time_stddev",5,6422.18,3761.94,ns,,,,,
"binomial_lpmf_Prim_array_int_Prim_int_Prim_vector/262144/manual_time_mean",5,443201,71357,ns,,,,,
"binomial_lpmf_Prim_array_int_Prim_int_Prim_vector/262144/manual_time_median",5,441950,70956.7,ns,,,,,
"binomial_lpmf_Prim_array_int_Prim_int_Prim_vector/262144/manual_time_stddev",5,6391.63,1844.03,ns,,,,,
"binomial_lpmf_Prim_array_int_Prim_int_Prim_vector/1048576/manual_time_mean",5,1.12077e+06,157003,ns,,,,,
"binomial_lpmf_Prim_array_int_Prim_int_Prim_vector/1048576/manual_time_median",5,1.11246e+06,160935,ns,,,,,
"binomial_lpmf_Prim_array_int_Prim_int_Prim_vector/1048576/manual_time_stddev",5,13958.6,7922.67,ns,,,,,
"binomial_lpmf_Prim_array_int_Prim_int_Prim_vector/4194304/manual_time_mean",5,2.77483e+06,338408,ns,,,,,
"binomial_lpmf_Prim_array_int_Prim_int_Prim_vector/4194304/manual_time_median",5,3.03881e+06,374123,ns,,,,,
"binomial_lpmf_Prim_array_int_Prim_int_Prim_vector/4194304/manual_time_stddev",5,630031,88670,ns,,,,,
"binomial_lpmf_Prim_array_int_Prim_int_Prim_vector/16777216/manual_time_mean",5,7.41284e+06,578519,ns,,,,,
"binomial_lpmf_Prim_array_int_Prim_int_Prim_vector/16777216/manual_time_median",5,7.45162e+06,598119,ns,,,,,
