name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"binomial_lpmf_Prim_int_Prim_array_int_Prim_real/1/manual_time_mean",5,1.05381e+08,1.05071e+08,ns,,,,,
"binomial_lpmf_Prim_int_Prim_array_int_Prim_real/1/manual_time_median",5,248851,74279,ns,,,,,
"binomial_lpmf_Prim_int_Prim_array_int_Prim_real/1/manual_time_stddev",5,2.35051e+08,2.3478e+08,ns,,,,,
"binomial_lpmf_Prim_int_Prim_array_int_Prim_real/4/manual_time_mean",5,203654,56862,ns,,,,,
"binomial_lpmf_Prim_int_Prim_array_int_Prim_real/4/manual_time_median",5,201525,55329.6,ns,,,,,
"binomial_lpmf_Prim_int_Prim_array_int_Prim_real/4/manual_time_stddev",5,9434.67,5174.35,ns,,,,,
"binomial_lpmf_Prim_int_Prim_array_int_Prim_real/16/manual_time_mean",5,194864,52657.9,ns,,,,,
"binomial_lpmf_Prim_int_Prim_array_int_Prim_real/16/manual_time_median",5,194988,52614.9,ns,,,,,
"binomial_lpmf_Prim_int_Prim_array_int_Prim_real/16/manual_time_stddev",5,1323.14,639.08,ns,,,,,
"binomial_lpmf_Prim_int_Prim_array_int_Prim_real/64/manual_time_mean",5,195799,53025.2,ns,,,,,
"binomial_lpmf_Prim_int_Prim_array_int_Prim_real/64/manual_time_median",5,195233,52958.4,ns,,,,,
"binomial_lpmf_Prim_int_Prim_array_int_Prim_real/64/manual_time_stddev",5,2345.91,1086.52,ns,,,,,
"binomial_lpmf_Prim_int_Prim_array_int_Prim_real/256/manual_time_mean",5,200636,53232.2,ns,,,,,
"binomial_lpmf_Prim_int_Prim_array_int_Prim_real/256/manual_time_median",5,201173,53149.7,ns,,,,,
"binomial_lpmf_Prim_int_Prim_array_int_Prim_real/256/manual_time_stddev",5,3145.75,398.324,ns,,,,,
"binomial_lpmf_Prim_int_Prim_array_int_Prim_real/1024/manual_time_mean",5,195795,52414.6,ns,,,,,
"binomial_lpmf_Prim_int_Prim_array_int_Prim_real/1024/manual_time_median",5,194284,51909.4,ns,,,,,
"binomial_lpmf_Prim_int_Prim_array_int_Prim_real/1024/manual_time_stddev",5,3928.48,890.031,ns,,,,,
"binomial_lpmf_Prim_int_Prim_array_int_Prim_real/4096/manual_time_mean",5,193877,51832.5,ns,,,,,
"binomial_lpmf_Prim_int_Prim_array_int_Prim_real/4096/manual_time_median",5,193889,51980.9,ns,,,,,
"binomial_lpmf_Prim_int_Prim_array_int_Prim_real/4096/manual_time_stddev",5,898.268,560.713,ns,,,,,
"binomial_lpmf_Prim_int_Prim_array_int_Prim_real/16384/manual_time_mean",5,197608,53309.4,ns,,,,,
"binomial_lpmf_Prim_int_Prim_array_int_Prim_real/16384/manual_time_median",5,198062,53003.4,ns,,,,,
"binomial_lpmf_Prim_int_Prim_array_int_Prim_real/16384/manual_time_stddev",5,2408.66,945.709,ns,,,,,
"binomial_lpmf_Prim_int_Prim_array_int_Prim_real/65536/manual_time_mean",5,210099,55339.1,ns,,,,,
"binomial_lpmf_Prim_int_Prim_array_int_Prim_real/65536/manual_time_median",5,209269,55194.7,ns,,,,,
"binomial_lpmf_Prim_int_Prim_array_int_Prim_real/65536/manual_time_stddev",5,7002.62,509.932,ns,,,,,
"binomial_lpmf_Prim_int_Prim_array_int_Prim_real/262144/manual_time_mean",5,247286,61413.5,ns,,,,,
"binomial_lpmf_Prim_int_Prim_array_int_Prim_real/262144/manual_time_median",5,243630,61049.3,ns,,,,,
