name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"cauchy_lpdf_Prim_real_Prim_vector_Prim_vector/1/manual_time_mean",5,196840,45979.1,ns,,,,,
"cauchy_lpdf_Prim_real_Prim_vector_Prim_vector/1/manual_time_median",5,195006,45243.7,ns,,,,,
"cauchy_lpdf_Prim_real_Prim_vector_Prim_vector/1/manual_time_stddev",5,9137.1,4102.46,ns,,,,,
"cauchy_lpdf_Prim_real_Prim_vector_Prim_vector/4/manual_time_mean",5,185016,41480.7,ns,,,,,
"cauchy_lpdf_Prim_real_Prim_vector_Prim_vector/4/manual_time_median",5,185175,41681.6,ns,,,,,
"cauchy_lpdf_Prim_real_Prim_vector_Prim_vector/4/manual_time_stddev",5,1509.75,692.135,ns,,,,,
"cauchy_lpdf_Prim_real_Prim_vector_Prim_vector/16/manual_time_mean",5,191611,41906,ns,,,,,
"cauchy_lpdf_Prim_real_Prim_vector_Prim_vector/16/manual_time_median",5,191846,41754.1,ns,,,,,
"cauchy_lpdf_Prim_real_Prim_vector_Prim_vector/16/manual_time_stddev",5,3509.86,649.615,ns,,,,,
"cauchy_lpdf_Prim_real_Prim_vector_Prim_vector/64/manual_time_mean",5,186844,43635.6,ns,,,,,
"cauchy_lpdf_Prim_real_Prim_vector_Prim_vector/64/manual_time_median",5,187544,44152.2,ns,,,,,
"cauchy_lpdf_Prim_real_Prim_vector_Prim_vector/64/manual_time_stddev",5,2014.98,1814.51,ns,,,,,
"cauchy_lpdf_Prim_real_Prim_vector_Prim_vector/256/manual_time_mean",5,192262,45595,ns,,,,,
"cauchy_lpdf_Prim_real_Prim_vector_Prim_vector/256/manual_time_median",5,190684,45647.5,ns,,,,,
"cauchy_lpdf_Prim_real_Prim_vector_Prim_vector/256/manual_time_stddev",5,3870.18,1198.56,ns,,,,,
"cauchy_lpdf_Prim_real_Prim_vector_Prim_vector/1024/manual_time_mean",5,189946,46512.2,ns,,,,,
"cauchy_lpdf_Prim_real_Prim_vector_Prim_vector/1024/manual_time_median",5,190167,44892.4,ns,,,,,
"cauchy_lpdf_Prim_real_Prim_vector_Prim_vector/1024/manual_time_stddev",5,2903.38,2745.45,ns,,,,,
"cauchy_lpdf_Prim_real_Prim_vector_Prim_vector/4096/manual_time_mean",5,202708,49278.3,ns,,,,,
"cauchy_lpdf_Prim_real_Prim_vector_Prim_vector/4096/manual_time_median",5,200954,47331,ns,,,,,
"cauchy_lpdf_Prim_real_Prim_vector_Prim_vector/4096/manual_time_stddev",5,6043.02,4030.61,ns,,,,,
"cauchy_lpdf_Prim_real_Prim_vector_Prim_vector/16384/manual_time_mean",5,221804,53091.9,ns,,,,,
"cauchy_lpdf_Prim_real_Prim_vector_Prim_vector/16384/manual_time_median",5,222664,53083.1,ns,,,,,
"cauchy_lpdf_Prim_real_Prim_vector_Prim_vector/16384/manual_time_stddev",5,5290.5,1002.65,ns,,,,,
"cauchy_lpdf_Prim_real_Prim_vector_Prim_vector/65536/manual_time_mean",5,335383,71263.6,ns,,,,,
"cauchy_lpdf_Prim_real_Prim_vector_Prim_vector/65536/manual_time_median",5,343166,70753.1,ns,,,,,
"cauchy_lpdf_Prim_real_Prim_vector_Prim_vector/65536/manual_time_stddev",5,15711.3,2862,ns,,,,,
"cauchy_lpdf_Prim_real_Prim_vector_Prim_vector/262144/manual_time_mean",5,643269,117180,ns,,,,,
"cauchy_lpdf_Prim_real_Prim_vector_Prim_vector/262144/manual_time_median",5,634175,116860,ns,,,,,
"cauchy_lpdf_Prim_real_Prim_vector_Prim_vector/262144/manual_time_stddev",5,24294.9,3545.48,ns,,,,,
"cauchy_lpdf_Prim_real_Prim_vector_Prim_vector/1048576/manual_time_mean",5,2.59652e+06,815703,ns,,,,,
"cauchy_lpdf_Prim_real_Prim_vector_Prim_vector/1048576/manual_time_median",5,2.60383e+06,829047,ns,,,,,
"cauchy_lpdf_Prim_real_Prim_vector_Prim_vector/1048576/manual_time_stddev",5,24544.7,23893.5,ns,,,,,
"cauchy_lpdf_Prim_real_Prim_vector_Prim_vector/4194304/manual_time_mean",5,1.60857e+07,3.29251e+06,ns,,,,,
"cauchy_lpdf_Prim_real_Prim_vector_Prim_vector/4194304/manual_time_median",5,1.60641e+07,3.26836e+06,ns,,,,,
"cauchy_lpdf_Prim_real_Prim_vector_Prim_vector/4194304/manual_time_stddev",5,212466,62008.3,ns,,,,,
"cauchy_lpdf_Prim_real_Prim_vector_Prim_vector/16777216/manual_time_mean",5,4.66512e+07,1.17819e+07,ns,,,,,
"cauchy_lpdf_Prim_real_Prim_vector_Prim_vector/16777216/manual_time_median",5,4.69575e+07,1.17671e+07,ns,,,,,
