name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"cauchy_lpdf_Prim_vector_Prim_real_Prim_real/1/manual_time_mean",5,165135,35285.4,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_real_Prim_real/1/manual_time_median",5,164720,33175,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_real_Prim_real/1/manual_time_stddev",5,5030.38,4044.07,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_real_Prim_real/4/manual_time_mean",5,162106,33179.9,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_real_Prim_real/4/manual_time_median",5,162375,32736.5,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_real_Prim_real/4/manual_time_stddev",5,2555.54,1003.16,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_real_Prim_real/16/manual_time_mean",5,162945,33064.9,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_real_Prim_real/16/manual_time_median",5,163443,33184.9,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_real_Prim_real/16/manual_time_stddev",5,1171.47,564.052,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_real_Prim_real/64/manual_time_mean",5,160986,33024,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_real_Prim_real/64/manual_time_median",5,160105,33163,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_real_Prim_real/64/manual_time_stddev",5,1792.44,477.515,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_real_Prim_real/256/manual_time_mean",5,164861,34182.4,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_real_Prim_real/256/manual_time_median",5,165295,34451.3,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_real_Prim_real/256/manual_time_stddev",5,2061.91,918.451,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_real_Prim_real/1024/manual_time_mean",5,162912,36192.6,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_real_Prim_real/1024/manual_time_median",5,162925,35865,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_real_Prim_real/1024/manual_time_stddev",5,1571.41,1460.22,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_real_Prim_real/4096/manual_time_mean",5,168788,38243,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_real_Prim_real/4096/manual_time_median",5,167798,38137.4,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_real_Prim_real/4096/manual_time_stddev",5,2524.47,671.024,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_real_Prim_real/16384/manual_time_mean",5,193017,43385.5,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_real_Prim_real/16384/manual_time_median",5,192204,43133.7,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_real_Prim_real/16384/manual_time_stddev",5,2690.12,639.864,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_real_Prim_real/65536/manual_time_mean",5,288218,60104.1,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_real_Prim_real/65536/manual_time_median",5,285788,59340.6,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_real_Prim_real/65536/manual_time_stddev",5,4516.89,1274.39,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_real_Prim_real/262144/manual_time_mean",5,592083,117508,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_real_Prim_real/262144/manual_time_median",5,588709,119963,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_real_Prim_real/262144/manual_time_stddev",5,10775.9,8243.13,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_real_Prim_real/1048576/manual_time_mean",5,2.57578e+06,842636,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_real_Prim_real/1048576/manual_time_median",5,2.57944e+06,837676,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_real_Prim_real/1048576/manual_time_stddev",5,32478.1,22111,ns,,,,,
