name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"cauchy_lpdf_Prim_vector_Prim_real_Prim_vector/1/manual_time_mean",5,198871,45351.8,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_real_Prim_vector/1/manual_time_median",5,198373,43794.3,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_real_Prim_vector/1/manual_time_stddev",5,6059.76,4275.63,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_real_Prim_vector/4/manual_time_mean",5,189925,43372,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_real_Prim_vector/4/manual_time_median",5,190907,43122.4,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_real_Prim_vector/4/manual_time_stddev",5,4087.94,429.543,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_real_Prim_vector/16/manual_time_mean",5,188177,42523.4,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_real_Prim_vector/16/manual_time_median",5,188142,42612.1,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_real_Prim_vector/16/manual_time_stddev",5,2724.13,705.056,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_real_Prim_vector/64/manual_time_mean",5,185727,42408.2,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_real_Prim_vector/64/manual_time_median",5,185070,42527.7,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_real_Prim_vector/64/manual_time_stddev",5,1246.48,1181.08,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_real_Prim_vector/256/manual_time_mean",5,192998,44582.5,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_real_Prim_vector/256/manual_time_median",5,196247,44347.6,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_real_Prim_vector/256/manual_time_stddev",5,6015.79,546.534,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_real_Prim_vector/1024/manual_time_mean",5,196310,45836.7,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_real_Prim_vector/1024/manual_time_median",5,197187,45964.9,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_real_Prim_vector/1024/manual_time_stddev",5,3656.92,602.143,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_real_Prim_vector/4096/manual_time_mean",5,202405,48803.1,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_real_Prim_vector/4096/manual_time_median",5,202300,49071.7,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_real_Prim_vector/4096/manual_time_stddev",5,3119.27,917.049,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_real_Prim_vector/16384/manual_time_mean",5,228028,54922.1,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_real_Prim_vector/16384/manual_time_median",5,226888,53182,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_real_Prim_vector/16384/manual_time_stddev",5,2982.4,3272.83,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_real_Prim_vector/65536/manual_time_mean",5,327793,70287.8,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_real_Prim_vector/65536/manual_time_median",5,328720,69094.7,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_real_Prim_vector/65536/manual_time_stddev",5,9336.68,4092.56,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_real_Prim_vector/262144/manual_time_mean",5,632103,114256,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_real_Prim_vector/262144/manual_time_median",5,627368,114021,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_real_Prim_vector/262144/manual_time_stddev",5,12858,3084.96,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_real_Prim_vector/1048576/manual_time_mean",5,2.57645e+06,822221,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_real_Prim_vector/1048576/manual_time_median",5,2.58245e+06,815410,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_real_Prim_vector/1048576/manual_time_stddev",5,15853.5,23815.6,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_real_Prim_vector/4194304/manual_time_mean",5,1.63334e+07,3.29373e+06,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_real_Prim_vector/4194304/manual_time_median",5,1.63626e+07,3.29151e+06,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_real_Prim_vector/4194304/manual_time_stddev",5,148367,19014.2,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_real_Prim_vector/16777216/manual_time_mean",5,4.60545e+07,1.18193e+07,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_real_Prim_vector/16777216/manual_time_median",5,4.576e+07,1.1855e+07,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_real_Prim_vector/16777216/manual_time_stddev",5,628411,171287,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_real_Rev_vector/1/manual_time_mean",5,487561,134696,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_real_Rev_vector/1/manual_time_median",5,486346,135488,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_real_Rev_vector/1/manual_time_stddev",5,5489.6,2951.75,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_real_Rev_vector/4/manual_time_mean",5,492441,132153,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_real_Rev_vector/4/manual_time_median",5,493343,131685,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_real_Rev_vector/4/manual_time_stddev",5,2630.87,1514.35,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_real_Rev_vector/16/manual_time_mean",5,488387,133450,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_real_Rev_vector/16/manual_time_median",5,487380,134789,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_real_Rev_vector/16/manual_time_stddev",5,4976.94,3853.18,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_real_Rev_vector/64/manual_time_mean",5,486129,133229,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_real_Rev_vector/64/manual_time_median",5,487007,131775,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_real_Rev_vector/64/manual_time_stddev",5,4943.69,3526.09,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_real_Rev_vector/256/manual_time_mean",5,493139,134338,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_real_Rev_vector/256/manual_time_median",5,491601,135384,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_real_Rev_vector/256/manual_time_stddev",5,4890.23,3907.18,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_real_Rev_vector/1024/manual_time_mean",5,500972,140146,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_real_Rev_vector/1024/manual_time_median",5,501434,139896,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_real_Rev_vector/1024/manual_time_stddev",5,8727.89,4534.37,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_real_Rev_vector/4096/manual_time_mean",5,533534,154333,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_real_Rev_vector/4096/manual_time_median",5,540771,154673,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_real_Rev_vector/4096/manual_time_stddev",5,12752.1,2976.11,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_real_Rev_vector/16384/manual_time_mean",5,646285,207923,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_real_Rev_vector/16384/manual_time_median",5,643605,207760,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_real_Rev_vector/16384/manual_time_stddev",5,8822.37,1392.25,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_real_Rev_vector/65536/manual_time_mean",5,1.14006e+06,480765,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_real_Rev_vector/65536/manual_time_median",5,1.1354e+06,486505,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_real_Rev_vector/65536/manual_time_stddev",5,28878.9,25660,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_real_Rev_vector/262144/manual_time_mean",5,4.11384e+06,2.15787e+06,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_real_Rev_vector/262144/manual_time_median",5,4.12274e+06,2.16197e+06,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_real_Rev_vector/262144/manual_time_stddev",5,113502,53505,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_real_Rev_vector/1048576/manual_time_mean",5,1.62826e+07,1.23768e+07,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_real_Rev_vector/1048576/manual_time_median",5,1.6372e+07,1.24272e+07,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_real_Rev_vector/1048576/manual_time_stddev",5,205050,118411,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_real_Rev_vector/4194304/manual_time_mean",5,6.49503e+07,4.40494e+07,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_real_Rev_vector/4194304/manual_time_median",5,6.4909e+07,4.41708e+07,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_real_Rev_vector/4194304/manual_time_stddev",5,524467,745632,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_real_Rev_vector/16777216/manual_time_mean",5,2.19515e+08,1.6367e+08,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_real_Rev_vector/16777216/manual_time_median",5,2.1827e+08,1.62166e+08,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_real_Rev_vector/16777216/manual_time_stddev",5,3.0692e+06,3.48676e+06,ns,,,,,
"cauchy_lpdf_Prim_vector_Rev_real_Prim_vector/1/manual_time_mean",5,265877,60590.8,ns,,,,,
"cauchy_lpdf_Prim_vector_Rev_real_Prim_vector/1/manual_time_median",5,265235,60664.8,ns,,,,,
"cauchy_lpdf_Prim_vector_Rev_real_Prim_vector/1/manual_time_stddev",5,9485.09,1796.87,ns,,,,,
"cauchy_lpdf_Prim_vector_Rev_real_Prim_vector/4/manual_time_mean",5,263398,59872,ns,,,,,
"cauchy_lpdf_Prim_vector_Rev_real_Prim_vector/4/manual_time_median",5,263417,59718.2,ns,,,,,
"cauchy_lpdf_Prim_vector_Rev_real_Prim_vector/4/manual_time_stddev",5,3091.25,723.988,ns,,,,,
"cauchy_lpdf_Prim_vector_Rev_real_Prim_vector/16/manual_time_mean",5,270279,59510.9,ns,,,,,
"cauchy_lpdf_Prim_vector_Rev_real_Prim_vector/16/manual_time_median",5,273673,59279.3,ns,,,,,
"cauchy_lpdf_Prim_vector_Rev_real_Prim_vector/16/manual_time_stddev",5,6082.13,1140.99,ns,,,,,
"cauchy_lpdf_Prim_vector_Rev_real_Prim_vector/64/manual_time_mean",5,274128,58160.3,ns,,,,,
"cauchy_lpdf_Prim_vector_Rev_real_Prim_vector/64/manual_time_median",5,277616,57719.4,ns,,,,,
"cauchy_lpdf_Prim_vector_Rev_real_Prim_vector/64/manual_time_stddev",5,7623.49,1398.38,ns,,,,,
"cauchy_lpdf_Prim_vector_Rev_real_Prim_vector/256/manual_time_mean",5,274444,61260.2,ns,,,,,
"cauchy_lpdf_Prim_vector_Rev_real_Prim_vector/256/manual_time_median",5,275287,61536,ns,,,,,
"cauchy_lpdf_Prim_vector_Rev_real_Prim_vector/256/manual_time_stddev",5,6498.7,898.109,ns,,,,,
"cauchy_lpdf_Prim_vector_Rev_real_Prim_vector/1024/manual_time_mean",5,269505,61834.4,ns,,,,,
"cauchy_lpdf_Prim_vector_Rev_real_Prim_vector/1024/manual_time_median",5,270210,61816.2,ns,,,,,
