name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"cauchy_lpdf_Prim_vector_Prim_vector_Prim_real/1/manual_time_mean",5,194116,43733.5,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_vector_Prim_real/1/manual_time_median",5,195556,43878.3,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_vector_Prim_real/1/manual_time_stddev",5,6890.71,3387.57,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_vector_Prim_real/4/manual_time_mean",5,186911,41088.6,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_vector_Prim_real/4/manual_time_median",5,186346,40908.7,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_vector_Prim_real/4/manual_time_stddev",5,2907.49,513.578,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_vector_Prim_real/16/manual_time_mean",5,189245,41477.8,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_vector_Prim_real/16/manual_time_median",5,188116,41457.7,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_vector_Prim_real/16/manual_time_stddev",5,3184.16,153.48,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_vector_Prim_real/64/manual_time_mean",5,191874,46215.2,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_vector_Prim_real/64/manual_time_median",5,191225,44318.2,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_vector_Prim_real/64/manual_time_stddev",5,5525.7,6400.27,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_vector_Prim_real/256/manual_time_mean",5,190447,43945,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_vector_Prim_real/256/manual_time_median",5,190992,44063.4,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_vector_Prim_real/256/manual_time_stddev",5,2775.79,1274.11,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_vector_Prim_real/1024/manual_time_mean",5,191774,45757.9,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_vector_Prim_real/1024/manual_time_median",5,192897,45931.1,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_vector_Prim_real/1024/manual_time_stddev",5,2297.98,718.371,ns,,,,,
