name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"chi_square_lpdf_Prim_real_Prim_vector/1/manual_time_mean",5,166155,37683,ns,,,,,
"chi_square_lpdf_Prim_real_Prim_vector/1/manual_time_median",5,163791,36857.6,ns,,,,,
"chi_square_lpdf_Prim_real_Prim_vector/1/manual_time_stddev",5,5839.44,2903.36,ns,,,,,
"chi_square_lpdf_Prim_real_Prim_vector/4/manual_time_mean",5,161691,36252.2,ns,,,,,
"chi_square_lpdf_Prim_real_Prim_vector/4/manual_time_median",5,160411,35769.4,ns,,,,,
"chi_square_lpdf_Prim_real_Prim_vector/4/manual_time_stddev",5,2594.9,1337.08,ns,,,,,
"chi_square_lpdf_Prim_real_Prim_vector/16/manual_time_mean",5,164580,37114.8,ns,,,,,
"chi_square_lpdf_Prim_real_Prim_vector/16/manual_time_median",5,165273,37143.6,ns,,,,,
"chi_square_lpdf_Prim_real_Prim_vector/16/manual_time_stddev",5,2524.76,908.07,ns,,,,,
"chi_square_lpdf_Prim_real_Prim_vector/64/manual_time_mean",5,165812,35703.4,ns,,,,,
"chi_square_lpdf_Prim_real_Prim_vector/64/manual_time_median",5,167282,35622,ns,,,,,
"chi_square_lpdf_Prim_real_Prim_vector/64/manual_time_stddev",5,3011.82,747.805,ns,,,,,
"chi_square_lpdf_Prim_real_Prim_vector/256/manual_time_mean",5,163881,37185.5,ns,,,,,
"chi_square_lpdf_Prim_real_Prim_vector/256/manual_time_median",5,164615,36670.6,ns,,,,,
"chi_square_lpdf_Prim_real_Prim_vector/256/manual_time_stddev",5,2232.56,841.687,ns,,,,,
"chi_square_lpdf_Prim_real_Prim_vector/1024/manual_time_mean",5,161517,35970.6,ns,,,,,
"chi_square_lpdf_Prim_real_Prim_vector/1024/manual_time_median",5,160946,35279.9,ns,,,,,
"chi_square_lpdf_Prim_real_Prim_vector/1024/manual_time_stddev",5,2184.32,1690.01,ns,,,,,
"chi_square_lpdf_Prim_real_Prim_vector/4096/manual_time_mean",5,161504,36358.6,ns,,,,,
"chi_square_lpdf_Prim_real_Prim_vector/4096/manual_time_median",5,161431,36501.4,ns,,,,,
"chi_square_lpdf_Prim_real_Prim_vector/4096/manual_time_stddev",5,627.646,407.096,ns,,,,,
"chi_square_lpdf_Prim_real_Prim_vector/16384/manual_time_mean",5,164030,38030.1,ns,,,,,
"chi_square_lpdf_Prim_real_Prim_vector/16384/manual_time_median",5,163674,38338.9,ns,,,,,
"chi_square_lpdf_Prim_real_Prim_vector/16384/manual_time_stddev",5,1614.13,1183.3,ns,,,,,
"chi_square_lpdf_Prim_real_Prim_vector/65536/manual_time_mean",5,170138,38543.5,ns,,,,,
"chi_square_lpdf_Prim_real_Prim_vector/65536/manual_time_median",5,170611,38282.2,ns,,,,,
"chi_square_lpdf_Prim_real_Prim_vector/65536/manual_time_stddev",5,3389.47,3297.85,ns,,,,,
"chi_square_lpdf_Prim_real_Prim_vector/262144/manual_time_mean",5,213023,42659.7,ns,,,,,
"chi_square_lpdf_Prim_real_Prim_vector/262144/manual_time_median",5,213630,42877.3,ns,,,,,
"chi_square_lpdf_Prim_real_Prim_vector/262144/manual_time_stddev",5,2021.63,1117.13,ns,,,,,
"chi_square_lpdf_Prim_real_Prim_vector/1048576/manual_time_mean",5,372685,53256.6,ns,,,,,
"chi_square_lpdf_Prim_real_Prim_vector/1048576/manual_time_median",5,372433,53715.8,ns,,,,,
"chi_square_lpdf_Prim_real_Prim_vector/1048576/manual_time_stddev",5,2937.01,1382.14,ns,,,,,
"chi_square_lpdf_Prim_real_Prim_vector/4194304/manual_time_mean",5,1.05054e+06,125331,ns,,,,,
"chi_square_lpdf_Prim_real_Prim_vector/4194304/manual_time_median",5,1.05172e+06,124026,ns,,,,,
"chi_square_lpdf_Prim_real_Prim_vector/4194304/manual_time_stddev",5,4562.9,2901.6,ns,,,,,
"chi_square_lpdf_Prim_real_Prim_vector/16777216/manual_time_mean",5,3.75726e+06,374296,ns,,,,,
"chi_square_lpdf_Prim_real_Prim_vector/16777216/manual_time_median",5,3.7457e+06,376045,ns,,,,,
"chi_square_lpdf_Prim_real_Prim_vector/16777216/manual_time_stddev",5,143684,19716,ns,,,,,
"chi_square_lpdf_Prim_real_Rev_vector/1/manual_time_mean",5,460668,119937,ns,,,,,
"chi_square_lpdf_Prim_real_Rev_vector/1/manual_time_median",5,460517,119540,ns,,,,,
"chi_square_lpdf_Prim_real_Rev_vector/1/manual_time_stddev",5,3140.39,3450.5,ns,,,,,
"chi_square_lpdf_Prim_real_Rev_vector/4/manual_time_mean",5,458056,119415,ns,,,,,
"chi_square_lpdf_Prim_real_Rev_vector/4/manual_time_median",5,459504,120457,ns,,,,,
"chi_square_lpdf_Prim_real_Rev_vector/4/manual_time_stddev",5,4024.69,2253.66,ns,,,,,
"chi_square_lpdf_Prim_real_Rev_vector/16/manual_time_mean",5,463856,122529,ns,,,,,
"chi_square_lpdf_Prim_real_Rev_vector/16/manual_time_median",5,462970,121295,ns,,,,,
"chi_square_lpdf_Prim_real_Rev_vector/16/manual_time_stddev",5,6135.18,5533.84,ns,,,,,
"chi_square_lpdf_Prim_real_Rev_vector/64/manual_time_mean",5,452873,118446,ns,,,,,
"chi_square_lpdf_Prim_real_Rev_vector/64/manual_time_median",5,450788,118879,ns,,,,,
"chi_square_lpdf_Prim_real_Rev_vector/64/manual_time_stddev",5,7477.45,1161.81,ns,,,,,
"chi_square_lpdf_Prim_real_Rev_vector/256/manual_time_mean",5,464699,124283,ns,,,,,
"chi_square_lpdf_Prim_real_Rev_vector/256/manual_time_median",5,460249,121760,ns,,,,,
"chi_square_lpdf_Prim_real_Rev_vector/256/manual_time_stddev",5,8584.36,6428.04,ns,,,,,
"chi_square_lpdf_Prim_real_Rev_vector/1024/manual_time_mean",5,470710,127313,ns,,,,,
"chi_square_lpdf_Prim_real_Rev_vector/1024/manual_time_median",5,471971,126190,ns,,,,,
"chi_square_lpdf_Prim_real_Rev_vector/1024/manual_time_stddev",5,5121.28,3776.69,ns,,,,,
"chi_square_lpdf_Prim_real_Rev_vector/4096/manual_time_mean",5,490431,141508,ns,,,,,
"chi_square_lpdf_Prim_real_Rev_vector/4096/manual_time_median",5,483972,142896,ns,,,,,
"chi_square_lpdf_Prim_real_Rev_vector/4096/manual_time_stddev",5,12551.8,4697.27,ns,,,,,
"chi_square_lpdf_Prim_real_Rev_vector/16384/manual_time_mean",5,594524,194236,ns,,,,,
"chi_square_lpdf_Prim_real_Rev_vector/16384/manual_time_median",5,595588,192240,ns,,,,,
"chi_square_lpdf_Prim_real_Rev_vector/16384/manual_time_stddev",5,10976.1,7436.9,ns,,,,,
"chi_square_lpdf_Prim_real_Rev_vector/65536/manual_time_mean",5,1.0241e+06,455102,ns,,,,,
"chi_square_lpdf_Prim_real_Rev_vector/65536/manual_time_median",5,1.01936e+06,456573,ns,,,,,
"chi_square_lpdf_Prim_real_Rev_vector/65536/manual_time_stddev",5,23590.4,10701.9,ns,,,,,
"chi_square_lpdf_Prim_real_Rev_vector/262144/manual_time_mean",5,3.62494e+06,2.02124e+06,ns,,,,,
"chi_square_lpdf_Prim_real_Rev_vector/262144/manual_time_median",5,3.63217e+06,2.038e+06,ns,,,,,
"chi_square_lpdf_Prim_real_Rev_vector/262144/manual_time_stddev",5,71454.5,38522.4,ns,,,,,
"chi_square_lpdf_Prim_real_Rev_vector/1048576/manual_time_mean",5,1.35904e+07,1.09366e+07,ns,,,,,
"chi_square_lpdf_Prim_real_Rev_vector/1048576/manual_time_median",5,1.35744e+07,1.08957e+07,ns,,,,,
"chi_square_lpdf_Prim_real_Rev_vector/1048576/manual_time_stddev",5,177068,130850,ns,,,,,
"chi_square_lpdf_Prim_real_Rev_vector/4194304/manual_time_mean",5,5.17274e+07,4.12243e+07,ns,,,,,
"chi_square_lpdf_Prim_real_Rev_vector/4194304/manual_time_median",5,5.2004e+07,4.14375e+07,ns,,,,,
"chi_square_lpdf_Prim_real_Rev_vector/4194304/manual_time_stddev",5,870185,736857,ns,,,,,
"chi_square_lpdf_Prim_real_Rev_vector/16777216/manual_time_mean",5,1.7917e+08,1.5129e+08,ns,,,,,
"chi_square_lpdf_Prim_real_Rev_vector/16777216/manual_time_median",5,1.79583e+08,1.51565e+08,ns,,,,,
"chi_square_lpdf_Prim_real_Rev_vector/16777216/manual_time_stddev",5,1.82878e+06,600620,ns,,,,,
"chi_square_lpdf_Rev_real_Prim_vector/1/manual_time_mean",5,251942,52116.2,ns,,,,,
"chi_square_lpdf_Rev_real_Prim_vector/1/manual_time_median",5,253228,51515.9,ns,,,,,
"chi_square_lpdf_Rev_real_Prim_vector/1/manual_time_stddev",5,3014.81,1694.5,ns,,,,,
"chi_square_lpdf_Rev_real_Prim_vector/4/manual_time_mean",5,244236,51644.5,ns,,,,,
"chi_square_lpdf_Rev_real_Prim_vector/4/manual_time_median",5,244209,51850.1,ns,,,,,
"chi_square_lpdf_Rev_real_Prim_vector/4/manual_time_stddev",5,6040.47,1032.88,ns,,,,,
"chi_square_lpdf_Rev_real_Prim_vector/16/manual_time_mean",5,246194,54002.8,ns,,,,,
