name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"chi_square_lpdf_Prim_vector_Prim_real/1/manual_time_mean",5,162767,33477.4,ns,,,,,
"chi_square_lpdf_Prim_vector_Prim_real/1/manual_time_median",5,160940,32333.8,ns,,,,,
"chi_square_lpdf_Prim_vector_Prim_real/1/manual_time_stddev",5,5102.96,3151.49,ns,,,,,
"chi_square_lpdf_Prim_vector_Prim_real/4/manual_time_mean",5,159872,31889.9,ns,,,,,
"chi_square_lpdf_Prim_vector_Prim_real/4/manual_time_median",5,159817,31888,ns,,,,,
"chi_square_lpdf_Prim_vector_Prim_real/4/manual_time_stddev",5,456.97,337.127,ns,,,,,
"chi_square_lpdf_Prim_vector_Prim_real/16/manual_time_mean",5,161104,32688.9,ns,,,,,
"chi_square_lpdf_Prim_vector_Prim_real/16/manual_time_median",5,159948,32521.1,ns,,,,,
"chi_square_lpdf_Prim_vector_Prim_real/16/manual_time_stddev",5,2101.84,1325.14,ns,,,,,
"chi_square_lpdf_Prim_vector_Prim_real/64/manual_time_mean",5,160302,32326,ns,,,,,
"chi_square_lpdf_Prim_vector_Prim_real/64/manual_time_median",5,160024,32134.1,ns,,,,,
"chi_square_lpdf_Prim_vector_Prim_real/64/manual_time_stddev",5,1599.2,780.749,ns,,,,,
"chi_square_lpdf_Prim_vector_Prim_real/256/manual_time_mean",5,160779,32195.9,ns,,,,,
"chi_square_lpdf_Prim_vector_Prim_real/256/manual_time_median",5,159995,31796.5,ns,,,,,
"chi_square_lpdf_Prim_vector_Prim_real/256/manual_time_stddev",5,1440.24,876.82,ns,,,,,
"chi_square_lpdf_Prim_vector_Prim_real/1024/manual_time_mean",5,160882,31711.4,ns,,,,,
"chi_square_lpdf_Prim_vector_Prim_real/1024/manual_time_median",5,161522,31435.5,ns,,,,,
"chi_square_lpdf_Prim_vector_Prim_real/1024/manual_time_stddev",5,1884.03,1029.79,ns,,,,,
"chi_square_lpdf_Prim_vector_Prim_real/4096/manual_time_mean",5,160293,32422.2,ns,,,,,
"chi_square_lpdf_Prim_vector_Prim_real/4096/manual_time_median",5,160293,32437.8,ns,,,,,
"chi_square_lpdf_Prim_vector_Prim_real/4096/manual_time_stddev",5,519.944,599.898,ns,,,,,
"chi_square_lpdf_Prim_vector_Prim_real/16384/manual_time_mean",5,161037,32606.6,ns,,,,,
"chi_square_lpdf_Prim_vector_Prim_real/16384/manual_time_median",5,160127,32357.3,ns,,,,,
"chi_square_lpdf_Prim_vector_Prim_real/16384/manual_time_stddev",5,2419.04,649.497,ns,,,,,
"chi_square_lpdf_Prim_vector_Prim_real/65536/manual_time_mean",5,166876,34059.6,ns,,,,,
"chi_square_lpdf_Prim_vector_Prim_real/65536/manual_time_median",5,167532,34184.7,ns,,,,,
"chi_square_lpdf_Prim_vector_Prim_real/65536/manual_time_stddev",5,2692.32,583.523,ns,,,,,
"chi_square_lpdf_Prim_vector_Prim_real/262144/manual_time_mean",5,188655,38645.6,ns,,,,,
"chi_square_lpdf_Prim_vector_Prim_real/262144/manual_time_median",5,190070,38296.7,ns,,,,,
"chi_square_lpdf_Prim_vector_Prim_real/262144/manual_time_stddev",5,3385.38,534.043,ns,,,,,
"chi_square_lpdf_Prim_vector_Prim_real/1048576/manual_time_mean",5,295358,50911.6,ns,,,,,
"chi_square_lpdf_Prim_vector_Prim_real/1048576/manual_time_median",5,296928,50875.2,ns,,,,,
"chi_square_lpdf_Prim_vector_Prim_real/1048576/manual_time_stddev",5,3772.16,2911.82,ns,,,,,
"chi_square_lpdf_Prim_vector_Prim_real/4194304/manual_time_mean",5,706682,86299.3,ns,,,,,
"chi_square_lpdf_Prim_vector_Prim_real/4194304/manual_time_median",5,709598,83337.7,ns,,,,,
"chi_square_lpdf_Prim_vector_Prim_real/4194304/manual_time_stddev",5,11822.3,10218.5,ns,,,,,
"chi_square_lpdf_Prim_vector_Prim_real/16777216/manual_time_mean",5,2.50761e+06,289216,ns,,,,,
"chi_square_lpdf_Prim_vector_Prim_real/16777216/manual_time_median",5,2.51694e+06,290920,ns,,,,,
"chi_square_lpdf_Prim_vector_Prim_real/16777216/manual_time_stddev",5,61843.4,27388.3,ns,,,,,
"chi_square_lpdf_Prim_vector_Rev_real/1/manual_time_mean",5,239632,48341.4,ns,,,,,
"chi_square_lpdf_Prim_vector_Rev_real/1/manual_time_median",5,240448,48511.6,ns,,,,,
"chi_square_lpdf_Prim_vector_Rev_real/1/manual_time_stddev",5,6664.7,1778.15,ns,,,,,
"chi_square_lpdf_Prim_vector_Rev_real/4/manual_time_mean",5,237053,46791.9,ns,,,,,
"chi_square_lpdf_Prim_vector_Rev_real/4/manual_time_median",5,233097,46737,ns,,,,,
