name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"chi_square_lpdf_Prim_vector_Prim_vector/1/manual_time_mean",5,200094,44483.8,ns,,,,,
"chi_square_lpdf_Prim_vector_Prim_vector/1/manual_time_median",5,199581,43050,ns,,,,,
"chi_square_lpdf_Prim_vector_Prim_vector/1/manual_time_stddev",5,8702.93,4375.54,ns,,,,,
"chi_square_lpdf_Prim_vector_Prim_vector/4/manual_time_mean",5,196198,44436.9,ns,,,,,
"chi_square_lpdf_Prim_vector_Prim_vector/4/manual_time_median",5,194669,42802.9,ns,,,,,
"chi_square_lpdf_Prim_vector_Prim_vector/4/manual_time_stddev",5,5433.8,3338.03,ns,,,,,
"chi_square_lpdf_Prim_vector_Prim_vector/16/manual_time_mean",5,193322,42938.4,ns,,,,,
"chi_square_lpdf_Prim_vector_Prim_vector/16/manual_time_median",5,194221,42706.9,ns,,,,,
"chi_square_lpdf_Prim_vector_Prim_vector/16/manual_time_stddev",5,3019.68,1559.93,ns,,,,,
"chi_square_lpdf_Prim_vector_Prim_vector/64/manual_time_mean",5,195738,42799.9,ns,,,,,
"chi_square_lpdf_Prim_vector_Prim_vector/64/manual_time_median",5,195946,42706.8,ns,,,,,
"chi_square_lpdf_Prim_vector_Prim_vector/64/manual_time_stddev",5,3552.07,430.924,ns,,,,,
"chi_square_lpdf_Prim_vector_Prim_vector/256/manual_time_mean",5,195199,42108.3,ns,,,,,
"chi_square_lpdf_Prim_vector_Prim_vector/256/manual_time_median",5,194017,42162,ns,,,,,
"chi_square_lpdf_Prim_vector_Prim_vector/256/manual_time_stddev",5,3670.95,765.684,ns,,,,,
"chi_square_lpdf_Prim_vector_Prim_vector/1024/manual_time_mean",5,197199,42729,ns,,,,,
"chi_square_lpdf_Prim_vector_Prim_vector/1024/manual_time_median",5,199850,42809.3,ns,,,,,
"chi_square_lpdf_Prim_vector_Prim_vector/1024/manual_time_stddev",5,5982.42,888.531,ns,,,,,
"chi_square_lpdf_Prim_vector_Prim_vector/4096/manual_time_mean",5,193352,42114.4,ns,,,,,
