name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"double_exponential_lpdf_Prim_real_Prim_real_Prim_vector/1/manual_time_mean",5,175087,45949.6,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_real_Prim_vector/1/manual_time_median",5,175747,46266.1,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_real_Prim_vector/1/manual_time_stddev",5,6723.96,3463.55,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_real_Prim_vector/4/manual_time_mean",5,167691,42480.4,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_real_Prim_vector/4/manual_time_median",5,166875,42935.8,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_real_Prim_vector/4/manual_time_stddev",5,3559.93,1201.59,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_real_Prim_vector/16/manual_time_mean",5,164159,42597.2,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_real_Prim_vector/16/manual_time_median",5,164240,42557.8,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_real_Prim_vector/16/manual_time_stddev",5,623.011,180.52,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_real_Prim_vector/64/manual_time_mean",5,165675,42254.9,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_real_Prim_vector/64/manual_time_median",5,166040,42171,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_real_Prim_vector/64/manual_time_stddev",5,3079,983.858,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_real_Prim_vector/256/manual_time_mean",5,166047,43142.5,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_real_Prim_vector/256/manual_time_median",5,165979,43185.1,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_real_Prim_vector/256/manual_time_stddev",5,2757.97,753.618,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_real_Prim_vector/1024/manual_time_mean",5,164780,41536.9,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_real_Prim_vector/1024/manual_time_median",5,164027,41266.5,ns,,,,,
