name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"double_exponential_lpdf_Prim_real_Prim_vector_Prim_real/1/manual_time_mean",5,171962,47075.4,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_vector_Prim_real/1/manual_time_median",5,171322,45670.8,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_vector_Prim_real/1/manual_time_stddev",5,6451.01,3835.83,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_vector_Prim_real/4/manual_time_mean",5,166448,44736.5,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_vector_Prim_real/4/manual_time_median",5,166533,44712.4,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_vector_Prim_real/4/manual_time_stddev",5,563.699,1067.8,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_vector_Prim_real/16/manual_time_mean",5,165647,44805.4,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_vector_Prim_real/16/manual_time_median",5,165332,44598.3,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_vector_Prim_real/16/manual_time_stddev",5,2479.82,1189.52,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_vector_Prim_real/64/manual_time_mean",5,168933,45627.3,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_vector_Prim_real/64/manual_time_median",5,169520,45280.3,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_vector_Prim_real/64/manual_time_stddev",5,2613.07,1318.83,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_vector_Prim_real/256/manual_time_mean",5,165500,44486.6,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_vector_Prim_real/256/manual_time_median",5,164449,44865.3,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_vector_Prim_real/256/manual_time_stddev",5,1879,715.194,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_vector_Prim_real/1024/manual_time_mean",5,166688,45571.4,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_vector_Prim_real/1024/manual_time_median",5,166389,44726.8,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_vector_Prim_real/1024/manual_time_stddev",5,3444.16,3029.27,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_vector_Prim_real/4096/manual_time_mean",5,166221,45249.2,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_vector_Prim_real/4096/manual_time_median",5,166726,45432.4,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_vector_Prim_real/4096/manual_time_stddev",5,2329.8,1022.07,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_vector_Prim_real/16384/manual_time_mean",5,171668,45482.6,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_vector_Prim_real/16384/manual_time_median",5,171478,45326.4,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_vector_Prim_real/16384/manual_time_stddev",5,4047.82,1055.74,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_vector_Prim_real/65536/manual_time_mean",5,176964,47140.9,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_vector_Prim_real/65536/manual_time_median",5,176522,46872.9,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_vector_Prim_real/65536/manual_time_stddev",5,5467.49,1908.91,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_vector_Prim_real/262144/manual_time_mean",5,205459,51203.2,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_vector_Prim_real/262144/manual_time_median",5,202620,50555,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_vector_Prim_real/262144/manual_time_stddev",5,5366.51,1530.45,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_vector_Prim_real/1048576/manual_time_mean",5,293860,60484.1,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_vector_Prim_real/1048576/manual_time_median",5,293884,59615.5,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_vector_Prim_real/1048576/manual_time_stddev",5,3032.96,2307.87,ns,,,,,
