name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"double_exponential_lpdf_Prim_real_Prim_vector_Prim_vector/1/manual_time_mean",5,205484,58330.1,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_vector_Prim_vector/1/manual_time_median",5,200654,56537.6,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_vector_Prim_vector/1/manual_time_stddev",5,10384.9,4805.23,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_vector_Prim_vector/4/manual_time_mean",5,202937,55073,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_vector_Prim_vector/4/manual_time_median",5,203474,55844.1,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_vector_Prim_vector/4/manual_time_stddev",5,6585.55,1772.7,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_vector_Prim_vector/16/manual_time_mean",5,198828,54549.2,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_vector_Prim_vector/16/manual_time_median",5,199103,54274.4,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_vector_Prim_vector/16/manual_time_stddev",5,3145.03,1211.93,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_vector_Prim_vector/64/manual_time_mean",5,208478,55159.4,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_vector_Prim_vector/64/manual_time_median",5,208031,54968.1,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_vector_Prim_vector/64/manual_time_stddev",5,4931.06,1394.68,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_vector_Prim_vector/256/manual_time_mean",5,203818,54586.5,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_vector_Prim_vector/256/manual_time_median",5,205364,53955.6,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_vector_Prim_vector/256/manual_time_stddev",5,4011.77,1666.69,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_vector_Prim_vector/1024/manual_time_mean",5,201247,54643.9,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_vector_Prim_vector/1024/manual_time_median",5,202152,54336,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_vector_Prim_vector/1024/manual_time_stddev",5,2022.45,1807.38,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_vector_Prim_vector/4096/manual_time_mean",5,203873,54517.3,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_vector_Prim_vector/4096/manual_time_median",5,203521,53808.5,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_vector_Prim_vector/4096/manual_time_stddev",5,3975.75,1132.37,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_vector_Prim_vector/16384/manual_time_mean",5,198622,53589.4,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_vector_Prim_vector/16384/manual_time_median",5,199633,54164.6,ns,,,,,
