name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"double_exponential_lpdf_Prim_vector_Prim_real_Prim_real/1/manual_time_mean",5,172504,45270.7,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_real_Prim_real/1/manual_time_median",5,172604,42201.7,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_real_Prim_real/1/manual_time_stddev",5,11095.1,5964.93,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_real_Prim_real/4/manual_time_mean",5,164946,42263.4,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_real_Prim_real/4/manual_time_median",5,163747,42133.2,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_real_Prim_real/4/manual_time_stddev",5,2167.04,926.224,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_real_Prim_real/16/manual_time_mean",5,163044,42511.5,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_real_Prim_real/16/manual_time_median",5,162464,42449.4,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_real_Prim_real/16/manual_time_stddev",5,1130.56,1333.07,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_real_Prim_real/64/manual_time_mean",5,165163,44390.8,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_real_Prim_real/64/manual_time_median",5,164530,44119.9,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_real_Prim_real/64/manual_time_stddev",5,2054.03,1341.39,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_real_Prim_real/256/manual_time_mean",5,166350,43555.7,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_real_Prim_real/256/manual_time_median",5,164254,42936.2,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_real_Prim_real/256/manual_time_stddev",5,3493.54,1644.58,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_real_Prim_real/1024/manual_time_mean",5,165367,43183.9,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_real_Prim_real/1024/manual_time_median",5,163729,42355.6,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_real_Prim_real/1024/manual_time_stddev",5,4257.02,1897.45,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_real_Prim_real/4096/manual_time_mean",5,168061,42106.1,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_real_Prim_real/4096/manual_time_median",5,169152,42060.8,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_real_Prim_real/4096/manual_time_stddev",5,3104.69,851.558,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_real_Prim_real/16384/manual_time_mean",5,167439,44219.1,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_real_Prim_real/16384/manual_time_median",5,166830,44358.6,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_real_Prim_real/16384/manual_time_stddev",5,2023.99,856.978,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_real_Prim_real/65536/manual_time_mean",5,181484,44422.9,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_real_Prim_real/65536/manual_time_median",5,180899,43867.2,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_real_Prim_real/65536/manual_time_stddev",5,2644.87,1466.07,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_real_Prim_real/262144/manual_time_mean",5,203490,48836.9,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_real_Prim_real/262144/manual_time_median",5,202924,48276.8,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_real_Prim_real/262144/manual_time_stddev",5,1903.43,1308.24,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_real_Prim_real/1048576/manual_time_mean",5,292633,58431.8,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_real_Prim_real/1048576/manual_time_median",5,292490,58075.8,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_real_Prim_real/1048576/manual_time_stddev",5,6864.93,3649.38,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_real_Prim_real/4194304/manual_time_mean",5,638919,79108.8,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_real_Prim_real/4194304/manual_time_median",5,634543,77245.2,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_real_Prim_real/4194304/manual_time_stddev",5,6334.49,5002.71,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_real_Prim_real/16777216/manual_time_mean",5,2.24041e+06,288402,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_real_Prim_real/16777216/manual_time_median",5,2.24164e+06,304169,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_real_Prim_real/16777216/manual_time_stddev",5,48964.5,39708.2,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_real_Rev_real/1/manual_time_mean",5,243154,55750.9,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_real_Rev_real/1/manual_time_median",5,241902,55659.1,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_real_Rev_real/1/manual_time_stddev",5,3715.01,1879.38,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_real_Rev_real/4/manual_time_mean",5,240339,56814.8,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_real_Rev_real/4/manual_time_median",5,239723,56755.6,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_real_Rev_real/4/manual_time_stddev",5,2149.72,1335.6,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_real_Rev_real/16/manual_time_mean",5,244027,56040.5,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_real_Rev_real/16/manual_time_median",5,244204,55729,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_real_Rev_real/16/manual_time_stddev",5,5998.42,1425.88,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_real_Rev_real/64/manual_time_mean",5,239737,56044.8,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_real_Rev_real/64/manual_time_median",5,236256,55387.8,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_real_Rev_real/64/manual_time_stddev",5,8230.73,1112.33,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_real_Rev_real/256/manual_time_mean",5,239573,54289.2,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_real_Rev_real/256/manual_time_median",5,235503,55217,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_real_Rev_real/256/manual_time_stddev",5,11169.5,1692.5,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_real_Rev_real/1024/manual_time_mean",5,237752,55726,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_real_Rev_real/1024/manual_time_median",5,238693,55162.8,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_real_Rev_real/1024/manual_time_stddev",5,3141.46,1865.51,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_real_Rev_real/4096/manual_time_mean",5,247651,56841,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_real_Rev_real/4096/manual_time_median",5,248486,55705.5,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_real_Rev_real/4096/manual_time_stddev",5,3741.05,1844.49,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_real_Rev_real/16384/manual_time_mean",5,257699,57851.7,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_real_Rev_real/16384/manual_time_median",5,258198,57001.2,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_real_Rev_real/16384/manual_time_stddev",5,5616.71,2438.03,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_real_Rev_real/65536/manual_time_mean",5,266522,60016.4,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_real_Rev_real/65536/manual_time_median",5,267317,59852.3,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_real_Rev_real/65536/manual_time_stddev",5,3916.37,377.917,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_real_Rev_real/262144/manual_time_mean",5,338884,66564.2,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_real_Rev_real/262144/manual_time_median",5,338167,65435.5,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_real_Rev_real/262144/manual_time_stddev",5,5612.75,3126.55,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_real_Rev_real/1048576/manual_time_mean",5,506422,80022.7,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_real_Rev_real/1048576/manual_time_median",5,504750,80368.7,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_real_Rev_real/1048576/manual_time_stddev",5,4498.25,1205.99,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_real_Rev_real/4194304/manual_time_mean",5,1.2083e+06,124405,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_real_Rev_real/4194304/manual_time_median",5,1.20839e+06,126972,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_real_Rev_real/4194304/manual_time_stddev",5,9853.82,8272.23,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_real_Rev_real/16777216/manual_time_mean",5,4.35946e+06,468724,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_real_Rev_real/16777216/manual_time_median",5,4.37411e+06,472517,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_real_Rev_real/16777216/manual_time_stddev",5,34499.5,30609.7,ns,,,,,
