name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"double_exponential_lpdf_Prim_vector_Prim_vector_Prim_real/1/manual_time_mean",5,203693,54682.1,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_vector_Prim_real/1/manual_time_median",5,201819,53567.7,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_vector_Prim_real/1/manual_time_stddev",5,6022.5,2794.12,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_vector_Prim_real/4/manual_time_mean",5,194817,51684.9,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_vector_Prim_real/4/manual_time_median",5,194408,51352.5,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_vector_Prim_real/4/manual_time_stddev",5,3106.41,965.531,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_vector_Prim_real/16/manual_time_mean",5,195753,52031.3,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_vector_Prim_real/16/manual_time_median",5,196961,52216.7,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_vector_Prim_real/16/manual_time_stddev",5,3676.81,859.006,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_vector_Prim_real/64/manual_time_mean",5,194005,51221.1,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_vector_Prim_real/64/manual_time_median",5,193432,51274.3,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_vector_Prim_real/64/manual_time_stddev",5,1619.79,431.804,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_vector_Prim_real/256/manual_time_mean",5,199734,51592.3,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_vector_Prim_real/256/manual_time_median",5,198855,51498.8,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_vector_Prim_real/256/manual_time_stddev",5,5131.54,268.266,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_vector_Prim_real/1024/manual_time_mean",5,199169,52135.6,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_vector_Prim_real/1024/manual_time_median",5,199813,52169.3,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_vector_Prim_real/1024/manual_time_stddev",5,3097.6,928.212,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_vector_Prim_real/4096/manual_time_mean",5,195502,52324.5,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_vector_Prim_real/4096/manual_time_median",5,197000,52606.2,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_vector_Prim_real/4096/manual_time_stddev",5,4106.3,1574.15,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_vector_Prim_real/16384/manual_time_mean",5,200717,52305,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_vector_Prim_real/16384/manual_time_median",5,201775,52063.2,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_vector_Prim_real/16384/manual_time_stddev",5,2597.38,655.736,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_vector_Prim_real/65536/manual_time_mean",5,209284,54440.5,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_vector_Prim_real/65536/manual_time_median",5,207374,53378.5,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_vector_Prim_real/65536/manual_time_stddev",5,4434.95,2705.84,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_vector_Prim_real/262144/manual_time_mean",5,229851,57600.2,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_vector_Prim_real/262144/manual_time_median",5,230031,57939.3,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_vector_Prim_real/262144/manual_time_stddev",5,1855,905.413,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_vector_Prim_real/1048576/manual_time_mean",5,321697,66438.8,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_vector_Prim_real/1048576/manual_time_median",5,321661,65993.8,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_vector_Prim_real/1048576/manual_time_stddev",5,2943.84,1264.01,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_vector_Prim_real/4194304/manual_time_mean",5,682983,84670.2,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_vector_Prim_real/4194304/manual_time_median",5,688648,85035.3,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_vector_Prim_real/4194304/manual_time_stddev",5,14651.3,906.97,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_vector_Prim_real/16777216/manual_time_mean",5,2.27936e+06,310683,ns,,,,,
