name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"exp_mod_normal_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/1/manual_time_mean",5,185608,52461.8,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/1/manual_time_median",5,184525,52549.1,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/1/manual_time_stddev",5,8634.37,3997.55,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/4/manual_time_mean",5,182925,50037.4,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/4/manual_time_median",5,183948,49626.6,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/4/manual_time_stddev",5,2575.55,999.765,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/16/manual_time_mean",5,178021,49704.9,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/16/manual_time_median",5,176940,49483.4,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/16/manual_time_stddev",5,2494.94,1154.2,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/64/manual_time_mean",5,184897,55156,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/64/manual_time_median",5,186107,56356.6,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/64/manual_time_stddev",5,7124.47,5666.92,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/256/manual_time_mean",5,178748,49895.2,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/256/manual_time_median",5,178301,49734.6,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/256/manual_time_stddev",5,2028.99,834.731,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/1024/manual_time_mean",5,178984,49875,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/1024/manual_time_median",5,178407,49736.8,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/1024/manual_time_stddev",5,3474.05,837.849,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/4096/manual_time_mean",5,176518,49789.3,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/4096/manual_time_median",5,174946,49509.7,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/4096/manual_time_stddev",5,4786.69,805.382,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/16384/manual_time_mean",5,181617,50583.5,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/16384/manual_time_median",5,181834,50564.8,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/16384/manual_time_stddev",5,4863.36,621.512,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/65536/manual_time_mean",5,191289,51921.8,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/65536/manual_time_median",5,192230,51784.1,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/65536/manual_time_stddev",5,2537.8,440.794,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/262144/manual_time_mean",5,242886,57486.9,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/262144/manual_time_median",5,244533,56853.7,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/262144/manual_time_stddev",5,4374.61,2157.68,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/1048576/manual_time_mean",5,425519,66095.7,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/1048576/manual_time_median",5,426237,65580.2,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/1048576/manual_time_stddev",5,3020.16,1925.18,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/4194304/manual_time_mean",5,1.26972e+06,157345,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/4194304/manual_time_median",5,1.2717e+06,153785,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/4194304/manual_time_stddev",5,14996.2,12250.5,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/16777216/manual_time_mean",5,4.35579e+06,422482,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/16777216/manual_time_median",5,4.47345e+06,420844,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/16777216/manual_time_stddev",5,265464,31238.9,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Prim_real_Rev_vector/1/manual_time_mean",5,491580,139075,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Prim_real_Rev_vector/1/manual_time_median",5,491681,139746,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Prim_real_Rev_vector/1/manual_time_stddev",5,6814.09,1235.19,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Prim_real_Rev_vector/4/manual_time_mean",5,485035,144433,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Prim_real_Rev_vector/4/manual_time_median",5,479579,143925,ns,,,,,
