name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"exp_mod_normal_lpdf_Prim_real_Prim_real_Prim_vector_Prim_vector/1/manual_time_mean",5,233780,69373.5,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Prim_vector_Prim_vector/1/manual_time_median",5,232758,67918.9,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Prim_vector_Prim_vector/1/manual_time_stddev",5,7955.42,5838.3,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Prim_vector_Prim_vector/4/manual_time_mean",5,224645,65018.3,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Prim_vector_Prim_vector/4/manual_time_median",5,223326,64764.1,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Prim_vector_Prim_vector/4/manual_time_stddev",5,2979.32,503.005,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Prim_vector_Prim_vector/16/manual_time_mean",5,221551,64228.3,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Prim_vector_Prim_vector/16/manual_time_median",5,221280,63878,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Prim_vector_Prim_vector/16/manual_time_stddev",5,1437.75,974.769,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Prim_vector_Prim_vector/64/manual_time_mean",5,222477,64720.9,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Prim_vector_Prim_vector/64/manual_time_median",5,221589,64570.5,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Prim_vector_Prim_vector/64/manual_time_stddev",5,3315.31,1286.47,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Prim_vector_Prim_vector/256/manual_time_mean",5,227692,64902.6,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Prim_vector_Prim_vector/256/manual_time_median",5,228204,65026.5,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Prim_vector_Prim_vector/256/manual_time_stddev",5,3674.58,374.294,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Prim_vector_Prim_vector/1024/manual_time_mean",5,226917,66174.1,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Prim_vector_Prim_vector/1024/manual_time_median",5,226828,65689.9,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Prim_vector_Prim_vector/1024/manual_time_stddev",5,4442,1343.41,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Prim_vector_Prim_vector/4096/manual_time_mean",5,224814,66223.9,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Prim_vector_Prim_vector/4096/manual_time_median",5,223971,65278.6,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Prim_vector_Prim_vector/4096/manual_time_stddev",5,4643.81,2607.38,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Prim_vector_Prim_vector/16384/manual_time_mean",5,224996,64240.3,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Prim_vector_Prim_vector/16384/manual_time_median",5,224254,64280.7,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Prim_vector_Prim_vector/16384/manual_time_stddev",5,2071.3,823.88,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Prim_vector_Prim_vector/65536/manual_time_mean",5,233800,65088.6,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Prim_vector_Prim_vector/65536/manual_time_median",5,233010,65593.8,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Prim_vector_Prim_vector/65536/manual_time_stddev",5,3404.92,935.335,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Prim_vector_Prim_vector/262144/manual_time_mean",5,288431,69008.4,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Prim_vector_Prim_vector/262144/manual_time_median",5,288108,68816.8,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Prim_vector_Prim_vector/262144/manual_time_stddev",5,2039.07,2669.13,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Prim_vector_Prim_vector/1048576/manual_time_mean",5,487329,83957.8,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Prim_vector_Prim_vector/1048576/manual_time_median",5,486048,84632.4,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Prim_vector_Prim_vector/1048576/manual_time_stddev",5,3773.61,1597.16,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Prim_vector_Prim_vector/4194304/manual_time_mean",5,1.4585e+06,210020,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Prim_vector_Prim_vector/4194304/manual_time_median",5,1.46374e+06,211678,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Prim_vector_Prim_vector/4194304/manual_time_stddev",5,22334.6,5503.72,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Prim_vector_Prim_vector/16777216/manual_time_mean",5,4.99451e+06,516042,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Prim_vector_Prim_vector/16777216/manual_time_median",5,5.01392e+06,517161,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Prim_vector_Prim_vector/16777216/manual_time_stddev",5,249232,34289.1,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Prim_vector_Rev_vector/1/manual_time_mean",5,515188,156795,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Prim_vector_Rev_vector/1/manual_time_median",5,512791,154523,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Prim_vector_Rev_vector/1/manual_time_stddev",5,8986.4,4730.95,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Prim_vector_Rev_vector/4/manual_time_mean",5,518686,157116,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Prim_vector_Rev_vector/4/manual_time_median",5,517592,158003,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Prim_vector_Rev_vector/4/manual_time_stddev",5,8097.47,1816.7,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Prim_vector_Rev_vector/16/manual_time_mean",5,510980,157634,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Prim_vector_Rev_vector/16/manual_time_median",5,512398,157246,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Prim_vector_Rev_vector/16/manual_time_stddev",5,6658.4,3485.75,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Prim_vector_Rev_vector/64/manual_time_mean",5,521182,161167,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Prim_vector_Rev_vector/64/manual_time_median",5,518974,163813,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Prim_vector_Rev_vector/64/manual_time_stddev",5,5261.26,4429.13,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Prim_vector_Rev_vector/256/manual_time_mean",5,512401,160326,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Prim_vector_Rev_vector/256/manual_time_median",5,510763,160840,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Prim_vector_Rev_vector/256/manual_time_stddev",5,6750.21,1514.19,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Prim_vector_Rev_vector/1024/manual_time_mean",5,521616,163465,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Prim_vector_Rev_vector/1024/manual_time_median",5,522413,163120,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Prim_vector_Rev_vector/1024/manual_time_stddev",5,11316,4595.33,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Prim_vector_Rev_vector/4096/manual_time_mean",5,556624,186909,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Prim_vector_Rev_vector/4096/manual_time_median",5,557085,185782,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Prim_vector_Rev_vector/4096/manual_time_stddev",5,10066.3,4867.72,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Prim_vector_Rev_vector/16384/manual_time_mean",5,634630,228804,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Prim_vector_Rev_vector/16384/manual_time_median",5,634798,228010,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Prim_vector_Rev_vector/16384/manual_time_stddev",5,4047.46,3605.44,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Prim_vector_Rev_vector/65536/manual_time_mean",5,1.10333e+06,511284,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Prim_vector_Rev_vector/65536/manual_time_median",5,1.10218e+06,509031,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Prim_vector_Rev_vector/65536/manual_time_stddev",5,21276.6,7946.27,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Prim_vector_Rev_vector/262144/manual_time_mean",5,3.74368e+06,2.06211e+06,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Prim_vector_Rev_vector/262144/manual_time_median",5,3.72074e+06,2.05953e+06,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Prim_vector_Rev_vector/262144/manual_time_stddev",5,134362,60941.8,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Prim_vector_Rev_vector/1048576/manual_time_mean",5,1.43415e+07,1.15808e+07,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Prim_vector_Rev_vector/1048576/manual_time_median",5,1.42965e+07,1.15642e+07,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Prim_vector_Rev_vector/1048576/manual_time_stddev",5,171855,114598,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Prim_vector_Rev_vector/4194304/manual_time_mean",5,5.18609e+07,4.17827e+07,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Prim_vector_Rev_vector/4194304/manual_time_median",5,5.20615e+07,4.18411e+07,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Prim_vector_Rev_vector/4194304/manual_time_stddev",5,764920,473248,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Prim_vector_Rev_vector/16777216/manual_time_mean",5,1.79384e+08,1.53486e+08,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Prim_vector_Rev_vector/16777216/manual_time_median",5,1.79425e+08,1.53638e+08,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Prim_vector_Rev_vector/16777216/manual_time_stddev",5,1.67003e+06,318584,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Rev_vector_Prim_vector/1/manual_time_mean",5,522822,160540,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Rev_vector_Prim_vector/1/manual_time_median",5,519707,160279,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Rev_vector_Prim_vector/1/manual_time_stddev",5,9204.37,1242,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Rev_vector_Prim_vector/4/manual_time_mean",5,516382,160735,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Rev_vector_Prim_vector/4/manual_time_median",5,517735,160695,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Rev_vector_Prim_vector/4/manual_time_stddev",5,4231.83,2935.1,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Rev_vector_Prim_vector/16/manual_time_mean",5,521149,161761,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Rev_vector_Prim_vector/16/manual_time_median",5,519028,159420,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Rev_vector_Prim_vector/16/manual_time_stddev",5,9327.81,4346.78,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Rev_vector_Prim_vector/64/manual_time_mean",5,513098,159274,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Rev_vector_Prim_vector/64/manual_time_median",5,511016,156868,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Rev_vector_Prim_vector/64/manual_time_stddev",5,10717.5,6145.57,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Rev_vector_Prim_vector/256/manual_time_mean",5,511850,159158,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Rev_vector_Prim_vector/256/manual_time_median",5,510903,159057,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Rev_vector_Prim_vector/256/manual_time_stddev",5,8278.5,3403.25,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Rev_vector_Prim_vector/1024/manual_time_mean",5,523436,164236,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Rev_vector_Prim_vector/1024/manual_time_median",5,524976,164667,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Rev_vector_Prim_vector/1024/manual_time_stddev",5,4721.24,2826.33,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Rev_vector_Prim_vector/4096/manual_time_mean",5,534440,175894,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Rev_vector_Prim_vector/4096/manual_time_median",5,536935,175755,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Rev_vector_Prim_vector/4096/manual_time_stddev",5,6716.14,2321.66,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Rev_vector_Prim_vector/16384/manual_time_mean",5,633453,225214,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Rev_vector_Prim_vector/16384/manual_time_median",5,631848,224403,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Rev_vector_Prim_vector/16384/manual_time_stddev",5,5954.54,3370.5,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Rev_vector_Prim_vector/65536/manual_time_mean",5,1.09388e+06,499383,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Rev_vector_Prim_vector/65536/manual_time_median",5,1.10718e+06,495863,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Rev_vector_Prim_vector/65536/manual_time_stddev",5,26407.9,14598.9,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Rev_vector_Prim_vector/262144/manual_time_mean",5,3.74758e+06,2.05828e+06,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Rev_vector_Prim_vector/262144/manual_time_median",5,3.75503e+06,2.06893e+06,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Rev_vector_Prim_vector/262144/manual_time_stddev",5,64339.5,27271.7,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Rev_vector_Prim_vector/1048576/manual_time_mean",5,1.47225e+07,1.18525e+07,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Rev_vector_Prim_vector/1048576/manual_time_median",5,1.47457e+07,1.18493e+07,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Rev_vector_Prim_vector/1048576/manual_time_stddev",5,100825,77442.9,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Rev_vector_Prim_vector/4194304/manual_time_mean",5,5.2388e+07,4.23693e+07,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Rev_vector_Prim_vector/4194304/manual_time_median",5,5.24659e+07,4.23477e+07,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Rev_vector_Prim_vector/4194304/manual_time_stddev",5,754978,527091,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Rev_vector_Prim_vector/16777216/manual_time_mean",5,1.7722e+08,1.52582e+08,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Rev_vector_Prim_vector/16777216/manual_time_median",5,1.77339e+08,1.52363e+08,ns,,,,,
