name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_real_Prim_real/1/manual_time_mean",5,176087,47416.4,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_real_Prim_real/1/manual_time_median",5,172289,46452.1,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_real_Prim_real/1/manual_time_stddev",5,8885.57,3265.99,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_real_Prim_real/4/manual_time_mean",5,171711,44488.8,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_real_Prim_real/4/manual_time_median",5,172795,44151.3,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_real_Prim_real/4/manual_time_stddev",5,3931.09,1037.89,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_real_Prim_real/16/manual_time_mean",5,170744,45363.5,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_real_Prim_real/16/manual_time_median",5,168419,45258.8,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_real_Prim_real/16/manual_time_stddev",5,4447.65,1466.64,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_real_Prim_real/64/manual_time_mean",5,170656,44990.8,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_real_Prim_real/64/manual_time_median",5,169312,44769.4,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_real_Prim_real/64/manual_time_stddev",5,5417.17,1167.15,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_real_Prim_real/256/manual_time_mean",5,170010,44395.7,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_real_Prim_real/256/manual_time_median",5,167948,44817.4,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_real_Prim_real/256/manual_time_stddev",5,4431.92,806.58,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_real_Prim_real/1024/manual_time_mean",5,169614,44554.8,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_real_Prim_real/1024/manual_time_median",5,169237,44631.3,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_real_Prim_real/1024/manual_time_stddev",5,2370.34,313.236,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_real_Prim_real/4096/manual_time_mean",5,170525,43748.5,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_real_Prim_real/4096/manual_time_median",5,171273,43238.5,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_real_Prim_real/4096/manual_time_stddev",5,3260.86,1271.82,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_real_Prim_real/16384/manual_time_mean",5,172465,48141.2,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_real_Prim_real/16384/manual_time_median",5,171258,47646.8,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_real_Prim_real/16384/manual_time_stddev",5,2581.26,1556.7,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_real_Prim_real/65536/manual_time_mean",5,182718,48429.9,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_real_Prim_real/65536/manual_time_median",5,182588,48490,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_real_Prim_real/65536/manual_time_stddev",5,4927.66,847.929,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_real_Prim_real/262144/manual_time_mean",5,222845,54245.2,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_real_Prim_real/262144/manual_time_median",5,222264,53733.7,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_real_Prim_real/262144/manual_time_stddev",5,4583.07,1662.12,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_real_Prim_real/1048576/manual_time_mean",5,367741,62976.5,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_real_Prim_real/1048576/manual_time_median",5,368224,63165.2,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_real_Prim_real/1048576/manual_time_stddev",5,2193.39,1587.15,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_real_Prim_real/4194304/manual_time_mean",5,994005,127101,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_real_Prim_real/4194304/manual_time_median",5,994779,127710,ns,,,,,
