name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_vector_Prim_vector/1/manual_time_mean",5,268230,79411.3,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_vector_Prim_vector/1/manual_time_median",5,267295,76352.5,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_vector_Prim_vector/1/manual_time_stddev",5,13058.7,6338.77,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_vector_Prim_vector/4/manual_time_mean",5,256491,74150.8,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_vector_Prim_vector/4/manual_time_median",5,255790,73509.9,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_vector_Prim_vector/4/manual_time_stddev",5,4004.68,1187.8,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_vector_Prim_vector/16/manual_time_mean",5,253850,74175.8,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_vector_Prim_vector/16/manual_time_median",5,254422,73879.7,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_vector_Prim_vector/16/manual_time_stddev",5,1464.95,657.039,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_vector_Prim_vector/64/manual_time_mean",5,253650,73385.6,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_vector_Prim_vector/64/manual_time_median",5,253978,73237.1,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_vector_Prim_vector/64/manual_time_stddev",5,2397.01,772.177,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_vector_Prim_vector/256/manual_time_mean",5,255975,74270.8,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_vector_Prim_vector/256/manual_time_median",5,255899,75000.3,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_vector_Prim_vector/256/manual_time_stddev",5,1367.43,1533.87,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_vector_Prim_vector/1024/manual_time_mean",5,254882,74850.8,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_vector_Prim_vector/1024/manual_time_median",5,254956,74275.7,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_vector_Prim_vector/1024/manual_time_stddev",5,1444.37,1008.34,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_vector_Prim_vector/4096/manual_time_mean",5,252566,73800.3,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_vector_Prim_vector/4096/manual_time_median",5,253594,74403,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_vector_Prim_vector/4096/manual_time_stddev",5,2538.02,1057.68,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_vector_Prim_vector/16384/manual_time_mean",5,254832,76020.1,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_vector_Prim_vector/16384/manual_time_median",5,254741,74991.9,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_vector_Prim_vector/16384/manual_time_stddev",5,4162.19,3505.15,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_vector_Prim_vector/65536/manual_time_mean",5,263142,75807.7,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_vector_Prim_vector/65536/manual_time_median",5,261465,75572.1,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_vector_Prim_vector/65536/manual_time_stddev",5,3933.84,1388.59,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_vector_Prim_vector/262144/manual_time_mean",5,328293,79863.6,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_vector_Prim_vector/262144/manual_time_median",5,330665,80221.2,ns,,,,,
