name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"exp_mod_normal_lpdf_Prim_vector_Prim_real_Prim_real_Prim_real/1/manual_time_mean",5,174385,46214.4,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_real_Prim_real_Prim_real/1/manual_time_median",5,171163,44817.8,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_real_Prim_real_Prim_real/1/manual_time_stddev",5,7555.69,3550.62,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_real_Prim_real_Prim_real/4/manual_time_mean",5,169860,43309.9,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_real_Prim_real_Prim_real/4/manual_time_median",5,168889,42917.3,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_real_Prim_real_Prim_real/4/manual_time_stddev",5,2184.52,1278.77,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_real_Prim_real_Prim_real/16/manual_time_mean",5,168155,42967.6,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_real_Prim_real_Prim_real/16/manual_time_median",5,166622,42966.8,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_real_Prim_real_Prim_real/16/manual_time_stddev",5,3616.51,191.437,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_real_Prim_real_Prim_real/64/manual_time_mean",5,166321,42868.9,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_real_Prim_real_Prim_real/64/manual_time_median",5,165738,43072.4,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_real_Prim_real_Prim_real/64/manual_time_stddev",5,1396.25,820.032,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_real_Prim_real_Prim_real/256/manual_time_mean",5,169071,43636.6,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_real_Prim_real_Prim_real/256/manual_time_median",5,168129,43554.3,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_real_Prim_real_Prim_real/256/manual_time_stddev",5,3791.25,1154.33,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_real_Prim_real_Prim_real/1024/manual_time_mean",5,167366,43012.5,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_real_Prim_real_Prim_real/1024/manual_time_median",5,166987,43151.3,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_real_Prim_real_Prim_real/1024/manual_time_stddev",5,1528.35,375.774,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_real_Prim_real_Prim_real/4096/manual_time_mean",5,168352,44221.2,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_real_Prim_real_Prim_real/4096/manual_time_median",5,166485,42942.5,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_real_Prim_real_Prim_real/4096/manual_time_stddev",5,5249.78,3103.68,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_real_Prim_real_Prim_real/16384/manual_time_mean",5,178543,45959,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_real_Prim_real_Prim_real/16384/manual_time_median",5,179241,46127.2,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_real_Prim_real_Prim_real/16384/manual_time_stddev",5,1959.2,730.605,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_real_Prim_real_Prim_real/65536/manual_time_mean",5,184135,49775.1,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_real_Prim_real_Prim_real/65536/manual_time_median",5,180939,50684.7,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_real_Prim_real_Prim_real/65536/manual_time_stddev",5,6970.1,2434.09,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_real_Prim_real_Prim_real/262144/manual_time_mean",5,222019,53572,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_real_Prim_real_Prim_real/262144/manual_time_median",5,221122,53617.9,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_real_Prim_real_Prim_real/262144/manual_time_stddev",5,4222.76,3567.86,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_real_Prim_real_Prim_real/1048576/manual_time_mean",5,367069,61165.2,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_real_Prim_real_Prim_real/1048576/manual_time_median",5,368665,61397.7,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_real_Prim_real_Prim_real/1048576/manual_time_stddev",5,4633.4,2241.7,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_real_Prim_real_Prim_real/4194304/manual_time_mean",5,1.00227e+06,127527,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_real_Prim_real_Prim_real/4194304/manual_time_median",5,998313,123566,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_real_Prim_real_Prim_real/4194304/manual_time_stddev",5,22663.9,17192.4,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_real_Prim_real_Prim_real/16777216/manual_time_mean",5,3.5716e+06,385435,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_real_Prim_real_Prim_real/16777216/manual_time_median",5,3.64073e+06,388722,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_real_Prim_real_Prim_real/16777216/manual_time_stddev",5,129953,22142,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_real_Prim_real_Rev_real/1/manual_time_mean",5,246821,61644.1,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_real_Prim_real_Rev_real/1/manual_time_median",5,247137,62448.7,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_real_Prim_real_Rev_real/1/manual_time_stddev",5,6720.79,2238.77,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_real_Prim_real_Rev_real/4/manual_time_mean",5,253366,61369.7,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_real_Prim_real_Rev_real/4/manual_time_median",5,252675,61709.1,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_real_Prim_real_Rev_real/4/manual_time_stddev",5,6746.19,1199.6,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_real_Prim_real_Rev_real/16/manual_time_mean",5,255748,61293.9,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_real_Prim_real_Rev_real/16/manual_time_median",5,258038,61747.2,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_real_Prim_real_Rev_real/16/manual_time_stddev",5,6723.81,1630.5,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_real_Prim_real_Rev_real/64/manual_time_mean",5,256017,60753.7,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_real_Prim_real_Rev_real/64/manual_time_median",5,258985,60219.4,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_real_Prim_real_Rev_real/64/manual_time_stddev",5,8011.64,1762.85,ns,,,,,
